ISU European Figure Skating Championships,,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,,
Choreography / Composition  1.60 7.00 7.50 7.00,8.00,7.50 7.75 6.50 7.50,,7.25,,- - -,7.35,
Interpretation  1.60 7.00 7.75 7.00,8.25,7.25 7.75 6.25 7.50,,7.25,,- - -,7.35,
Judges Total Program Component Score (factored),,,,,,,58.56,
Deductions:,,,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,,,
ISU European Figure Skating Championships,,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,,
"",,Total Total,,,,Total,Total,
NOC,,Segment Element,,,,Program  Component,Deductions,
Rank Name,,,,,,,,
Code,,Score Score,,,,Score (factored),,
"",,= +,,,,+,-,
3 Susanna PÖYKIÖ FIN,,100.25  45.37,,,,54.88,0.00,
"# Executed Base GOE",,The Judges Panel,,,,,Scores,
Elements Value,,(in random order),,,,,of Panel,
1 3F+2T+2Lo  8.30  0.20 0 2 0,0,0 1 0 1,,,0,- - -,8.50,
2 2Lz+2T  3.20  0.00 0 1 0,0,0 0 0 0 Info,,,0,- - -,3.20,Info
3 FSSp3  2.60  0.40 0 2 1,1,0 1 1 1,,,0,- - -,3.00,
4 2F  1.70  0.00 1 0 0,1,0 1 0 0,,,0,- - -,1.70,
5 2A  3.50  0.00 0 0 0,0,0 0 0 0,,,1,- - -,3.50,
6 FCoSp4  3.00  0.40 1 1 1,0,0 2 1 1,,,1,- - -,3.40,
7 3S  4.95 x  0.60 1 1 0,-1,1 1 0 1,,,1,- - -,5.55,
8 SpSq4  3.40  0.60 1 1 1,0,1 1 0 0,,,1,- - -,4.00,
9 3T< <  1.43 x -0.54 -2 -1 -2,-3,-2 -2 -2 -1,,,-2,- - -,0.89,
10 3T+2T  5.83 x  0.00 0 0 0,0,-1 1 0 0,,,0,- - -,5.83,
11 SlSt2  2.30  0.10 0 1 0,0,0 0 0 0,,,1,- - -,2.40,
12 CCoSp3  3.00  0.40 1 1 1,0,1 1 1 0,,,1,- - -,3.40,
43.21,,,,,,,45.37,
Program Components Factor,,,,,,,,
Skating Skills  1.60 6.75 7.25 7.00,8.00,7.00 7.25 6.50 7.00,,6.75,,- - -,7.00,
Transition / Linking Footwork  1.60 6.75 7.00 6.50,6.75,6.50 7.25 6.00 6.75,,6.50,,- - -,6.60,
Performance / Execution  1.60 7.00 7.25 6.75,7.50,7.00 7.75 6.25 6.75,,6.50,,- - -,6.85,
Choreography / Composition  1.60 6.75 7.25 7.00,7.25,6.50 7.50 6.25 7.00,,6.50,,- - -,6.85,
Interpretation  1.60 6.75 7.25 7.00,7.25,6.75 7.50 6.25 7.00,,7.00,,- - -,7.00,
Judges Total Program Component Score (factored),,,,,,,54.88,
Deductions:,,,,,,,0.00,
"<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,,,
"",,Total Total,,,,Total,Total,
NOC,,Segment Element,,,,Program  Component,Deductions,
Rank Name,,,,,,,,
Code,,Score Score,,,,Score (factored),,
"",,= +,,,,+,-,
4 Alena LEONOVA RUS,,98.91  53.95,,,,44.96,0.00,
"# Executed Base GOE",,The Judges Panel,,,,,Scores,
Elements Value,,(in random order),,,,,of Panel,
1 3F+2T  6.80  0.40 0 1 1,-1,0 1 1 0,,,0,- - -,7.20,
2 3Lz !  6.00 -0.60 -1 -1 0,-1,-1 -1 -1 0,,,0,- - -,5.40,
3 3Lo  5.00  0.60 0 1 0,1,0 1 1 0,,,1,- - -,5.60,
4 LSp1  1.50 -0.18 0 -1 0,-1,-1 -1 -1 0,,,0,- - -,1.32,
5 SpSq4  3.40  0.00 0 0 0,1,0 1 0 0,,,0,- - -,3.40,
6 2A  3.50  0.40 1 1 0,1,0 1 0 0,,,1,- - -,3.90,
7 3F  5.50 -0.40 -1 0 0,-1,-1 -1 -1 0,,,0,- - -,5.10,
8 3S+2T+2Lo  8.03 x  0.60 1 1 0,0,1 1 0 1,,,1,- - -,8.63,
9 FSSp2  2.30  0.00 0 0 0,0,-1 0 0 0,,,0,- - -,2.30,
10 3T+2A+SEQ  6.60 x -1.60 -1 -2 -2,-1,-2 -2 -1 -1,,,-2,- - -,5.00,
11 SlSt2  2.30  0.20 0 1 1,1,0 0 0 0,,,0,- - -,2.50,
12 CCoSp4  3.50  0.10 1 0 1,0,0 0 0 1,,,0,- - -,3.60,
54.43,,,,,,,53.95,
Program Components Factor,,,,,,,,
Skating Skills  1.60 6.00 6.00 6.00,6.75,5.50 5.75 6.00 5.50,,6.00,,- - -,5.90,
Transition / Linking Footwork  1.60 5.50 4.00 5.50,4.75,4.50 5.25 5.25 5.25,,5.50,,- - -,5.05,
Performance / Execution  1.60 5.75 5.75 5.75,6.50,5.75 5.75 5.75 5.75,,6.00,,- - -,5.80,
Choreography / Composition  1.60 5.75 5.25 5.75,5.75,5.00 5.50 5.50 5.50,,5.75,,- - -,5.55,
Interpretation  1.60 6.00 6.00 5.75,6.25,5.00 5.50 5.50 5.75,,6.00,,- - -,5.80,
Judges Total Program Component Score (factored),,,,,,,44.96,
Deductions:,,,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1!  Jump take off with wrong edge (short)",,,,,,,,
ISU European Figure Skating Championships,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",Total,Total,,,Total,Total,
NOC,Segment,Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,Score,Score,,,Score (factored),,
"",,= +,,,+,-,
5 Annette DYTRT GER,92.92,47.48,,,45.44,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3F  5.50  0.00 -1 0 0 0,0,0 0 0,,,-1 - - -,5.50,
2 2T  1.30  0.00 0 0 0 0,0,0 0 0 Info,,,0 - - -,1.30,Info
3 3Lo  5.00 -1.20 -2 -1 -2 -2,-1,0 -1 -1,,,-1 - - -,3.80,
4 3S+2T  5.80  0.00 0 1 0 0,0,0 0 0,,,0 - - -,5.80,
5 CCoSp4  3.50  0.00 0 1 0 0,0,1 0 0,,,0 - - -,3.50,
6 2A+2T  5.28 x  0.80 1 1 0 1,1,1 1 0,,,1 - - -,6.08,
7 SpSq4  3.40  0.80 0 1 1 0,1,1 1 1,,,0 - - -,4.20,
8 3S  4.95 x  0.60 0 1 0 1,1,1 0 0,,,1 - - -,5.55,
9 FSSp2  2.30  0.00 0 0 0 0,0,1 0 0,,,0 - - -,2.30,
10 CiSt2  2.30  0.10 0 1 0 0,1,0 0 0,,,0 - - -,2.40,
11 2A  3.85 x  0.80 0 1 0 1,1,1 1 1,,,0 - - -,4.65,
12 LSp2  1.90  0.50 1 1 1 1,1,1 1 1,,,1 - - -,2.40,
45.08,,,,,,47.48,
Program Components Factor,,,,,,,
Skating Skills  1.60 5.50 6.50 5.50 5.50,6.25,5.75 6.25 5.50,,5.75,- - -,5.85,
Transition / Linking Footwork  1.60 5.00 6.00 5.00 4.00,5.25,5.50 6.00 5.25,,5.25,- - -,5.35,
Performance / Execution  1.60 5.50 6.50 5.25 5.00,6.25,6.25 6.25 5.75,,5.50,- - -,5.80,
Choreography / Composition  1.60 5.25 6.75 5.25 4.25,6.00,6.25 5.75 6.00,,5.75,- - -,5.75,
Interpretation  1.60 5.50 7.00 5.25 5.00,5.75,6.00 5.75 5.75,,5.75,- - -,5.65,
Judges Total Program Component Score (factored),,,,,,45.44,
Deductions:,,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,,
"",Total,Total,,,Total,Total,
NOC,Segment,Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,Score,Score,,,Score (factored),,
"",,= +,,,+,-,
6 Kiira KORPI FIN,91.41,44.41,,,50.00,3.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 1Lz  0.60 -0.12 -1 -2 -1 -1,-2,-1 -1 -1,,,-1 - - -,0.48,
2 3S+2T  5.80  0.60 1 1 0 1,1,1 1 0,,,0 - - -,6.40,
3 3Lo  5.00  0.80 0 1 1 1,1,1 0 1,,,0 - - -,5.80,
4 CUSp4  2.90  0.30 1 0 1 1,0,0 1 1,,,0 - - -,3.20,
5 3S  4.50  0.40 1 1 1 0,0,1 0 0,,,1 - - -,4.90,
6 SpSq4  3.40  1.00 1 1 1 1,1,1 1 1,,,1 - - -,4.40,
7 3Lo<+SEQ <  1.32 x -0.68 -2 -2 -2 -3,-2,-2 -3 -2,,,-2 - - -,0.64,
8 2A+2T  5.28 x -0.48 0 0 0 -1,-2,0 -1 0,,,-1 - - -,4.80,
9 FSSp4  3.00  0.00 0 0 1 0,-1,0 0 0,,,0 - - -,3.00,
10 SlSt3  3.30  0.20 0 1 1 0,0,0 0 0,,,1 - - -,3.50,
11 2A  3.85 x -0.16 0 0 0 0,-1,1 -1 0,,,0 - - -,3.69,
12 CCoSp4  3.50  0.10 1 0 1 0,0,1 0 1,,,0 - - -,3.60,
42.45,,,,,,44.41,
Program Components Factor,,,,,,,
Skating Skills  1.60 6.50 6.75 7.00 6.75,6.25,6.25 6.25 6.00,,6.00,- - -,6.40,
Transition / Linking Footwork  1.60 6.25 6.25 6.50 6.50,5.00,6.00 5.75 6.25,,5.75,- - -,6.10,
Performance / Execution  1.60 6.75 7.25 6.50 6.00,6.25,6.75 6.25 6.50,,6.25,- - -,6.35,
Choreography / Composition  1.60 6.50 6.75 6.75 6.25,5.50,6.50 6.00 6.50,,5.75,- - -,6.25,
Interpretation  1.60 6.75 7.00 6.50 5.75,5.75,6.00 6.00 6.50,,6.00,- - -,6.15,
Judges Total Program Component Score (factored),,,,,,50.00,
Deductions: Falls: -1.00 Interruption in excess:,,-2.00,,,,-3.00,
"<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,,
ISU European Figure Skating Championships,,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,,
"",Total Total,,,,,Total,Total,
NOC,Segment Element,,,,,Program  Component,Deductions,
Rank Name,,,,,,,,
Code,Score Score,,,,,Score (factored),,
"",= +,,,,,+,-,
7 Julia SEBESTYEN HUN,91.15  45.35,,,,,46.80,1.00,
"# Executed Base GOE",The Judges Panel,,,,,,Scores,
Elements Value,(in random order),,,,,,of Panel,
1 3Lz+2T+2Lo  8.80  0.80 0 1 1 0,0 1 1 1,,,1,,- - -,9.60,
2 3F< !  1.70 -1.00 -3 -3 -3 -3,-3 -3 -3 -3 Info,,,-3,,- - -,0.70,Info
3 3Lz  6.00  1.00 0 1 1 1,1 1 1 1,,,1,,- - -,7.00,
4 FCSp4  3.20  0.00 1 0 0 0,-1 0 0 1,,,0,,- - -,3.20,
5 SpSq3  3.10  0.30 0 0 1 1,-1 0 1 0,,,1,,- - -,3.40,
6 2A+1S+SEQ  3.43 x -0.16 0 0 0 0,-1 -1 -1 0,,,0,,- - -,3.27,
7 3T  4.40 x  0.20 0 0 0 0,1 0 0 1,,,0,,- - -,4.60,
8 LSp2  1.90  0.00 1 0 1 0,0 0 0 0,,,0,,- - -,1.90,
9 2S  1.43 x  0.00 0 0 0 0,0 0 0 0,,,0,,- - -,1.43,
10 2A  3.85 x  0.00 0 0 0 0,-1 0 0 0,,,0,,- - -,3.85,
11 SlSt3  3.30  0.50 1 1 1 1,0 0 1 1,,,1,,- - -,3.80,
12 CCoSp2  2.50  0.10 1 0 1 0,0 1 0 0,,,1,,- - -,2.60,
43.61,,,,,,,45.35,
Program Components Factor,,,,,,,,
Skating Skills  1.60 6.25 6.50 6.25 6.25,5.75 6.50 6.00 6.50,,6.25,,,- - -,6.25,
Transition / Linking Footwork  1.60 5.75 5.75 5.75 4.00,4.25 6.00 5.50 6.00,,5.50,,,- - -,5.35,
Performance / Execution  1.60 6.25 6.25 6.00 5.75,5.25 6.50 5.75 6.25,,6.00,,,- - -,5.95,
Choreography / Composition  1.60 6.00 6.25 6.00 5.50,4.50 6.25 5.75 6.50,,6.00,,,- - -,5.90,
Interpretation  1.60 6.00 5.75 6.00 5.50,5.00 6.00 5.50 6.25,,6.25,,,- - -,5.80,
Judges Total Program Component Score (factored),,,,,,,46.80,
Deductions: Falls: -1.00,,,,,,,-1.00,
"<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1!  Jump take off with wrong edge (short)",,,,,,,,
"",Total Total,,,,,Total,Total,
NOC,Segment Element,,,,,Program  Component,Deductions,
Rank Name,,,,,,,,
Code,Score Score,,,,,Score (factored),,
"",= +,,,,,+,-,
8 Katarina GERBOLDT RUS,88.43  43.55,,,,,46.88,2.00,
"# Executed Base GOE",The Judges Panel,,,,,,Scores,
Elements Value,(in random order),,,,,,of Panel,
1 2A  3.50  0.60 0 1 0 1,0 1 1 1,,,0,,- - -,4.10,
2 3Lz+2T e  7.30 -1.20 -2 -1 -1 -1,-2 -2 -2 -1,,,-1,,- - -,6.10,
3 3T  4.00 -0.60 -1 -1 0 -1,-1 0 0 0,,,-1,,- - -,3.40,
4 3F< <  1.70 -1.00 -3 -3 -3 -3,-3 -3 -3 -3,,,-3,,- - -,0.70,
5 FCSp3  2.80  0.40 1 0 1 1,1 0 0 1,,,1,,- - -,3.20,
6 3Lz !  6.00 -3.00 -3 -3 -3 -3,-3 -3 -3 -3,,,-3,,- - -,3.00,
7 3Lo+2T  6.93 x -0.20 0 0 0 -1,-1 0 0 0,,,0,,- - -,6.73,
8 SpSq3  3.10 -0.28 0 0 0 -1,-1 0 -1 0,,,0,,- - -,2.82,
9 3S+2A+SEQ  7.04 x -1.00 0 -1 -1 -1,-1 -1 -1 -1,,,-1,,- - -,6.04,
10 LSp2  1.90 -0.06 1 0 1 0,-1 -1 -1 0,,,0,,- - -,1.84,
11 CiSt2  2.30  0.00 0 0 0 0,0 0 0 0,,,0,,- - -,2.30,
12 CCoSp4  3.50 -0.18 0 -2 0 0,-2 0 0 0,,,-1,,- - -,3.32,
50.07,,,,,,,43.55,
Program Components Factor,,,,,,,,
Skating Skills  1.60 5.50 6.25 6.00 7.50,5.75 5.75 5.75 5.75,,6.00,,,- - -,5.95,
Transition / Linking Footwork  1.60 5.25 5.75 5.75 6.75,5.00 5.50 5.50 5.50,,5.50,,,- - -,5.60,
Performance / Execution  1.60 5.75 6.25 5.75 7.25,5.75 6.25 5.50 5.75,,5.75,,,- - -,5.85,
Choreography / Composition  1.60 5.50 6.25 6.00 7.00,5.25 5.75 5.50 6.00,,6.00,,,- - -,5.95,
Interpretation  1.60 5.50 6.50 6.00 7.75,5.25 5.75 5.50 6.00,,5.75,,,- - -,5.95,
Judges Total Program Component Score (factored),,,,,,,46.88,
Deductions: Falls: -2.00,,,,,,,-2.00,
"<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge (long)","!  Jump take off with wrong edge (short)",,,,,,,
ISU European Figure Skating Championships,,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,,
"",,Total Total,,,,Total,Total,
NOC,Segment,Element,,,,Program  Component,Deductions,
Rank Name,,,,,,,,
Code,,Score Score,,,,Score (factored),,
"",,= +,,,,+,-,
9 Elena GLEBOVA EST,84.68,41.12,,,,44.56,1.00,
"# Executed Base GOE",,The Judges Panel,,,,,Scores,
Elements Value,,(in random order),,,,,of Panel,
1 2A+3T  7.50  1.00 1 1 0 1,,1 1 1 1,,,1,- - -,8.50,
2 1Lo  0.50 -0.08 -1 -1 0 -2,,-1 -2 -1 -1 Info,,,0,- - -,0.42,Info
3 CUSp4  2.90  0.00 1 0 0 0,,0 0 0 0,,,0,- - -,2.90,
4 2A+3T+1T  7.90 -1.00 -1 -1 -1 -1,,-1 -2 -1 -1,,,-2,- - -,6.90,
5 SpSq4  3.40  0.00 0 0 1 0,,0 0 0 0,,,0,- - -,3.40,
6 3S< <  1.43 x -1.00 -3 -3 -3 -3,,-3 -3 -3 -3,,,-3,- - -,0.43,
7 2A  3.85 x  0.00 0 0 0 0,,0 0 0 0,,,0,- - -,3.85,
8 CCoSp4  3.50  0.00 1 0 1 0,,0 0 0 0,,,0,- - -,3.50,
9 3S+1T  5.39 x -1.80 -1 -2 -1 -2,,-2 -2 -2 -1,,,-2,- - -,3.59,
10 2Lz  2.09 x  0.00 0 0 0 0,,0 0 0 0,,,0,- - -,2.09,
11 SlSt3  3.30  0.00 0 1 0 0,,0 0 0 0,,,0,- - -,3.30,
12 FSSp2  2.30 -0.06 0 0 0 -1,,-1 0 0 0,,,0,- - -,2.24,
44.06,,,,,,,41.12,
Program Components Factor,,,,,,,,
Skating Skills  1.60 5.50 5.75 5.75 6.75,,5.75 5.00 5.25 5.50,,5.75,,- - -,5.70,
Transition / Linking Footwork  1.60 5.00 5.50 5.25 5.25,,5.00 4.75 4.75 5.50,,5.25,,- - -,5.25,
Performance / Execution  1.60 5.50 6.50 5.50 6.25,,5.50 5.50 5.25 5.75,,5.50,,- - -,5.70,
Choreography / Composition  1.60 5.25 6.00 5.75 6.00,,5.25 5.25 5.00 5.75,,5.25,,- - -,5.60,
Interpretation  1.60 5.25 6.00 5.50 6.00,,5.25 5.25 5.00 5.75,,5.50,,- - -,5.60,
Judges Total Program Component Score (factored),,,,,,,44.56,
Deductions: Falls: -1.00,,,,,,,-1.00,
"<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,,,
"",,Total Total,,,,Total,Total,
NOC,Segment,Element,,,,Program  Component,Deductions,
Rank Name,,,,,,,,
Code,,Score Score,,,,Score (factored),,
"",,= +,,,,+,-,
10 Tugba KARADEMIR TUR,84.59,43.59,,,,42.00,1.00,
"# Executed Base GOE",,The Judges Panel,,,,,Scores,
Elements Value,,(in random order),,,,,of Panel,
1 3S  4.50 -0.80 0 -1 0 -1,,-1 -1 -1 0,,,-1,- - -,3.70,
2 3T+2T  5.30 -0.20 0 -1 0 0,,-1 0 0 0,,,0,- - -,5.10,
3 3F e  5.50 -3.00 -3 -3 -3 -3,,-3 -3 -3 -3,,,-3,- - -,2.50,
4 FCSp3  2.80  0.40 1 1 1 2,,0 1 1 0,,,1,- - -,3.20,
5 SlSt3  3.30  0.40 1 1 0 1,,1 1 1 0,,,1,- - -,3.70,
6 CCoSp4  3.50  0.00 0 0 0 0,,0 0 0 0,,,0,- - -,3.50,
7 SpSq4  3.40  0.80 1 1 0 0,,1 1 1 1,,,1,- - -,4.20,
8 2A<+2T< <  1.32 x -0.46 -2 -2 -2 -3,,-2 -3 -3 -3,,,-3,- - -,0.86,
9 3T  4.40 x -1.40 -2 -1 -1 -2,,-2 -1 -1 -1,,,-2,- - -,3.00,
10 2A  3.85 x  0.00 0 0 0 0,,0 0 0 0,,,0,- - -,3.85,
11 3S+2T  6.38 x  0.00 0 -1 0 0,,0 0 0 0,,,0,- - -,6.38,
12 FCCoSp4  3.50  0.10 1 0 0 1,,0 1 0 0,,,1,- - -,3.60,
47.75,,,,,,,43.59,
Program Components Factor,,,,,,,,
Skating Skills  1.60 5.25 5.50 5.00 6.25,,5.25 4.75 5.75 5.00,,5.25,,- - -,5.35,
Transition / Linking Footwork  1.60 5.00 5.00 4.50 5.25,,4.75 4.75 5.50 4.50,,5.00,,- - -,4.90,
Performance / Execution  1.60 5.25 5.75 4.50 6.50,,5.25 5.25 5.75 4.75,,5.25,,- - -,5.35,
Choreography / Composition  1.60 5.00 5.50 4.75 6.50,,5.50 5.25 5.50 4.75,,5.25,,- - -,5.30,
Interpretation  1.60 5.25 5.75 4.75 6.00,,5.50 5.00 5.25 4.75,,5.50,,- - -,5.35,
Judges Total Program Component Score (factored),,,,,,,42.00,
Deductions: Falls: -1.00,,,,,,,-1.00,
"<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge (long)",,,,,,,,
ISU European Figure Skating Championships,,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,,
"",,Total Total,,,,Total,Total,
NOC,,Segment Element,,,,Program  Component,Deductions,
Rank Name,,,,,,,,
Code,,Score Score,,,,Score (factored),,
"",,= +,,,,+,-,
11 Ivana REITMAYEROVA SVK,,82.20  42.04,,,,40.16,0.00,
"# Executed Base GOE",,The Judges Panel,,,,,Scores,
Elements Value,,(in random order),,,,,of Panel,
1 3T  4.00  0.20 0 0 0,1,0 0 1 0,,,0,- - -,4.20,
2 3S  4.50  0.80 1 1 0,1,1 1 1 0 Info,,,1,- - -,5.30,Info
3 3T+SEQ  3.20 -2.20 -3 -3 -2,-3,-2 -3 -2 -2,,,-2,- - -,1.00,
4 SpSq4  3.40  0.40 0 0 1,0,1 1 0 1,,,0,- - -,3.80,
5 CCoSp4  3.50  0.10 1 0 0,0,1 0 0 0,,,1,- - -,3.60,
6 3S+2T  6.38 x  0.40 0 1 0,1,0 1 1 0,,,0,- - -,6.78,
7 2A+2T  5.28 x  0.20 0 0 0,1,1 0 0 0,,,0,- - -,5.48,
8 2Lo  1.65 x  0.00 0 0 0,0,0 0 0 0,,,0,- - -,1.65,
9 LSp3  2.40  0.00 0 0 1,0,0 1 0 0,,,0,- - -,2.40,
10 SlSt3  3.30 -0.14 -1 0 0,0,0 1 -1 -1,,,0,- - -,3.16,
11 FCSp3  2.80  0.00 0 -1 1,0,0 1 0 0,,,0,- - -,2.80,
12 2F  1.87 x  0.00 -1 0 0,0,-1 0 0 0,,,0,- - -,1.87,
42.28,,,,,,,42.04,
Program Components Factor,,,,,,,,
Skating Skills  1.60 4.50 5.25 5.25,5.25,5.50 5.50 6.00 4.75,,4.75,,- - -,5.20,
Transition / Linking Footwork  1.60 4.25 4.75 4.75,4.75,4.75 5.25 5.50 4.25,,4.50,,- - -,4.70,
Performance / Execution  1.60 4.50 5.50 5.00,5.50,5.25 5.75 5.75 4.50,,5.00,,- - -,5.25,
Choreography / Composition  1.60 4.50 5.00 5.00,4.75,5.00 5.75 5.50 4.75,,4.75,,- - -,4.90,
Interpretation  1.60 4.25 5.00 5.00,5.25,5.00 5.50 5.50 4.50,,5.00,,- - -,5.05,
Judges Total Program Component Score (factored),,,,,,,40.16,
Deductions:,,,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,,,
"",,Total Total,,,,Total,Total,
NOC,,Segment Element,,,,Program  Component,Deductions,
Rank Name,,,,,,,,
Code,,Score Score,,,,Score (factored),,
"",,= +,,,,+,-,
12 Jenna MCCORKELL GBR,,81.42  38.46,,,,42.96,0.00,
"# Executed Base GOE",,The Judges Panel,,,,,Scores,
Elements Value,,(in random order),,,,,of Panel,
1 2A  3.50  1.00 1 1 1,1,1 1 1 1,,,1,- - -,4.50,
2 3Lz  6.00  0.60 0 1 1,0,1 1 0 1,,,0,- - -,6.60,
3 3F  5.50 -0.40 0 0 0,-1,-1 0 -1 0,,,0,- - -,5.10,
4 1Lo  0.50 -0.04 0 -1 0,-1,-1 0 0 0,,,0,- - -,0.46,
5 CCoSp4  3.50  0.10 1 1 0,0,0 0 0 0,,,1,- - -,3.60,
6 3T+2T  5.83 x  0.00 0 0 0,0,0 0 0 0,,,0,- - -,5.83,
7 SpSq3  3.10  0.10 0 0 1,0,0 0 0 0,,,1,- - -,3.20,
8 2F  1.87 x  0.00 0 0 0,0,0 0 0 0,,,0,- - -,1.87,
9 LSp3  2.40  0.00 1 0 0,0,0 0 0 0,,,1,- - -,2.40,
10 SlSt2  2.30  0.00 0 0 0,-3,0 0 0 0,,,0,- - -,2.30,
