5 Lubov ILIUSHECHKINA / Nodari MAISURADZE RUS,,95.42  49.46,,,46.96,1.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3T+SEQ  3.20 -1.40 -1 -1 -2,-1,-1 -2 -2 -1,,,-1 - - -,1.80,
2 2A< <  0.80 -0.40 -2 -2 -2,-1,-2 -2 -2 -2 Info,,,-3 - - -,0.40,Info
3 2LzTw3  4.00  0.40 1 1 0,1,2 0 1 2,,,1 - - -,4.40,
4 3LzTh  5.50 -2.00 -3 -3 -3,-3,-3 -3 -3 -3,,,-3 - - -,3.50,
5 FiDs3  3.20  0.56 1 1 0,1,1 0 1 1,,,2 - - -,3.76,
6 5SLi4  6.00  0.50 1 1 1,1,1 0 1 2,,,1 - - -,6.50,
7 3LoTh  5.00  0.00 1 1 0,0,0 0 0 1,,,0 - - -,5.00,
8 CCoSp4  3.50  0.40 1 1 1,0,1 0 1 2,,,1 - - -,3.90,
9 5ALi3  6.60 x  0.80 1 2 0,1,1 0 2 1,,,1 - - -,7.40,
10 SlSt3  3.30  0.10 0 1 0,1,1 0 0 1,,,0 - - -,3.40,
11 3Li4  4.40 x  0.40 1 1 0,1,1 0 1 0,,,1 - - -,4.80,
12 PCoSp4  4.50  0.10 0 1 0,1,1 0 0 1,,,0 - - -,4.60,
50.00,,,,,,49.46,
Program Components Factor,,,,,,,
Skating Skills  1.60 6.00 6.25 5.25,6.50,6.50 5.50 6.00 7.25,,6.75,- - -,6.10,
Transition / Linking Footwork  1.60 5.75 6.00 5.25,6.25,6.00 5.25 5.75 7.00,,6.00,- - -,5.75,
Performance / Execution  1.60 5.50 6.25 5.25,6.50,6.00 5.25 5.75 7.00,,6.00,- - -,5.70,
Choreography / Composition  1.60 5.75 6.00 5.25,6.75,6.25 5.50 5.75 7.00,,6.50,- - -,5.95,
Interpretation  1.60 5.75 6.25 5.25,6.50,6.00 5.50 5.75 6.25,,6.25,- - -,5.85,
Judges Total Program Component Score (factored),,,,,,46.96,
Deductions: Falls: -1.00,,,,,,-1.00,
"<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
6 Nicole DELLA MONICA / Yannick KOCON ITA,,89.83  46.95,,,42.88,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 2FTh  3.00  0.10 1 0 0,0,1 0 0 1,,,0 - - -,3.10,
2 5TLi3  5.50  0.20 0 0 0,1,1 0 0 0,,,1 - - -,5.70,
3 2F+2T  3.00  0.10 0 1 0,1,1 0 0 1,,,0 - - -,3.10,
4 FCoSp4  3.00  0.40 1 2 1,1,1 0 0 1,,,1 - - -,3.40,
5 5ALi1  5.00  0.00 0 -1 0,0,1 0 0 -1,,,0 - - -,5.00,
6 3STh  4.95 x  0.56 1 1 0,1,1 0 1 1,,,2 - - -,5.51,
7 2LzTw1  3.30 x -0.12 -1 0 -1,0,0 0 0 -1,,,-1 - - -,3.18,
8 3S  4.95 x -0.20 -1 -1 -1,0,0 0 1 1,,,0 - - -,4.75,
9 FiDs1  2.80  0.56 1 1 0,1,1 1 0 0,,,1 - - -,3.36,
10 3Li1  2.75 x  0.00 0 0 0,0,1 0 0 0,,,0 - - -,2.75,
11 PCoSp3  4.00  0.30 1 1 0,1,1 0 1 0,,,0 - - -,4.30,
12 SlSt2  2.30  0.50 1 2 1,1,1 0 1 1,,,1 - - -,2.80,
44.55,,,,,,46.95,
Program Components Factor,,,,,,,
Skating Skills  1.60 5.50 5.75 5.00,5.25,6.00 5.50 5.00 5.50,,5.75,- - -,5.40,
Transition / Linking Footwork  1.60 5.00 5.00 5.00,5.00,5.50 5.25 4.75 4.75,,5.00,- - -,5.05,
Performance / Execution  1.60 5.50 5.75 5.25,5.25,5.75 5.50 4.75 5.00,,6.00,- - -,5.45,
Choreography / Composition  1.60 5.50 5.25 5.00,5.50,5.75 5.50 4.75 5.00,,6.00,- - -,5.45,
Interpretation  1.60 5.50 5.75 5.25,5.25,6.00 5.25 4.75 5.00,,6.25,- - -,5.45,
Judges Total Program Component Score (factored),,,,,,42.88,
Deductions:,,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,,
ISU European Figure Skating Championships,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
7 Erica RISSEEUW / Robert PAXTON GBR,,85.50  45.26,,,40.24,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 2LzTw1  3.00 -0.06 0 0 0,0,0 0 -1 0,,,-1 - - -,2.94,
2 3T< <  1.30 -0.54 -2 -2 -2,-1,-2 -1 -2 -2 Info,,,-3 - - -,0.76,Info
3 5ALi4  6.50  1.00 1 1 1,1,0 1 1 1,,,1 - - -,7.50,
4 3STh  4.50  0.00 0 0 0,0,0 0 1 1,,,0 - - -,4.50,
5 FCCoSp2  2.50 -0.06 -1 0 0,0,0 0 -1 -1,,,0 - - -,2.44,
6 5TLi3  5.50 -0.10 -1 0 -1,0,0 0 0 0,,,1 - - -,5.40,
7 2LoTh  3.30 x  0.00 0 0 0,0,0 0 0 0,,,0 - - -,3.30,
8 2A+2T  5.28 x -0.32 0 -1 0,-1,-1 -1 0 -1,,,0 - - -,4.96,
9 3Li2  3.30 x  0.10 0 1 0,1,0 0 1 1,,,0 - - -,3.40,
10 PCoSp3  4.00  0.00 0 0 -1,0,0 0 1 0,,,0 - - -,4.00,
11 SlSt2  2.30  0.00 0 1 0,0,0 0 0 0,,,0 - - -,2.30,
12 FiDs3  3.20  0.56 1 1 0,1,1 1 1 0,,,0 - - -,3.76,
44.68,,,,,,45.26,
Program Components Factor,,,,,,,
Skating Skills  1.60 4.75 5.50 5.00,5.00,5.00 5.00 5.25 6.00,,5.25,- - -,5.05,
Transition / Linking Footwork  1.60 4.50 5.00 5.00,4.75,5.25 4.75 5.25 5.25,,4.75,- - -,4.90,
Performance / Execution  1.60 4.50 5.50 4.75,5.00,5.00 5.25 5.25 6.00,,5.00,- - -,5.00,
Choreography / Composition  1.60 4.75 5.50 4.75,5.00,5.25 5.25 5.25 5.75,,5.50,- - -,5.10,
Interpretation  1.60 4.75 5.75 4.75,5.00,5.50 5.00 5.25 5.50,,5.50,- - -,5.10,
Judges Total Program Component Score (factored),,,,,,40.24,
Deductions:,,,,,,0.00,
"<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
8 Maylin HAUSCH / Daniel WENDE GER,,84.47  45.39,,,40.08,1.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 2LzTw2  3.50  0.20 0 1 0,1,0 1 -1 0,,,1 - - -,3.70,
2 3STh  4.50  0.42 1 1 0,1,0 1 0 1,,,1 - - -,4.92,
3 2T+2T  2.60  0.00 0 0 0,0,0 0 0 1,,,0 - - -,2.60,
4 2ATh  4.00 -2.00 -3 -3 -3,-3,-3 -3 -3 -3,,,-3 - - -,2.00,
5 5ALi4  6.50  1.00 1 1 1,1,1 1 1 1,,,1 - - -,7.50,
6 1S  0.40 -0.20 -2 -2 -2,-3,-2 -2 -2 -2,,,-2 - - -,0.20,
7 3Li4  4.00  0.20 0 1 0,0,1 0 1 0,,,1 - - -,4.20,
8 SlSt3  3.30  0.20 1 1 0,1,1 0 0 1,,,0 - - -,3.50,
9 FCCoSp3  3.00 -0.12 -1 -1 -1,0,-1 0 0 0,,,0 - - -,2.88,
10 5SLi3  6.05 x  0.20 1 1 0,0,1 0 1 1,,,0 - - -,6.25,
11 FiDs2  3.00  0.14 1 1 0,0,0 0 1 0,,,-1 - - -,3.14,
12 PCoSp4  4.50  0.00 0 1 0,0,0 0 0 1,,,0 - - -,4.50,
45.35,,,,,,45.39,
Program Components Factor,,,,,,,
Skating Skills  1.60 5.00 5.25 4.75,5.00,5.00 5.50 5.00 5.75,,5.00,- - -,5.00,
Transition / Linking Footwork  1.60 4.75 5.00 4.50,4.75,4.50 5.25 4.75 5.75,,4.75,- - -,4.70,
Performance / Execution  1.60 5.00 5.25 4.50,5.25,5.00 5.50 5.00 6.00,,5.00,- - -,5.05,
Choreography / Composition  1.60 5.50 5.00 4.75,5.25,4.75 5.50 5.00 5.50,,5.25,- - -,5.15,
Interpretation  1.60 5.25 5.25 4.50,5.25,5.00 5.25 5.00 5.50,,5.25,- - -,5.15,
Judges Total Program Component Score (factored),,,,,,40.08,
Deductions: Falls: -1.00,,,,,,-1.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,,
ISU European Figure Skating Championships,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
9 Vanessa JAMES / Yannick BONHEUR FRA,,83.83  44.79,,,39.04,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3S<+SEQ <  1.04 -0.42 -2 -1 -1,-2,-1 0 -1 1,,,-2 - - -,0.62,
2 2LzTw1  3.00  0.30 1 1 0,0,1 1 1 1 Info,,,0 - - -,3.30,Info
3 5ALi3  6.00  0.00 0 0 0,0,1 0 -1 -1,,,0 - - -,6.00,
4 3STh  4.50  0.56 1 2 0,1,1 0 1 0,,,1 - - -,5.06,
5 2T  1.30  0.00 0 1 0,1,0 0 0 1,,,0 - - -,1.30,
6 FiDs1  2.80 -0.14 0 0 0,0,1 -1 -1 0,,,0 - - -,2.66,
7 5SLi2  5.50 x  0.30 0 1 1,1,2 0 1 1,,,0 - - -,5.80,
8 3FTh  6.05 x  0.70 1 2 1,1,1 1 2 1,,,1 - - -,6.75,
9 FCCoSp3  3.00 -0.30 -1 -1 0,-1,-1 -1 -1 -1,,,-1 - - -,2.70,
10 PCoSp3  4.00  0.00 0 1 0,0,0 0 0 1,,,0 - - -,4.00,
11 SlSt2  2.30  0.10 0 1 0,0,1 0 1 1,,,-1 - - -,2.40,
12 4Li4  4.40 x -0.20 0 0 0,0,-1 0 -2 -1,,,-1 - - -,4.20,
43.89,,,,,,44.79,
Program Components Factor,,,,,,,
Skating Skills  1.60 5.00 5.50 5.00,4.50,5.25 5.00 5.00 6.00,,4.75,- - -,4.95,
Transition / Linking Footwork  1.60 4.25 5.25 4.75,4.25,4.25 5.25 4.75 5.50,,4.50,- - -,4.50,
Performance / Execution  1.60 4.75 5.75 5.00,4.50,5.50 5.25 4.75 5.75,,5.50,- - -,5.05,
Choreography / Composition  1.60 4.75 5.50 5.00,4.75,5.25 5.50 4.75 5.50,,5.25,- - -,5.00,
Interpretation  1.60 4.50 5.75 5.00,4.50,5.00 5.25 4.75 5.50,,5.25,- - -,4.90,
Judges Total Program Component Score (factored),,,,,,39.04,
Deductions:,,,,,,0.00,
"<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
10 Adeline CANAC / Maximin COIA FRA,,83.16  41.96,,,41.20,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 2FTw2  3.50  0.20 0 1 0,1,1 0 1 1,,,0 - - -,3.70,
2 3S< <  1.30 -0.42 -2 -1 -1,-2,-1 0 -1 -1,,,-2 - - -,0.88,
3 5ALi3  6.00  0.80 0 1 1,1,1 0 1 1,,,1 - - -,6.80,
4 3LoTh  5.00 -0.70 -1 -1 -1,-1,-1 -1 0 1,,,-1 - - -,4.30,
5 FiDs2  3.00  0.28 1 1 0,0,1 0 1 0,,,0 - - -,3.28,
6 2A+SEQ  2.80 -1.60 -2 -2 -2,-1,-2 -2 -2 -2,,,-2 - - -,1.20,
7 5TLi3  6.05 x  0.10 1 0 0,0,0 0 0 1,,,1 - - -,6.15,
8 3STh  4.95 x -1.40 -2 -2 -2,-2,-2 -2 -2 -2,,,-2 - - -,3.55,
9 PCoSp1  3.00  0.00 0 0 0,0,0 0 0 0,,,0 - - -,3.00,
10 SlSt1  1.80  0.10 1 -1 0,0,0 0 1 0,,,0 - - -,1.90,
11 3Li4  4.40 x  0.10 0 0 0,1,1 0 0 1,,,0 - - -,4.50,
12 FCCoSp2  2.50  0.20 0 1 1,0,1 0 0 1,,,1 - - -,2.70,
44.30,,,,,,41.96,
Program Components Factor,,,,,,,
Skating Skills  1.60 5.50 5.25 5.00,5.00,5.50 5.25 5.25 6.00,,5.25,- - -,5.25,
Transition / Linking Footwork  1.60 5.00 5.00 4.75,4.75,5.00 5.00 5.00 5.50,,4.25,- - -,4.90,
Performance / Execution  1.60 5.00 5.25 5.00,5.00,5.75 5.25 5.00 6.00,,5.25,- - -,5.10,
Choreography / Composition  1.60 5.25 5.50 5.00,5.25,5.75 5.50 5.00 5.50,,5.50,- - -,5.30,
Interpretation  1.60 5.25 5.50 5.00,5.25,5.50 5.25 5.00 5.50,,5.25,- - -,5.20,
Judges Total Program Component Score (factored),,,,,,41.20,
Deductions:,,,,,,0.00,
"<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,,
ISU European Figure Skating Championships,,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,,
"",,Total Total,,,,Total,Total,
NOC,,Segment Element,,,,Program  Component,Deductions,
Rank Name,,,,,,,,
Code,,Score Score,,,,Score (factored),,
"",,= +,,,,+,-,
11 Stacey KEMP / David KING GBR,,79.49  43.57,,,,37.92,2.00,
"# Executed Base GOE",,The Judges Panel,,,,,Scores,
Elements Value,,(in random order),,,,,of Panel,
1 2LzTw3  4.00  0.00 0 0 0,0,0 -1 0 1,,,0,- - -,4.00,
2 2F  1.70  0.00 0 0 0,0,0 0 0 0 Info,,,0,- - -,1.70,Info
3 3LoTh  5.00 -2.00 -3 -3 -3,-3,-3 -3 -3 -3,,,-2,- - -,3.00,
4 5ALi4  6.50  0.40 0 0 0,0,1 0 1 0,,,1,- - -,6.90,
5 FCCoSp4  3.50  0.00 0 0 0,0,0 0 0 0,,,0,- - -,3.50,
6 3Li4  4.00  0.20 1 0 0,0,1 0 1 1,,,0,- - -,4.20,
7 3TTh  4.95 x -2.00 -3 -3 -3,-3,-3 -3 -3 -3,,,-3,- - -,2.95,
8 PCoSp3  4.00  0.00 0 0 0,0,1 0 0 1,,,0,- - -,4.00,
9 SlSt2  2.30  0.00 0 0 0,0,0 0 0 0,,,-1,- - -,2.30,
10 2F+SEQ  1.50 x -0.42 -1 -1 -2,-1,-1 -2 -2 -2,,,-1,- - -,1.08,
11 5TLi4  6.60 x  0.00 0 0 0,1,0 0 0 0,,,0,- - -,6.60,
12 FiDs3  3.20  0.14 1 1 0,0,1 0 0 -1,,,0,- - -,3.34,
47.25,,,,,,,43.57,
Program Components Factor,,,,,,,,
Skating Skills  1.60 5.00 5.00 4.50,4.75,5.00 5.00 4.50 5.50,,5.00,,- - -,4.85,
Transition / Linking Footwork  1.60 4.75 4.75 4.50,4.50,5.25 4.75 4.25 5.25,,5.00,,- - -,4.70,
Performance / Execution  1.60 4.50 4.75 4.50,4.75,4.75 5.25 4.25 5.25,,4.50,,- - -,4.60,
Choreography / Composition  1.60 5.00 5.00 4.25,5.00,5.00 5.00 4.50 5.00,,4.75,,- - -,4.85,
Interpretation  1.60 4.75 5.25 4.25,4.75,4.75 4.75 4.50 5.00,,5.00,,- - -,4.70,
Judges Total Program Component Score (factored),,,,,,,37.92,
Deductions: Falls: -2.00,,,,,,,-2.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,,,
"",,Total Total,,,,Total,Total,
NOC,,Segment Element,,,,Program  Component,Deductions,
Rank Name,,,,,,,,
Code,,Score Score,,,,Score (factored),,
"",,= +,,,,+,-,
12 Marika ZANFORLIN / Federico DEGLI ESPOSTI ITA,,77.10  43.82,,,,33.28,0.00,
"# Executed Base GOE",,The Judges Panel,,,,,Scores,
Elements Value,,(in random order),,,,,of Panel,
1 3LoTh  5.00  0.14 0 1 0,1,0 1 0 0,,,-1,- - -,5.14,
2 2LzTw1  3.00 -0.06 0 0 0,0,-1 0 -1 -1,,,0,- - -,2.94,
3 5TLi3  5.50  0.10 0 1 0,0,-1 1 0 0,,,1,- - -,5.60,
4 2T  1.30  0.00 0 1 0,0,0 0 0 0,,,0,- - -,1.30,
5 PCoSp3  4.00  0.00 0 0 0,0,0 0 0 0,,,0,- - -,4.00,
6 SlSt1  1.80  0.00 0 0 0,0,0 0 0 0,,,0,- - -,1.80,
7 3STh  4.95 x  0.00 0 1 0,0,0 0 1 0,,,0,- - -,4.95,
8 FiDs2  3.00  0.42 1 1 0,1,0 1 1 0,,,0,- - -,3.42,
9 2F<+COMBO <  0.55 x -0.28 -2 -3 -3,-2,-3 -3 -3 -3,,,-3,- - -,0.27,
10 3Li3  3.85 x  0.30 0 1 1,1,-1 0 1 0,,,1,- - -,4.15,
11 FCCoSp3  3.00 -0.30 -1 -1 -1,-1,-1 -1 -1 -2,,,0,- - -,2.70,
12 5RLi4  7.15 x  0.40 1 1 1,1,-1 0 0 -1,,,0,- - -,7.55,
43.10,,,,,,,43.82,
Program Components Factor,,,,,,,,
