ISU European Figure Skating Championships,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
Performance / Execution  2.00 6.50 8.00 6.50,7.75,7.50 7.75 7.25 8.00,,7.50,- - -,7.65,
Choreography / Composition  2.00 6.75 8.00 7.00,7.50,7.50 7.75 7.25 7.75,,7.25,- - -,7.55,
Interpretation  2.00 6.75 8.00 6.75,7.50,7.50 7.75 7.00 8.00,,7.50,- - -,7.55,
Judges Total Program Component Score (factored),,,,,,74.60,
Deductions: Falls: -1.00,,,,,,-1.00,
"x  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge (long)",,,,,,,
ISU European Figure Skating Championships,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
3 Samuel CONTESTI ITA,,144.97  76.77,,,68.20,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3A+3T  12.20  1.20 1 1 2,1,1 2 1 2,,1,- - -,13.40,
2 2Lz  1.90  0.50 0 1 0,1,1 1 1 I1nfo,,0,- - -,2.40,Info
3 3F  5.50  0.60 0 1 0,0,1 1 0 1,,0,- - -,6.10,
4 CCoSp4  3.50  0.30 0 1 1,1,1 0 0 1,,0,- - -,3.80,
5 SSp4  2.50  0.40 0 1 1,1,1 1 0 1,,0,- - -,2.90,
6 CiSt3  3.30  0.50 1 1 1,1,1 1 0 1,,0,- - -,3.80,
7 3A  9.02 x -0.56 -1 0 -1,-1,1 0 -1 0,,-1,- - -,8.46,
8 3Lo  5.50 x  1.20 1 2 1,1,1 1 1 2,,1,- - -,6.70,
9 FSSp4  3.00  0.50 1 1 1,1,1 1 1 1,,1,- - -,3.50,
10 SlSt3  3.30  0.70 1 1 1,2,1 2 0 2,,1,- - -,4.00,
11 3S+3T  9.35 x  0.80 0 1 1,1,1 0 1 1,,1,- - -,10.15,
12 2A  3.85 x  0.80 0 1 1,1,1 1 0 1,,1,- - -,4.65,
13 2A+2T+2T  6.71 x  0.20 0 1 0,0,0 0 0 1,,0,- - -,6.91,
69.63,,,,,,76.77,
Program Components Factor,,,,,,,
Skating Skills  2.00 6.75 7.50 7.00,6.75,6.75 6.50 6.50 6.25,,6.75,- - -,6.65,
Transition / Linking Footwork  2.00 6.25 7.00 6.50,6.50,6.50 5.75 6.00 6.25,,6.75,- - -,6.30,
Performance / Execution  2.00 6.75 7.50 6.50,7.00,7.00 7.00 6.75 7.00,,7.00,- - -,6.95,
Choreography / Composition  2.00 6.50 7.50 7.25,7.25,6.75 7.50 6.75 7.00,,7.50,- - -,7.05,
Interpretation  2.00 6.75 7.50 7.00,7.50,7.00 7.50 6.75 7.00,,7.25,- - -,7.15,
Judges Total Program Component Score (factored),,,,,,68.20,
Deductions:,,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
4 Kevin VAN DER PERREN BEL,,143.56  76.86,,,66.70,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3A  8.20  1.00 0 2 1,1,1 1 1 1,,0,- - -,9.20,
2 2A  3.50  1.00 1 1 0,1,1 2 1 1,,1,- - -,4.50,
3 3Lz  6.00  0.80 1 1 1,1,1 0 0 1,,1,- - -,6.80,
4 FSSp4  3.00  0.20 0 1 1,1,1 0 0 0,,0,- - -,3.20,
5 SlSt3  3.30  0.40 0 1 0,1,1 1 0 1,,1,- - -,3.70,
6 3S+3T+3Lo  14.85 x  0.40 0 1 1,0,0 1 0 1,,0,- - -,15.25,
7 3F+2T  7.48 x  0.40 0 1 0,0,0 1 0 1,,0,- - -,7.88,
8 3Lo  5.50 x  0.40 0 1 0,0,0 1 0 1,,0,- - -,5.90,
9 CUSp3  2.40  0.20 0 1 0,0,0 1 0 1,,0,- - -,2.60,
10 3F  6.05 x  1.00 1 1 0,1,1 1 2 1,,1,- - -,7.05,
11 2A+2T  5.28 x  0.20 0 1 0,0,0 0 0 1,,0,- - -,5.48,
12 CiSt1  1.80  0.10 0 1 0,1,0 0 0 0,,0,- - -,1.90,
13 CCoSp3  3.00  0.40 1 2 1,1,1 0 0 1,,0,- - -,3.40,
70.36,,,,,,76.86,
Program Components Factor,,,,,,,
Skating Skills  2.00 7.00 7.50 6.75,6.75,6.75 6.75 6.25 6.00,,6.75,- - -,6.70,
Transition / Linking Footwork  2.00 6.50 7.00 6.00,6.50,6.25 6.50 5.75 6.00,,6.25,- - -,6.35,
Performance / Execution  2.00 7.00 7.75 6.50,6.75,6.75 7.00 6.50 6.75,,6.50,- - -,6.85,
Choreography / Composition  2.00 6.75 7.50 6.75,7.00,6.50 7.00 6.25 6.25,,6.75,- - -,6.70,
Interpretation  2.00 6.75 7.50 6.50,6.75,6.75 6.75 6.50 6.75,,6.50,- - -,6.75,
Judges Total Program Component Score (factored),,,,,,66.70,
Deductions:,,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,,
ISU European Figure Skating Championships,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
5 Alban PREAUBERT FRA,,138.72  74.02,,,64.70,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 4T  9.80  0.80 1 1 1,1,1 2 0 0,,1,- - -,10.60,
2 3A  8.20  0.80 0 2 1,1,1 1 0 I1nfo,,0,- - -,9.00,Info
3 3F+3T  9.50  0.40 0 1 0,1,0 0 0 1,,0,- - -,9.90,
4 3A+SEQ  6.56 -2.52 -2 -1 -2,-2,-1 -2 -2 -2,,-2,- - -,4.04,
5 CSSp3  2.60  0.20 0 1 0,0,0 1 0 1,,0,- - -,2.80,
6 3Lz e  6.60 x -1.40 -1 -1 -1,-1,-2 -2 0 -2,,-1,- - -,5.20,
7 3Lo  5.50 x  0.80 0 1 0,1,1 1 0 1,,1,- - -,6.30,
8 CiSt3  3.30  0.10 0 1 0,0,0 0 0 1,,0,- - -,3.40,
9 3F+2T+2Lo  9.13 x -0.40 -1 0 -1,0,-1 0 -1 0,,0,- - -,8.73,
10 FSSp3  2.60  0.00 -1 0 0,0,0 0 0 0,,0,- - -,2.60,
11 SlSt3  3.30  0.30 0 1 0,0,1 1 0 1,,1,- - -,3.60,
12 3S  4.95 x -0.40 0 1 -1,0,-1 -1 -1 0,,0,- - -,4.55,
13 CCoSp3  3.00  0.30 -1 2 0,1,1 0 0 1,,0,- - -,3.30,
75.04,,,,,,74.02,
Program Components Factor,,,,,,,
Skating Skills  2.00 5.50 7.25 6.75,7.00,6.75 6.25 6.25 6.25,,7.00,- - -,6.50,
Transition / Linking Footwork  2.00 5.75 6.75 6.00,6.50,6.25 6.25 6.00 6.00,,6.50,- - -,6.20,
Performance / Execution  2.00 6.00 7.00 6.25,7.00,6.50 6.25 6.50 6.00,,6.75,- - -,6.45,
Choreography / Composition  2.00 6.00 7.00 7.00,7.25,6.50 6.50 6.50 6.25,,7.00,- - -,6.55,
Interpretation  2.00 5.75 7.00 7.00,7.25,6.50 6.50 6.50 6.75,,7.00,- - -,6.65,
Judges Total Program Component Score (factored),,,,,,64.70,
Deductions:,,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge (long)",,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
6 Andrei LUTAI RUS,,132.82  70.72,,,62.10,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3A  8.20 -2.52 -2 -1 -2,-2,-2 -2 -2 -1,,-2,- - -,5.68,
2 4T+2T  11.10  0.60 0 1 0,0,1 1 0 1,,0,- - -,11.70,
3 3A+2T  9.50  0.00 0 1 -1,0,0 0 -1 0,,0,- - -,9.50,
4 CiSt2  2.30  0.50 1 1 0,1,1 1 1 1,,1,- - -,2.80,
5 CCoSp4  3.50  0.50 1 2 1,1,1 1 0 1,,1,- - -,4.00,
6 3Lz  6.60 x  0.00 0 0 0,0,0 0 0 0,,0,- - -,6.60,
7 3F e  6.05 x -1.00 -1 -1 -1,-1,-1 -1 -1 -1,,-1,- - -,5.05,
8 CSSp4  3.00  0.40 1 1 0,1,1 0 0 1,,0,- - -,3.40,
9 3Lo  5.50 x  0.80 0 1 1,1,0 1 2 1,,0,- - -,6.30,
10 3S+2A+SEQ  7.04 x  0.20 0 1 0,0,0 0 -1 1,,0,- - -,7.24,
11 SlSt3  3.30  0.10 0 0 0,0,1 0 0 1,,0,- - -,3.40,
12 2A  3.85 x -1.60 -2 -1 -2,-2,-2 -2 -2 -2,,-2,- - -,2.25,
13 FSSp3  2.60  0.20 0 1 0,1,0 0 0 1,,1,- - -,2.80,
72.54,,,,,,70.72,
Program Components Factor,,,,,,,
Skating Skills  2.00 6.00 7.00 6.00,6.25,6.50 6.50 6.00 6.50,,6.00,- - -,6.35,
Transition / Linking Footwork  2.00 5.75 6.25 5.50,5.75,6.00 5.75 5.50 6.00,,5.75,- - -,5.85,
Performance / Execution  2.00 5.75 7.00 5.00,6.00,6.25 6.50 6.00 6.50,,5.75,- - -,6.25,
Choreography / Composition  2.00 5.75 6.75 5.75,6.25,6.25 6.50 6.25 6.25,,5.75,- - -,6.30,
Interpretation  2.00 6.00 7.00 5.50,6.25,6.50 6.25 6.00 6.50,,5.50,- - -,6.30,
Judges Total Program Component Score (factored),,,,,,62.10,
Deductions:,,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge (long)",,,,,,,
ISU European Figure Skating Championships,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",Total Total,,,Total,Total,
NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,
Code,Score Score,,,Score (factored),,
"",=,+,,+,-,
7 Tomas VERNER CZE,126.53  54.23,,,72.30,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 4T< <  4.00 -2.60 -3 -3 -3 -3,-2 -2 -3,-2,,-3 - - -,1.40,
2 3Lz+3T  10.00  1.00 1 1 1 1,1 1 1,I1nfo,,1 - - -,11.00,Info
3 3A  8.20  1.20 1 2 0 1,1 1 1,2,,1 - - -,9.40,
4 1S  0.40 -0.14 -2 0 -1 -1,-2 -1 -2,-1,,0 - - -,0.26,
5 SlSt3  3.30  0.60 1 1 2 1,1 2 0,2,,1 - - -,3.90,
6 FSSp4  3.00  0.30 0 1 0 0,1 1 0,1,,1 - - -,3.30,
7 1A  0.88 x  0.00 0 0 -1 0,0 0 0,0,,0 - - -,0.88,
8 3Lo  5.50 x  1.00 1 1 1 1,1 1 0,2,,0 - - -,6.50,
9 1Lz  0.66 x  0.00 0 0 -1 0,0 0 0,0,,0 - - -,0.66,
10 3F+2T+2Lo< e  8.03 x -2.40 -3 -2 -3 -3,-2 -2 -3,-2,,-2 - - -,5.63,
11 CSSp4  3.00  0.40 0 1 1 1,1 0 1,1,,0 - - -,3.40,
12 CiSt3  3.30  0.60 1 1 1 1,2 2 1,1,,0 - - -,3.90,
13 CCoSp4  3.50  0.50 1 2 1 1,1 1 1,1,,0 - - -,4.00,
53.77,,,,,54.23,
Program Components Factor,,,,,,
Skating Skills  2.00 6.75 7.50 6.75 7.75,7.50 7.25 6.75,7.50,,7.50 - - -,7.30,
Transition / Linking Footwork  2.00 6.25 7.00 6.00 7.25,7.25 6.75 6.50,7.25,,6.75 - - -,6.95,
Performance / Execution  2.00 6.00 7.50 5.25 7.75,7.50 7.00 6.75,7.25,,7.25 - - -,7.20,
Choreography / Composition  2.00 6.25 7.25 7.25 7.75,7.75 7.25 6.75,7.75,,7.25 - - -,7.35,
Interpretation  2.00 6.25 7.50 6.50 8.00,7.75 7.25 6.50,7.75,,7.25 - - -,7.35,
Judges Total Program Component Score (factored),,,,,72.30,
Deductions:,,,,,0.00,
"<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge (long)",,,,,,
"",Total Total,,,Total,Total,
NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,
Code,Score Score,,,Score (factored),,
"",=,+,,+,-,
8 Michal BREZINA CZE,123.84  66.34,,,58.50,1.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 3A+2T  9.50  1.00 1 1 2 1,1 1 1,2,,0 - - -,10.50,
2 3Lz  6.00  1.00 1 1 1 1,1 1 1,2,,1 - - -,7.00,
3 3F+2T  6.80  0.80 0 0 1 1,1 2 1,1,,0 - - -,7.60,
4 CSSp4  3.00  0.10 -1 0 1 0,0 1 0,1,,0 - - -,3.10,
5 SlSt3  3.30  0.50 1 1 1 1,1 1 0,1,,1 - - -,3.80,
6 3A  8.20 -4.20 -3 -3 -3 -3,-3 -3 -3,-2,,-2 - - -,4.00,
7 3Lo< <  1.65 x -0.84 -3 -3 -3 -2,-3 -2 -3,-2,,-2 - - -,0.81,
8 3F  6.05 x  0.60 1 1 1 1,0 0 0,2,,1 - - -,6.65,
9 SeSt3  3.30  0.20 1 0 0 0,0 1 0,1,,0 - - -,3.50,
10 3S+2T+2Lo  8.03 x  0.00 0 0 1 0,0 0 0,1,,0 - - -,8.03,
11 FSSp4  3.00  0.20 0 1 1 0,0 2 0,1,,0 - - -,3.20,
12 2A  3.85 x  0.60 0 1 1 1,0 1 0,2,,1 - - -,4.45,
13 CCoSp4  3.50  0.20 0 1 1 0,0 1 0,1,,0 - - -,3.70,
66.18,,,,,66.34,
Program Components Factor,,,,,,
Skating Skills  2.00 5.25 6.25 6.50 6.50,6.00 6.50 5.75,6.75,,6.25 - - -,6.20,
Transition / Linking Footwork  2.00 5.00 5.75 5.75 5.75,5.50 5.00 5.25,6.50,,5.50 - - -,5.45,
Performance / Execution  2.00 5.25 6.00 5.25 6.00,5.75 6.25 5.50,7.00,,5.75 - - -,5.90,
Choreography / Composition  2.00 5.50 5.75 6.25 6.25,5.50 6.25 5.50,7.00,,5.50 - - -,5.85,
Interpretation  2.00 5.25 5.75 6.25 6.00,5.75 6.25 5.50,7.00,,5.75 - - -,5.85,
Judges Total Program Component Score (factored),,,,,58.50,
Deductions: Falls: -1.00,,,,,-1.00,
"<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
ISU European Figure Skating Championships,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
9 Jamal OTHMAN SUI,,121.29  64.89,,,56.40,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 1A  0.80  0.40 1 0 0,1,1 2 0 1,,0,- - -,1.20,
2 3Lz+3T  10.00  1.00 0 1 1,1,1 1 1 I1nfo,,1,- - -,11.00,Info
3 3F  5.50  1.00 0 1 0,1,1 1 1 1,,1,- - -,6.50,
4 3Lo  5.00  0.60 0 1 1,1,0 1 0 1,,0,- - -,5.60,
5 CUSp4  2.90  0.50 0 1 0,1,1 1 1 1,,1,- - -,3.40,
6 CiSt3  3.30  0.40 1 1 1,0,0 1 1 1,,1,- - -,3.70,
7 3F+2T+2Lo !  9.13 x -0.40 -1 0 -1,-1,0 0 -1 0,,0,- - -,8.73,
8 3Lz+2T  8.03 x  0.40 -1 1 0,0,1 0 0 1,,0,- - -,8.43,
9 3S  4.95 x  0.20 0 1 1,0,0 1 0 0,,0,- - -,5.15,
10 CCoSp3  3.00  0.20 0 1 0,1,0 0 0 1,,0,- - -,3.20,
11 SlSt3  3.30  0.40 0 1 1,0,1 1 1 1,,0,- - -,3.70,
12 1A  0.88 x  0.00 0 0 0,0,0 0 0 0,,0,- - -,0.88,
13 FCoSp4  3.00  0.40 0 1 1,0,1 1 1 1,,1,- - -,3.40,
59.79,,,,,,64.89,
Program Components Factor,,,,,,,
Skating Skills  2.00 4.75 6.50 6.25,5.25,5.50 6.50 5.75 5.50,,6.00,- - -,5.70,
Transition / Linking Footwork  2.00 4.50 6.00 5.50,5.00,5.25 5.25 5.50 5.50,,5.50,- - -,5.30,
Performance / Execution  2.00 5.25 6.50 5.00,5.25,5.75 6.00 5.75 6.00,,5.75,- - -,5.75,
Choreography / Composition  2.00 5.00 6.25 6.00,5.50,5.50 6.00 5.50 5.50,,6.00,- - -,5.60,
Interpretation  2.00 5.25 6.50 5.75,5.50,5.75 6.25 5.75 6.00,,5.75,- - -,5.85,
Judges Total Program Component Score (factored),,,,,,56.40,
Deductions:,,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1!  Jump take off with wrong edge (short)",,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
10 Kristoffer BERNTSSON SWE,,117.96  54.26,,,63.70,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3Lz+3T  10.00 -2.00 -2 1 -2,-2,-2 -2 -2 -2,,-2,- - -,8.00,
2 1A  0.80 -0.04 0 0 -1,-1,0 0 0 -1,,-1,- - -,0.76,
3 3F  5.50  0.80 1 1 1,1,1 0 0 1,,0,- - -,6.30,
4 FSSp4  3.00  0.20 1 0 -1,0,1 1 0 0,,1,- - -,3.20,
5 SlSt3  3.30  0.50 1 1 1,1,1 1 0 1,,1,- - -,3.80,
6 2A+2T  4.80  0.00 0 1 -1,0,0 0 -1 0,,-1,- - -,4.80,
7 3A  9.02 x -2.80 -2 -2 -2,-2,-2 -2 -2 -2,,-2,- - -,6.22,
8 3S+3T< <  6.38 x -1.80 -2 -1 -2,-2,-2 -1 -2 -2,,-1,- - -,4.58,
9 2Lo  1.65 x  0.00 0 0 0,0,0 0 0 0,,0,- - -,1.65,
10 CSSp4  3.00  0.00 0 0 1,0,0 0 0 0,,0,- - -,3.00,
11 2A  3.85 x  0.40 0 1 0,0,0 1 0 1,,0,- - -,4.25,
12 CiSt3  3.30  0.50 1 1 1,1,1 1 1 2,,1,- - -,3.80,
13 CCoSp4  3.50  0.40 0 1 1,1,1 0 1 1,,0,- - -,3.90,
58.10,,,,,,54.26,
Program Components Factor,,,,,,,
Skating Skills  2.00 5.75 6.75 6.00,6.50,6.50 6.75 6.50 6.00,,5.75,- - -,6.45,
Transition / Linking Footwork  2.00 5.50 6.50 5.50,6.00,6.25 5.75 6.25 5.50,,5.75,- - -,5.95,
Performance / Execution  2.00 5.75 7.00 4.75,6.50,6.50 7.00 6.50 6.00,,6.25,- - -,6.50,
Choreography / Composition  2.00 5.50 6.75 6.50,6.50,6.25 7.00 6.50 6.00,,6.50,- - -,6.40,
Interpretation  2.00 5.50 6.75 5.75,6.75,6.50 6.75 6.50 6.25,,6.25,- - -,6.55,
Judges Total Program Component Score (factored),,,,,,63.70,
Deductions:,,,,,,0.00,
"<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,,
ISU European Figure Skating Championships,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
NOC,Segment,Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
11 Javier FERNANDEZ ESP,117.16,58.56,,,58.60,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3A  8.20  1.40 1 1 1 1,,2 1 2 2,,1,- - -,9.60,
2 3Lz  6.00  0.40 -1 1 0 1,,1 0 0 I0nfo,,0,- - -,6.40,Info
3 3A+SEQ  6.56 -2.80 -3 -2 -2 -2,,-2 -2 -2 -2,,-2,- - -,3.76,
4 CiSt3  3.30  0.50 1 1 0 1,,1 1 0 1,,0,- - -,3.80,
5 CSSp3  2.60  0.50 1 1 1 1,,1 1 1 2,,0,- - -,3.10,
6 3F+2T  7.48 x -0.80 -2 0 -1 -1,,0 -1 -1 -1,,-1,- - -,6.68,
7 3S  4.95 x -1.80 -2 -1 -2 -2,,-2 -2 -2 -1,,-2,- - -,3.15,
8 2F  1.87 x  0.00 0 0 0 0,,0 0 0 0,,0,- - -,1.87,
9 3Lo  5.50 x -2.00 -2 -2 -3 -2,,-2 -2 -2 -2,,-2,- - -,3.50,
10 3T+2A+SEQ  6.60 x  0.00 0 0 0 0,,0 0 0 1,,0,- - -,6.60,
11 FSSp3  2.60  0.40 1 1 1 1,,1 0 0 1,,1,- - -,3.00,
12 SlSt3  3.30  0.30 0 0 0 1,,1 0 1 2,,1,- - -,3.60,
13 CCoSp3  3.00  0.50 0 1 0 1,,1 1 1 1,,0,- - -,3.50,
61.96,,,,,,58.56,
Program Components Factor,,,,,,,
Skating Skills  2.00 5.75 6.75 6.00 6.25,,6.00 6.00 5.75 5.75,,6.25,- - -,5.95,
Transition / Linking Footwork  2.00 5.50 6.00 5.75 5.75,,5.50 4.50 5.50 5.00,,5.75,- - -,5.45,
Performance / Execution  2.00 6.00 6.50 5.00 6.00,,5.75 6.25 5.50 6.00,,6.25,- - -,6.00,
Choreography / Composition  2.00 6.00 6.50 5.75 6.25,,5.75 6.25 5.50 5.25,,6.00,- - -,5.95,
Interpretation  2.00 5.75 6.75 5.50 6.00,,6.00 6.00 5.75 6.00,,6.25,- - -,5.95,
Judges Total Program Component Score (factored),,,,,,58.60,
Deductions:,,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,,
"",,Total Total,,,Total,Total,
NOC,Segment,Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
12 Artem BORODULIN RUS,114.22,58.22,,,56.00,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3A  8.20 -3.64 -3 -2 -3 -3,,-2 -3 -3 -2,,-2,- - -,4.56,
2 3Lz+3T e  10.00 -1.00 0 -1 -1 -1,,-1 -2 -1 -1,,-1,- - -,9.00,
3 3F+2T+2Lo  8.30  0.20 0 1 0 0,,0 0 0 1,,0,- - -,8.50,
4 CSSp4  3.00  0.30 0 0 1 1,,1 1 0 1,,0,- - -,3.30,
5 CiSt3  3.30  0.70 2 1 1 1,,1 0 2 2,,1,- - -,4.00,
6 3F  6.05 x  1.00 1 1 1 1,,1 1 1 1,,1,- - -,7.05,
7 3Lz e  6.60 x -1.20 -1 -1 -2 -1,,-1 -2 -2 -1,,-1,- - -,5.40,
8 3Lo< <  1.65 x -1.00 -3 -3 -3 -3,,-3 -3 -3 -3,,-3,- - -,0.65,
9 2A  3.85 x  0.00 0 1 1 0,,0 0 0 0,,0,- - -,3.85,
