Cup of China 2006,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
Transition / Linking Footwork  1.60,5.00 6.25 5.50 5.25,,6.75 6.25 6.50 6.00,,6.25,6.50 - -,6.10
Performance / Execution  1.60,5.75 6.25 5.75 5.75,,6.75 6.75 6.50 6.25,,6.25,6.75 - -,6.30
Choreography / Composition  1.60,5.25 6.50 5.75 6.50,,7.00 6.50 6.50 6.25,,6.50,6.75 - -,6.45
Interpretation  1.60,5.50 6.50 5.75 6.00,,7.00 6.75 6.50 6.25,,6.50,7.00 - -,6.40
Judges Total Program Component Score (factored),,,,,,,50.88
Deductions:,,,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
Cup of China 2006,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
3 Emily HUGHES,USA,,94.38  40.30,,,54.08,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 2A  3.30  1.00,1 1 1 1,,1 1 1 0,,1,2 - -,4.30
2 3F+2T  6.80  0.00,0 0 0 0,,1 0 1 0,,-1,0 - -,6.80
3 2Lz  1.90 -0.36,-1 -2 -1 -1,,-1 -1 0 -2,,-1,-1 - -,1.54
4 SlSt3  3.10  0.20,0 0 1 0,,0 1 0 0,,0,1 - -,3.30
5 FSSp3  2.30  0.20,0 0 1 0,,0 1 1 0,,0,0 - -,2.50
6 LSp1  1.50  0.50,1 1 1 1,,1 1 1 1,,0,1 - -,2.00
7 3F<  1.87 x -0.84,-3 -3 -3 -3,,-2 -2 -2 -2,,-3,-3 - -,1.03
8 3S+2T  6.38 x  0.20,0 1 0 0,,1 0 1 0,,1,0 - -,6.58
9 SpSq1  1.80  0.40,1 1 1 1,,1 2 1 0,,0,0 - -,2.20
10 FSSp2  2.00  0.00,0 0 0 0,,0 0 0 0,,0,0 - -,2.00
11 3Lz<  2.09 x -0.60,-2 -2 -3 -2,,-2 -2 0 -2,,-2,-2 - -,1.49
12 3T<+2T  2.86 x -0.30,0 -1 0 -2,,0 -2 -1 0,,-2,-1 - -,2.56
13 CCoSp4  3.50  0.50,0 1 1 1,,1 1 1 1,,1,2 - -,4.00
39.40,,,,,,,40.30
Program Components Factor,,,,,,,
Skating Skills  1.60,6.75 6.75 7.25 6.75,,7.00 7.00 7.50 6.25,,6.50,7.00 - -,6.95
Transition / Linking Footwork  1.60,6.25 6.50 6.75 6.00,,6.75 6.75 7.25 6.00,,6.00,6.75 - -,6.55
Performance / Execution  1.60,6.75 6.50 7.00 6.25,,6.50 6.75 7.50 5.75,,6.00,6.75 - -,6.65
Choreography / Composition  1.60,6.50 6.75 7.25 6.50,,6.75 6.75 7.50 6.00,,6.25,7.00 - -,6.85
Interpretation  1.60,6.50 6.75 7.00 6.50,,6.75 6.75 7.25 6.00,,6.25,7.00 - -,6.80
Judges Total Program Component Score (factored),,,,,,,54.08
Deductions:,,,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
4 Mai ASADA,JPN,,87.01  41.85,,,46.16,1.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3Lz  6.00 -0.80,-1 -1 -1 -1,,0 0 0 -1,,0,-1 - -,5.20
2 3F  5.50  0.00,0 0 0 0,,0 -1 0 0,,0,0 - -,5.50
3 3Lo  5.00 -1.00,0 -1 -1 -1,,-1 -1 -2 0,,0,-1 - -,4.00
4 SpSq2  2.30  0.20,1 0 1 0,,1 0 0 1,,1,1 - -,2.50
5 LSp1  1.50  0.50,1 1 2 1,,1 1 0 1,,1,1 - -,2.00
6 3T  4.40 x  0.00,0 0 0 0,,0 0 0 0,,1,1 - -,4.40
7 3F<+SEQ  1.50 x -0.68,-2 -3 -3 -2,,-2 -2 -2 -2,,-3,-2 - -,0.82
8 SlSt2  2.30  0.20,1 0 1 1,,0 0 0 1,,1,0 - -,2.50
9 CCoSp2  2.50  0.40,1 0 1 1,,1 1 0 1,,1,1 - -,2.90
10 3S+2Lo  6.60 x -0.20,-1 0 0 0,,-1 0 0 -2,,-1,-1 - -,6.40
11 2A  3.63 x -2.10,-3 -3 -3 -3,,-3 -3 -3 -3,,-3,-3 - -,1.53
12 FSSp3  2.30  0.00,0 0 0 0,,0 -1 0 0,,1,1 - -,2.30
13 SSp3  1.80  0.00,0 0 0 0,,0 0 -1 0,,0,0 - -,1.80
45.33,,,,,,,41.85
Program Components Factor,,,,,,,
Skating Skills  1.60,5.50 5.75 5.75 6.00,,6.00 5.75 6.00 6.25,,6.25,6.00 - -,5.90
Transition / Linking Footwork  1.60,5.00 5.25 5.25 4.75,,5.75 5.75 5.75 6.00,,6.00,5.75 - -,5.55
Performance / Execution  1.60,5.75 5.50 5.75 5.50,,6.00 5.75 6.00 6.25,,6.25,6.00 - -,5.80
Choreography / Composition  1.60,5.00 5.50 5.75 5.75,,5.75 5.50 6.00 6.00,,6.50,6.25 - -,5.80
Interpretation  1.60,5.25 5.75 5.50 5.25,,6.00 5.75 6.00 6.00,,6.25,6.25 - -,5.80
Judges Total Program Component Score (factored),,,,,,,46.16
Deductions: Falls:,-1.00,,,,,,-1.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
Cup of China 2006,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
5 Binshu XU,CHN,,86.77  44.45,,,44.32,2.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3Lz+2T  7.30 -0.40,0 0 -1 1,,1 0 0 -1,,1,-1 - -,6.90
2 3T<  1.30 -1.00,-3 -3 -3 -3,,-3 -3 -3 -3,,-3,-3 - -,0.30
3 3Lo  5.00  0.00,0 0 0 0,,0 -1 0 0,,0,1 - -,5.00
4 FCSp2  2.00  0.50,1 1 1 1,,1 0 1 1,,1,1 - -,2.50
5 CiSt3  3.10  0.00,0 0 0 0,,0 0 0 0,,0,0 - -,3.10
6 2A+2A+SEQ  5.28  0.00,0 1 0 0,,0 0 0 0,,0,0 - -,5.28
7 LSp3  2.40  0.60,1 1 2 1,,1 1 1 1,,1,2 - -,3.00
8 CoSp2  2.10 -0.06,-1 -1 0 0,,0 -1 0 0,,0,0 - -,2.04
9 3Lz<  2.09 x -1.00,-3 -3 -3 -3,,-3 -3 -3 -3,,-3,-3 - -,1.09
10 3S  4.95 x -0.20,0 0 -1 1,,0 -1 0 0,,0,0 - -,4.75
11 SpSq1  1.80 -0.06,0 1 0 0,,0 0 -1 -2,,0,0 - -,1.74
12 3F  6.05 x  0.00,0 0 0 0,,0 -1 0 0,,-1,0 - -,6.05
13 CCoSp2  2.50  0.20,0 0 0 0,,1 0 2 1,,1,1 - -,2.70
45.87,,,,,,,44.45
Program Components Factor,,,,,,,
Skating Skills  1.60,6.00 5.75 5.50 5.50,,6.25 5.50 5.75 5.75,,5.50,6.00 - -,5.65
Transition / Linking Footwork  1.60,5.25 5.25 5.00 5.25,,5.75 5.25 5.75 5.50,,5.25,5.50 - -,5.35
Performance / Execution  1.60,5.75 5.50 5.25 5.25,,6.00 5.50 5.50 5.75,,5.50,5.75 - -,5.50
Choreography / Composition  1.60,5.25 5.50 5.50 5.75,,5.75 5.50 5.75 5.75,,5.50,5.75 - -,5.65
Interpretation  1.60,5.00 5.25 5.25 5.75,,6.00 5.50 5.75 5.75,,5.25,5.50 - -,5.55
Judges Total Program Component Score (factored),,,,,,,44.32
Deductions: Falls:,-2.00,,,,,,-2.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
6 Elena SOKOLOVA,RUS,,85.67  39.91,,,45.76,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3Lz<  1.90 -0.68,-2 -3 -3 -2,,-2 -2 -2 -2,,-2,-2 - -,1.22
2 3Lo  5.00 -0.40,0 0 0 -1,,0 -1 0 0,,0,-1 - -,4.60
3 2A  3.30  0.00,0 0 0 0,,1 -1 0 0,,1,0 - -,3.30
4 3S  4.50  0.00,0 0 0 0,,0 0 0 0,,0,0 - -,4.50
5 LSp1  1.50  0.20,0 0 1 0,,0 1 0 0,,0,1 - -,1.70
6 3T+2T+2Lo  7.48 x -0.20,0 0 0 -1,,0 -1 0 0,,0,0 - -,7.28
7 CSp2  1.50  0.00,0 -1 0 0,,0 0 0 0,,0,0 - -,1.50
8 SpSq1  1.80 -0.18,0 0 1 0,,0 -1 -1 -1,,0,-1 - -,1.62
9 2A+2T  5.06 x  0.20,0 1 0 0,,1 0 1 0,,1,0 - -,5.26
10 CCoSp2  2.50  0.00,0 0 0 -1,,0 0 0 0,,0,0 - -,2.50
11 2T  1.43 x  0.00,-1 0 0 0,,0 -1 0 0,,0,0 - -,1.43
12 SlSt3  3.10  0.20,0 0 1 0,,0 0 1 0,,1,1 - -,3.30
13 FSSp1  1.70  0.00,0 0 0 0,,0 0 0 0,,0,0 - -,1.70
40.77,,,,,,,39.91
Program Components Factor,,,,,,,
Skating Skills  1.60,5.50 5.75 6.25 5.25,,6.25 5.25 6.25 6.00,,6.25,6.00 - -,5.85
Transition / Linking Footwork  1.60,5.00 5.75 5.50 4.75,,6.00 5.00 6.25 5.50,,6.00,5.75 - -,5.50
Performance / Execution  1.60,5.25 6.00 5.75 5.00,,6.00 5.25 6.25 6.00,,6.00,6.00 - -,5.80
Choreography / Composition  1.60,5.50 6.00 6.00 5.25,,6.25 5.00 6.50 5.75,,6.25,6.00 - -,5.80
Interpretation  1.60,5.75 6.00 5.75 4.75,,6.25 5.00 6.50 5.75,,6.25,5.75 - -,5.65
Judges Total Program Component Score (factored),,,,,,,45.76
Deductions:,,,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
Cup of China 2006,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
7 Yan LIU,CHN,,85.35  41.11,,,44.24,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3Lz+2T  7.30 -0.20,-1 0 -1 0,,0 0 0 0,,0,-1 - -,7.10
2 1F+1T  0.90 -0.20,-2 -2 -2 -3,,-3 -2 -2 -2,,-3,-2 - -,0.70
3 2A  3.30  0.20,0 0 0 1,,1 0 1 0,,1,0 - -,3.50
4 3Lo+3S+SEQ  7.60  0.40,0 1 1 0,,0 -1 1 0,,0,0 - -,8.00
5 FCSp1  1.70  0.10,0 0 0 0,,0 -1 0 1,,0,1 - -,1.80
6 3T*+2T*  0.00  0.00,- - - -,,- - - -,,-,- - -,0.00
7 3T  4.40 x  0.00,0 0 0 0,,0 0 0 0,,0,0 - -,4.40
8 CCoSp2  2.50 -0.12,0 0 0 0,,-1 -1 -1 -1,,-1,0 - -,2.38
9 SlSt2  2.30  0.00,0 0 1 0,,0 -1 0 0,,0,0 - -,2.30
10 CCoSp1  2.00 -0.12,0 0 0 -1,,-1 -1 -1 0,,0,0 - -,1.88
11 SpSq2  2.30  0.00,1 0 1 0,,0 0 0 0,,0,0 - -,2.30
12 3S  4.95 x  0.00,0 0 0 0,,0 -1 0 0,,0,0 - -,4.95
13 LSp2  1.80  0.00,0 0 0 0,,0 0 0 1,,0,0 - -,1.80
41.05,,,,,,,41.11
Program Components Factor,,,,,,,
Skating Skills  1.60,5.25 6.00 5.75 5.25,,5.75 4.50 5.75 6.00,,5.75,5.75 - -,5.70
Transition / Linking Footwork  1.60,4.75 5.75 5.25 4.50,,5.25 4.50 5.50 6.00,,5.50,5.50 - -,5.30
Performance / Execution  1.60,5.50 6.00 5.50 5.00,,5.50 4.75 5.50 6.25,,5.75,5.75 - -,5.55
Choreography / Composition  1.60,4.75 5.75 5.75 5.00,,5.25 4.50 5.75 6.00,,5.25,5.75 - -,5.60
Interpretation  1.60,5.25 5.75 5.50 4.50,,5.50 4.50 5.75 6.00,,5.50,6.00 - -,5.50
Judges Total Program Component Score (factored),,,,,,,44.24
Deductions:,,,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
8 Beatrisa LIANG,USA,,85.27  42.51,,,45.76,3.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 LSp2  1.80  0.60,1 1 1 1,,1 1 2 2,,1,1 - -,2.40
2 3F+2T  6.80  0.20,0 1 0 0,,1 0 0 0,,0,1 - -,7.00
3 3Lz  6.00 -3.00,-3 -3 -3 -3,,-3 -3 -3 -3,,-3,-3 - -,3.00
4 2A  3.30 -0.14,0 0 0 0,,-1 -1 0 0,,0,-1 - -,3.16
5 FSSp3  2.30  0.00,0 0 0 0,,0 0 0 0,,1,0 - -,2.30
6 SlSt3  3.10  0.00,0 0 0 0,,0 0 0 0,,0,0 - -,3.10
7 3T+1T  4.84 x -0.80,-1 -1 -1 -1,,0 -1 0 0,,-1,-1 - -,4.04
8 CCoSp1  2.00 -0.06,0 -1 0 0,,-1 0 0 -1,,0,0 - -,1.94
9 3Lo<  1.65 x -1.00,-3 -3 -3 -3,,-3 -3 -3 -3,,-3,-3 - -,0.65
10 SpSq1  1.80 -0.12,0 0 0 0,,0 -2 0 -2,,0,0 - -,1.68
11 3F  6.05 x -1.40,-1 -1 -2 -2,,-1 -1 -1 -2,,-1,-1 - -,4.65
12 2A+2T+2Lo  6.71 x  0.00,0 0 0 0,,0 -1 0 0,,0,0 - -,6.71
13 CCoSp1  2.00 -0.12,0 -1 0 0,,0 0 -1 -1,,0,0 - -,1.88
48.35,,,,,,,42.51
Program Components Factor,,,,,,,
Skating Skills  1.60,6.25 6.00 6.00 5.75,,6.25 5.75 6.25 5.50,,6.00,6.00 - -,5.90
Transition / Linking Footwork  1.60,5.75 5.75 5.75 5.00,,5.75 5.25 6.00 5.00,,5.75,5.50 - -,5.45
Performance / Execution  1.60,6.00 5.75 6.00 5.25,,6.00 5.50 6.25 5.25,,6.00,5.75 - -,5.65
Choreography / Composition  1.60,5.75 6.00 6.25 5.75,,6.00 5.75 6.25 5.50,,6.25,5.50 - -,5.85
Interpretation  1.60,6.00 6.00 6.00 5.50,,6.00 5.75 6.00 5.50,,6.25,5.50 - -,5.75
Judges Total Program Component Score (factored),,,,,,,45.76
Deductions: Time violation:,-1.00,,Falls: -2.00,,,,-3.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
Cup of China 2006,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
9 Aki SAWADA,JPN,,83.35  39.63,,,44.72,1.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3F+2T  6.80  0.00,0 0 0 0,,1 0 0 0,,1,0 - -,6.80
2 2A  3.30  0.20,0 0 0 0,,0 0 1 0,,1,1 - -,3.50
3 FSSp2  2.00  0.00,0 0 0 0,,0 0 0 0,,0,0 - -,2.00
4 2Lz+1T  2.30 -0.18,0 -2 -1 0,,0 0 0 -1,,0,-1 - -,2.12
5 CCoSp2  2.50  0.00,-1 0 0 -1,,0 0 0 0,,0,0 - -,2.50
6 LSp1  1.50  0.00,0 0 0 0,,0 0 0 0,,0,0 - -,1.50
7 2Lo  1.65 x  0.00,-1 -1 0 0,,-1 0 0 0,,0,0 - -,1.65
8 3F  6.05 x  0.00,0 0 0 0,,0 0 0 0,,-1,0 - -,6.05
9 SpSq1  1.80  0.00,0 0 0 0,,0 0 0 0,,0,0 - -,1.80
10 2A+2A+SEQ  5.81 x  0.20,0 1 0 0,,1 0 0 0,,1,1 - -,6.01
11 3T  4.40 x -3.00,-3 -3 -3 -3,,-3 -3 -3 -3,,-3,-3 - -,1.40
12 SlSt2  2.30  0.00,0 0 0 0,,0 0 0 0,,0,0 - -,2.30
13 CCoSp1  2.00  0.00,-1 0 0 0,,0 0 0 0,,0,0 - -,2.00
42.41,,,,,,,39.63
Program Components Factor,,,,,,,
Skating Skills  1.60,6.25 5.75 6.25 6.00,,6.00 5.75 6.00 5.25,,5.50,5.75 - -,5.85
Transition / Linking Footwork  1.60,5.50 5.50 5.50 4.25,,5.50 5.50 5.75 5.00,,5.00,5.50 - -,5.40
Performance / Execution  1.60,6.00 5.50 6.00 5.00,,5.75 5.50 6.00 5.00,,5.00,5.75 - -,5.55
Choreography / Composition  1.60,5.75 5.50 6.25 5.25,,5.75 5.75 6.00 5.00,,5.25,5.75 - -,5.65
Interpretation  1.60,6.00 5.50 6.00 5.00,,6.00 5.50 6.00 5.00,,5.25,5.50 - -,5.50
Judges Total Program Component Score (factored),,,,,,,44.72
Deductions: Falls:,-1.00,,,,,,-1.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
10 Chae-Hwa KIM,KOR,,74.21  35.49,,,38.72,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3T+2T+2Lo  6.80 -0.40,0 1 -1 -1,,0 -1 0 0,,0,0 - -,6.40
2 3Lo<  1.50 -0.60,-2 -2 -3 -2,,-2 -2 -2 -2,,-2,-2 - -,0.90
3 FCSp3  2.30 -0.06,0 0 -1 0,,0 0 -1 0,,0,1 - -,2.24
4 2S+2T  2.60  0.00,0 0 0 0,,0 0 0 0,,0,0 - -,2.60
5 2A  3.30  0.40,1 0 1 1,,1 0 0 0,,1,1 - -,3.70
6 LSp2  1.80  0.40,1 0 1 0,,0 1 1 1,,1,1 - -,2.20
7 SpSq3  3.10  0.00,0 0 0 0,,0 0 0 0,,1,0 - -,3.10
8 3T  4.40 x -1.20,-1 -1 -1 -2,,-1 -1 -2 -1,,-1,-1 - -,3.20
9 CCoSp3  3.00 -0.48,-2 -2 -1 -2,,-1 -2 -1 -2,,-1,0 - -,2.52
10 SlSt1  1.80  0.00,0 0 0 0,,0 0 0 0,,0,0 - -,1.80
11 3S  4.95 x  0.00,0 0 0 0,,0 -1 0 0,,1,0 - -,4.95
12 A  0.00 x  0.00,- - - -,,- - - -,,-,- - -,0.00
13 FSSp2  2.00 -0.12,-1 0 0 -1,,0 -1 -1 0,,0,0 - -,1.88
37.55,,,,,,,35.49
Program Components Factor,,,,,,,
Skating Skills  1.60,4.50 5.25 4.25 4.75,,5.25 4.75 5.00 5.25,,4.75,5.25 - -,5.00
Transition / Linking Footwork  1.60,3.75 4.75 4.00 4.50,,5.00 4.50 4.75 5.00,,4.50,5.00 - -,4.70
Performance / Execution  1.60,4.25 4.75 4.25 4.75,,5.25 4.75 5.00 5.00,,4.75,5.00 - -,4.85
Choreography / Composition  1.60,4.00 5.25 4.25 4.75,,5.00 4.50 5.00 5.00,,4.50,5.25 - -,4.90
Interpretation  1.60,4.00 5.00 4.00 4.25,,5.25 4.50 5.00 5.00,,4.50,5.00 - -,4.75
Judges Total Program Component Score (factored),,,,,,,38.72
Deductions:,,,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
Cup of China 2006,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
11 Dan FANG,CHN,,71.86  32.02,,,39.84,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 2A  3.30  0.40,1 0 1 1,,1 0 1 0,,1,0 - -,3.70
2 3Lz  6.00 -2.00,-2 -2 -2 -2,,-2 -2 -2 -2,,-2,-2 - -,4.00
3 3T  4.00 -1.00,-1 -1 -1 -1,,0 -1 0 -1,,0,-1 - -,3.00
4 2F  1.70  0.00,0 0 -1 1,,1 0 0 0,,1,0 - -,1.70
5 3S  4.50  0.00,0 0 0 1,,0 0 0 0,,0,0 - -,4.50
6 CoSp2  2.10 -0.06,0 0 0 0,,0 -1 -1 0,,0,0 - -,2.04
7 SlSt1  1.80  0.00,0 0 0 0,,0 0 0 0,,0,0 - -,1.80
8 1S  0.44 x -0.26,-2 -2 -3 -3,,-3 -2 -3 -3,,-3,-2 - -,0.18
9 FSSp2  2.00  0.00,0 0 0 0,,0 -1 0 0,,0,0 - -,2.00
10 2T+2T  2.86 x  0.00,0 0 0 0,,0 0 0 0,,0,0 - -,2.86
11 SpSq1  1.80  0.00,0 0 0 0,,-1 -2 0 0,,-1,0 - -,1.80
12 CCoSp3  3.00 -0.06,0 0 0 -1,,0 0 -1 0,,0,0 - -,2.94
13 LSp1  1.50  0.00,0 0 0 0,,0 0 -1 0,,0,1 - -,1.50
35.00,,,,,,,32.02
Program Components Factor,,,,,,,
Skating Skills  1.60,4.75 5.00 5.25 5.50,,5.50 5.00 5.50 5.50,,4.75,4.50 - -,5.25
Transition / Linking Footwork  1.60,3.50 4.50 4.50 4.75,,5.25 4.75 5.25 5.25,,4.50,4.00 - -,4.75
Performance / Execution  1.60,4.50 4.75 5.00 5.00,,5.50 5.00 5.25 5.50,,4.75,4.25 - -,5.00
Choreography / Composition  1.60,4.25 4.50 5.25 5.00,,5.25 5.00 5.50 5.25,,4.50,4.50 - -,5.00
Interpretation  1.60,4.00 4.75 5.25 4.50,,5.50 4.75 5.25 5.25,,4.75,4.50 - -,4.90
Judges Total Program Component Score (factored),,,,,,,39.84
Deductions:,,,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
12 Roxana LUCA,ROM,,68.43  35.31,,,33.12,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 2A  3.30 -0.70,0 -1 -1 -1,,-1 -1 0 -1,,0,-1 - -,2.60
2 3S  4.50 -0.60,0 -1 -1 -1,,0 -1 0 0,,0,0 - -,3.90
3 2A+2T  4.60  0.00,0 0 0 0,,0 0 0 0,,0,0 - -,4.60
