ISU Four Continents Figure Skating Championships,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"# Executed Base GOE The Judges Panel",,,,,Ref Scores,
Elements Value (in random order),,,,,of Panel,
1 4T  10.30  1.14 1 0 1 2 2 2,1,,,1 0,11.44,
2 CCoSp3p4  3.50  0.57 1 1 2 1 1 2,1,,,1 0,4.07,
3 FCSp4  3.20  0.14 1 1 0 0 0 1,0,,,0 0,3.34,
4 3A  9.35 x  2.29 2 2 2 3 3 3,2,,,2 2,11.64,
"",Info,,,,,Info
5 3Lz+3T  11.33 x  0.70 1 1 1 1 2 1,1,,,0 1,12.03,
6 CSSp  0.00  0.00 - - - - - -,-,,,- -,0.00,
7 StSq4  3.90  1.50 1 3 2 2 3 2,2,,,2 2,5.40,
41.58,,,,,47.92,
Program Components Factor,,,,,,
Skating Skills  1.00 8.00 8.50 8.50 8.25 9.00 8.25,8.50,,,8.50 8.00,8.36,
Transition / Linking Footwork  1.00 7.75 8.25 8.00 7.75 8.75 7.75,7.25,,,8.25 7.75,7.93,
Performance / Execution  1.00 8.25 9.00 8.75 8.25 9.00 8.50,8.50,,,8.75 8.25,8.57,
Choreography / Composition  1.00 8.00 8.50 8.75 8.25 9.00 8.25,7.75,,,8.75 8.00,8.36,
Interpretation  1.00 8.25 8.75 8.25 8.00 9.00 8.50,8.25,,,8.75 8.25,8.43,
Judges Total Program Component Score (factored),,,,,41.65,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
Starting Total Total,,,,Total,Total,
Rank Name Nation Number Segment Element,,,,Program  Component,Deductions,
Score Score,,,,Score (factored),,
4 Takahito MURA JPN  21  89.08  46.94,,,,42.14,0.00,
"# Executed Base GOE The Judges Panel",,,,,Ref Scores,
Elements Value (in random order),,,,,of Panel,
1 4T  10.30  0.26 0 1 0 -1 -1 1,1,,,0 3,10.56,
2 3A  8.50  2.14 2 2 2 2 2 2,3,,,1 3,10.64,
3 CCoSp3p4  3.50  0.50 1 1 1 1 1 2,1,,,1 1,4.00,
4 CCSp4  3.20 -0.06 1 -1 -1 -1 1 0,-1,,,0 0,3.14,
5 3Lz+3T< <  9.90 x -0.40 -1 -1 -1 -1 0 0,0,,,-1 0,9.50,
6 StSq4  3.90  1.70 2 3 3 2 1 2,3,,,2 3,5.60,
7 FSSp4  3.00  0.50 1 1 1 1 1 2,1,,,1 1,3.50,
42.30,,,,,46.94,
Program Components Factor,,,,,,
Skating Skills  1.00 8.25 8.50 8.75 8.75 8.00 8.50,8.50,,,8.25 8.75,8.50,
Transition / Linking Footwork  1.00 8.00 8.25 8.50 8.50 7.75 8.25,8.00,,,7.50 8.50,8.18,
Performance / Execution  1.00 8.75 8.50 9.25 8.50 8.00 8.50,8.75,,,8.25 8.75,8.57,
Choreography / Composition  1.00 8.50 8.75 9.00 8.50 8.00 8.25,8.50,,,8.00 8.50,8.43,
Interpretation  1.00 8.50 8.75 8.50 8.50 8.00 8.25,8.50,,,8.25 8.75,8.46,
Judges Total Program Component Score (factored),,,,,42.14,
Deductions:,,,,,0.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
ISU Four Continents Figure Skating Championships,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
Starting Total Total,,,,Total,Total,
Rank Name Nation Number Segment Element,,,,Program  Component,Deductions,
Score Score,,,,Score (factored),,
5 Patrick CHAN CAN  23  86.22  41.15,,,,45.07,0.00,
"# Executed Base GOE The Judges Panel",,,,,Ref Scores,
Elements Value (in random order),,,,,of Panel,
1 4T  10.30 -1.94 -1 -3 -2 -2 1 -1,-3,,,-1 -1,8.36,
2 3A  8.50 -0.71 -1 -1 -1 -1 1 0,-2,,,-1 0,7.79,
3 FSSp4  3.00  1.00 2 2 2 2 2 2,1,,,2 2,4.00,
4 3Lz+2T  8.03 x  0.70 1 1 1 1 2 1,1,,,0 1,8.73,
"",Info,,,,,Info
5 CCSp1  2.00  0.50 1 1 1 1 1 2,1,,,1 1,2.50,
6 StSq4  3.90  1.80 3 2 2 3 3 2,3,,,2 3,5.70,
7 CCoSp3p3  3.00  1.07 3 3 2 2 2 2,2,,,2 2,4.07,
38.73,,,,,41.15,
Program Components Factor,,,,,,
Skating Skills  1.00 9.25 9.00 8.75 9.00 9.25 9.50,9.50,,,8.50 9.25,9.14,
Transition / Linking Footwork  1.00 9.00 8.75 8.50 8.75 9.25 9.25,9.25,,,8.25 9.00,8.93,
Performance / Execution  1.00 9.50 9.00 8.50 9.00 9.00 9.25,8.75,,,8.50 8.50,8.86,
Choreography / Composition  1.00 9.25 8.50 8.75 9.00 9.25 9.50,9.25,,,8.25 9.00,9.00,
Interpretation  1.00 9.50 9.00 9.00 9.00 9.25 9.50,9.25,,,8.50 9.00,9.14,
Judges Total Program Component Score (factored),,,,,45.07,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
Starting Total Total,,,,Total,Total,
Rank Name Nation Number Segment Element,,,,Program  Component,Deductions,
Score Score,,,,Score (factored),,
6 Grant HOCHSTEIN USA  14  75.79  40.39,,,,36.40,-1.00,
"# Executed Base GOE The Judges Panel",,,,,Ref Scores,
Elements Value (in random order),,,,,of Panel,
1 4T  10.30 -4.00 -3 -3 -3 -3 -3 -3,-3,,,-3 -3,6.30,
2 3A  8.50 -1.86 -1 -2 -1 -2 -2 -2,-2,,,-2 -2,6.64,
3 CCSp3  2.80  0.57 2 2 1 1 0 1,1,,,1 1,3.37,
4 FSSp4  3.00  0.71 2 1 2 1 1 2,1,,,2 1,3.71,
5 3Lz+3T  11.33 x  0.20 1 1 0 0 0 1,0,,,0 0,11.53,
6 StSq4  3.90  0.80 3 1 1 1 1 1,1,,,2 1,4.70,
7 CCoSp3p4  3.50  0.64 2 2 1 1 1 1,1,,,2 1,4.14,
43.33,,,,,40.39,
Program Components Factor,,,,,,
Skating Skills  1.00 8.00 7.25 7.25 7.50 7.00 7.50,7.25,,,7.50 7.25,7.36,
Transition / Linking Footwork  1.00 8.25 7.00 6.75 7.75 6.75 7.25,7.00,,,6.75 6.75,7.04,
Performance / Execution  1.00 8.50 7.50 7.00 7.25 6.75 7.50,7.50,,,7.00 7.00,7.25,
Choreography / Composition  1.00 8.50 7.25 7.00 7.75 7.25 7.50,7.25,,,7.50 7.00,7.36,
Interpretation  1.00 8.50 7.00 6.75 7.50 7.50 7.50,7.50,,,7.25 7.50,7.39,
Judges Total Program Component Score (factored),,,,,36.40,
Deductions: Falls: -1.00,,,,,-1.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
ISU Four Continents Figure Skating Championships,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
Starting Total Total,,,,Total,Total,
Rank Name Nation Number Segment Element,,,,Program  Component,Deductions,
Score Score,,,,Score (factored),,
7 Keiji TANAKA JPN  17  74.82  37.82,,,,37.00,0.00,
"# Executed Base GOE The Judges Panel",,,,,Ref Scores,
Elements Value (in random order),,,,,of Panel,
1 3S  4.40 -1.60 -2 -2 -2 -3 -3 -2,-2,,,-3 -2,2.80,
2 3A  8.50  1.00 1 0 2 1 1 1,1,,,1 1,9.50,
3 CSSp4  3.00  0.50 0 1 2 1 1 1,1,,,1 1,3.50,
4 FCSp3  2.80  0.29 1 1 1 0 -1 0,0,,,1 1,3.09,
"",Info,,,,,Info
5 3F+3T  10.56 x -0.80 -1 -2 0 -1 -1 -1,-1,,,-1 -2,9.76,
6 StSq4  3.90  1.20 2 2 2 2 2 1,1,,,1 2,5.10,
7 CCoSp3p4  3.50  0.57 1 1 2 2 1 1,1,,,1 1,4.07,
36.66,,,,,37.82,
Program Components Factor,,,,,,
Skating Skills  1.00 7.25 7.25 7.75 7.75 7.75 7.25,7.25,,,7.50 7.25,7.43,
Transition / Linking Footwork  1.00 7.00 7.25 7.50 7.50 7.50 7.00,7.00,,,7.25 6.75,7.21,
Performance / Execution  1.00 7.50 7.00 7.50 8.00 7.75 7.25,7.25,,,7.50 7.00,7.39,
Choreography / Composition  1.00 7.25 7.50 7.50 8.25 7.50 7.25,7.50,,,7.50 7.25,7.43,
Interpretation  1.00 7.50 7.50 7.75 7.75 7.75 7.00,7.50,,,7.50 7.25,7.54,
Judges Total Program Component Score (factored),,,,,37.00,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
Starting Total Total,,,,Total,Total,
Rank Name Nation Number Segment Element,,,,Program  Component,Deductions,
Score Score,,,,Score (factored),,
8 Max AARON USA  20  69.48  32.48,,,,38.00,-1.00,
"# Executed Base GOE The Judges Panel",,,,,Ref Scores,
Elements Value (in random order),,,,,of Panel,
1 4S+COMBO  10.50 -3.54 -2 -3 -2 -3 -3 -3,-2,,,-3 -3,6.96,
2 3A  8.50  1.71 2 2 2 2 1 1,2,,,2 1,10.21,
3 CCSp2  2.30  0.21 0 1 0 0 1 1,1,,,0 0,2.51,
4 3Lz  6.60 x -2.10 -3 -3 -3 -3 -3 -3,-3,,,-3 -3,4.50,
5 FSSp2  2.30  0.14 1 0 0 0 0 1,1,,,0 0,2.44,
6 StSq3  3.30  0.50 1 1 1 1 1 2,1,,,1 0,3.80,
7 CCoSp2p2  2.00  0.06 0 1 0 -1 1 1,-1,,,0 -2,2.06,
35.50,,,,,32.48,
Program Components Factor,,,,,,
Skating Skills  1.00 7.75 7.25 8.00 8.00 8.00 8.00,8.00,,,7.75 8.00,7.93,
Transition / Linking Footwork  1.00 7.25 7.00 7.50 7.75 7.50 7.50,7.75,,,7.50 6.75,7.43,
Performance / Execution  1.00 7.50 7.50 7.00 7.75 7.75 7.50,7.75,,,6.75 7.50,7.50,
Choreography / Composition  1.00 7.50 7.00 7.75 8.00 7.75 7.75,8.00,,,7.50 7.25,7.64,
Interpretation  1.00 7.50 7.00 7.50 7.75 7.75 8.00,7.75,,,7.25 7.00,7.50,
Judges Total Program Component Score (factored),,,,,38.00,
Deductions: Falls: -1.00,,,,,-1.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
ISU Four Continents Figure Skating Championships,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
Starting Total Total,,,,Total,Total,
Rank Name Nation Number Segment Element,,,,Program  Component,Deductions,
Score Score,,,,Score (factored),,
9 Michael Christian MARTINEZ PHI  13  69.15  35.18,,,,34.97,-1.00,
"# Executed Base GOE The Judges Panel",,,,,Ref Scores,
Elements Value (in random order),,,,,of Panel,
1 3Lz+3T  10.30 -1.20 -2 -1 -1 -2 -2 -2 -2,,,,-1 -2,9.10,
2 3A< <  5.90 -3.00 -3 -3 -3 -3 -3 -3 -3,,,,-3 -3,2.90,
3 CCSp3  2.80  0.79 2 2 2 1 2 2 1,,,,1 1,3.59,
4 3Lo  5.61 x  0.60 1 0 2 1 1 1 1,,,,1 0,6.21,
Info Info,,,,,,Info
5 StSq4  3.90  1.20 2 1 3 1 2 2 2,,,,2 1,5.10,
6 FSSp4  3.00  0.57 1 1 2 1 2 1 1,,,,0 1,3.57,
7 CCoSp3p4  3.50  1.21 2 3 3 2 2 3 2,,,,3 2,4.71,
35.01,,,,,35.18,
Program Components Factor,,,,,,
Skating Skills  1.00 7.00 6.75 7.75 6.75 6.75 7.25 7.75,,,,5.75 7.00,7.04,
Transition / Linking Footwork  1.00 6.50 6.50 7.50 6.25 6.50 7.00 7.50,,,,5.25 6.75,6.71,
Performance / Execution  1.00 7.25 7.00 8.00 6.50 6.75 7.50 7.25,,,,6.25 6.75,7.00,
Choreography / Composition  1.00 7.00 6.75 7.75 6.50 7.00 7.25 7.50,,,,6.50 7.25,7.04,
Interpretation  1.00 7.25 7.00 8.00 6.75 6.75 7.25 8.00,,,,6.50 7.25,7.18,
Judges Total Program Component Score (factored),,,,,34.97,
Deductions: Falls: -1.00,,,,,-1.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
Starting Total Total,,,,Total,Total,
Rank Name Nation Number Segment Element,,,,Program  Component,Deductions,
Score Score,,,,Score (factored),,
10 June Hyoung LEE KOR  16  67.35  35.43,,,,31.92,0.00,
"# Executed Base GOE The Judges Panel",,,,,Ref Scores,
Elements Value (in random order),,,,,of Panel,
1 3A  8.50 -2.14 -2 -3 -2 -3 -2 -2 -2,,,,-2 -2,6.36,
2 FCSp3  2.80  0.06 1 1 0 0 1 -1 -1,,,,-1 0,2.86,
3 CSSp4  3.00  0.14 0 0 1 1 1 0 0,,,,0 0,3.14,
4 3F+3T  10.56 x  0.30 1 0 0 1 0 1 0,,,,0 1,10.86,
5 3Lo  5.61 x -0.70 -1 -1 -1 -1 -1 -1 -1,,,,-1 -1,4.91,
6 StSq3  3.30  0.36 0 0 1 1 1 1 2,,,,0 1,3.66,
7 CCoSp3p4  3.50  0.14 0 1 0 1 0 1 0,,,,0 0,3.64,
37.27,,,,,35.43,
Program Components Factor,,,,,,
Skating Skills  1.00 6.75 6.50 6.75 6.50 6.75 5.75 7.50,,,,5.25 6.00,6.43,
Transition / Linking Footwork  1.00 6.25 6.25 6.50 6.25 6.50 6.00 7.00,,,,5.00 5.75,6.21,
Performance / Execution  1.00 6.25 6.50 6.50 6.50 6.75 5.75 7.00,,,,6.00 6.00,6.36,
Choreography / Composition  1.00 6.25 6.50 6.75 6.75 6.75 6.00 7.25,,,,5.75 6.25,6.46,
Interpretation  1.00 6.50 6.75 7.00 6.50 6.75 5.50 7.25,,,,5.75 6.00,6.46,
Judges Total Program Component Score (factored),,,,,31.92,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
Starting Total Total,,,,Total,Total,
Rank Name Nation Number Segment Element,,,,Program  Component,Deductions,
Score Score,,,,Score (factored),,
11 Nan SONG CHN  5  66.04  34.98,,,,31.06,0.00,
"# Executed Base GOE The Judges Panel",,,,,Ref Scores,
Elements Value (in random order),,,,,of Panel,
1 4T  10.30 -3.14 -3 -3 -3 -2 0 -1 -3,,,,-2 -3,7.16,
2 3A  8.50 -2.71 -3 -3 -3 -3 -2 -3 -3,,,,-2 -2,5.79,
3 FCSp4  3.20 -0.09 -1 0 0 0 0 0 0,,,,-1 -1,3.11,
4 3Lz+3T  10.30 -0.70 -1 -1 -1 -1 0 -1 -1,,,,-1 -1,9.60,
5 CSSp3  2.60  0.14 0 1 1 0 0 0 1,,,,0 0,2.74,
6 StSq3  3.30  0.21 0 0 0 1 1 1 1,,,,0 0,3.51,
7 CCoSp3p3  3.00  0.07 0 1 0 0 0 1 0,,,,0 0,3.07,
41.20,,,,,34.98,
Program Components Factor,,,,,,
Skating Skills  1.00 6.50 7.00 6.75 7.00 6.25 6.50 6.50,,,,6.50 6.00,6.57,
Transition / Linking Footwork  1.00 6.00 6.25 6.00 6.50 5.50 5.75 6.25,,,,5.50 5.25,5.89,
Performance / Execution  1.00 5.75 6.50 6.50 6.75 6.25 6.00 6.25,,,,5.75 5.25,6.14,
Choreography / Composition  1.00 6.00 6.75 6.50 6.25 6.25 6.00 6.50,,,,6.00 6.00,6.21,
Interpretation  1.00 6.00 6.50 6.75 6.75 6.50 6.00 6.50,,,,5.50 5.50,6.25,
Judges Total Program Component Score (factored),,,,,31.06,
Deductions:,,,,,0.00,
ISU Four Continents Figure Skating Championships,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
Starting Total Total,,,,Total,Total,
Rank Name Nation Number Segment Element,,,,Program  Component,Deductions,
Score Score,,,,Score (factored),,
12 Jin Seo KIM KOR  12  65.13  32.71,,,,32.42,0.00,
"# Executed Base GOE The Judges Panel",,,,,Ref Scores,
Elements Value (in random order),,,,,of Panel,
1 3Lz+3T  10.30  0.80 0 1 2 1 1 1 1,,,,1 2,11.10,
2 3A  8.50 -2.86 -2 -3 -3 -3 -3 -3 -3,,,,-3 -1,5.64,
3 CoSp* *  0.00  0.00 - - - - - - -,,,,- -,0.00,
4 3Lo  5.61 x -0.10 1 -1 0 0 0 -1 0,,,,-2 1,5.51,
Info Info,,,,,,Info
5 CSSp3  2.60  0.29 1 0 1 0 0 1 1,,,,1 0,2.89,
6 StSq3  3.30  0.71 2 1 1 1 1 2 1,,,,2 3,4.01,
7 FCSp4  3.20  0.36 1 1 1 0 0 1 0,,,,1 1,3.56,
33.51,,,,,32.71,
Program Components Factor,,,,,,
Skating Skills  1.00 6.00 6.75 6.75 6.25 6.50 6.75 6.75,,,,6.75 6.75,6.64,
Transition / Linking Footwork  1.00 5.75 6.00 6.50 6.00 6.00 6.50 6.00,,,,6.00 6.75,6.14,
Performance / Execution  1.00 5.75 7.00 6.50 6.25 6.25 7.00 6.25,,,,6.25 7.00,6.50,
Choreography / Composition  1.00 6.50 6.50 6.75 6.00 6.25 6.75 6.75,,,,6.50 7.00,6.57,
Interpretation  1.00 6.00 7.00 7.00 6.00 6.50 6.75 6.50,,,,6.25 7.00,6.57,
Judges Total Program Component Score (factored),,,,,32.42,
Deductions:,,,,,0.00,
"*  Invalid elementx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
Starting Total Total,,,,Total,Total,
Rank Name Nation Number Segment Element,,,,Program  Component,Deductions,
Score Score,,,,Score (factored),,
13 Andrew DODDS AUS  6  61.88  30.56,,,,31.32,0.00,
"# Executed Base GOE The Judges Panel",,,,,Ref Scores,
Elements Value (in random order),,,,,of Panel,
1 3Lz  6.00  0.10 0 1 1 0 0 0 0,,,,0 0,6.10,
2 2A  3.30  0.07 0 1 1 0 0 0 0,,,,0 0,3.37,
3 3F+3T  9.60 -1.50 -2 -2 -2 -2 -2 -3 -3,,,,-2 -2,8.10,
4 FCSp3  2.80  0.06 0 0 -1 -1 1 -1 0,,,,1 1,2.86,
5 CSSp4  3.00 -0.17 0 1 -1 -1 -1 -2 -1,,,,0 0,2.83,
6 StSq3  3.30  0.50 1 2 1 1 1 1 1,,,,1 1,3.80,
7 CCoSp3p3  3.00  0.50 1 1 1 1 1 1 1,,,,0 1,3.50,
31.00,,,,,30.56,
Program Components Factor,,,,,,
Skating Skills  1.00 6.00 6.00 5.75 7.00 6.25 6.75 6.25,,,,6.75 6.25,6.32,
Transition / Linking Footwork  1.00 5.75 6.00 5.50 6.50 5.75 6.50 5.75,,,,6.25 5.75,5.96,
Performance / Execution  1.00 6.25 6.50 5.25 7.00 5.75 6.75 6.25,,,,6.50 6.00,6.29,
Choreography / Composition  1.00 6.00 6.25 5.75 7.00 5.75 7.00 6.50,,,,6.50 6.25,6.32,
Interpretation  1.00 6.25 6.50 5.00 7.25 6.00 6.75 6.75,,,,6.50 6.25,6.43,
Judges Total Program Component Score (factored),,,,,31.32,
Deductions:,,,,,0.00,
Starting Total Total,,,,Total,Total,
Rank Name Nation Number Segment Element,,,,Program  Component,Deductions,
Score Score,,,,Score (factored),,
14 Liam FIRUS CAN  3  61.81  29.10,,,,33.71,-1.00,
"# Executed Base GOE The Judges Panel",,,,,Ref Scores,
Elements Value (in random order),,,,,of Panel,
1 4T<< <<  4.30 -2.10 -3 -3 -3 -3 -3 -3 -3,,,,-3 -3,2.20,
2 2A  3.30 -1.50 -3 -3 -3 -3 -3 -3 -2,,,,-3 -3,1.80,
3 FUSp4  2.90  0.64 1 2 1 2 1 1 1,,,,2 1,3.54,
4 3Lz+3T  11.33 x -1.40 -2 -2 -2 -2 -2 -2 -2,,,,-2 -1,9.93,
5 StSq4  3.90  0.70 1 1 1 1 1 1 1,,,,2 1,4.60,
6 CSSp3  2.60  0.43 1 1 1 0 0 1 1,,,,1 1,3.03,
7 CCoSp3p4  3.50  0.50 1 1 1 0 1 1 1,,,,2 1,4.00,
31.83,,,,,29.10,
Program Components Factor,,,,,,
Skating Skills  1.00 6.75 7.50 7.50 7.25 6.75 6.75 6.25,,,,7.50 6.00,6.96,
Transition / Linking Footwork  1.00 6.00 6.50 7.25 7.00 6.25 6.50 6.00,,,,7.50 5.00,6.50,
Performance / Execution  1.00 6.25 7.00 7.25 6.00 6.25 6.50 6.00,,,,7.00 5.25,6.43,
Choreography / Composition  1.00 6.50 7.25 7.50 7.25 6.50 6.75 6.50,,,,8.00 6.00,6.89,
Interpretation  1.00 6.75 7.50 7.50 6.75 6.75 6.75 6.50,,,,7.50 5.75,6.93,
Judges Total Program Component Score (factored),,,,,33.71,
Deductions: Falls: -1.00,,,,,-1.00,
"<<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
ISU Four Continents Figure Skating Championships,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
Starting Total Total,,,,Total,Total,
Rank Name Nation Number Segment Element,,,,Program  Component,Deductions,
Score Score,,,,Score (factored),,
15 Julian Zhi Jie YEE MAS  11  59.70  32.23,,,,29.47,-2.00,
"# Executed Base GOE The Judges Panel",,,,,Ref Scores,
Elements Value (in random order),,,,,of Panel,
1 3A  8.50 -3.00 -3 -3 -3 -3 -3 -3,-3,,,-3 -3,5.50,
2 3F+3T !  9.60 -1.30 -2 -1 -1 -2 -2 -2,-2,,,-2 -3,8.30,
3 FSSp4  3.00  0.43 1 1 1 1 1 0,1,,,1 0,3.43,
4 CCSp4  3.20  0.21 1 1 0 1 1 0,0,,,-1 0,3.41,
"",Info,,,,,Info
5 3Lz  6.60 x -2.10 -3 -3 -3 -3 -3 -3,-3,,,-3 -3,4.50,
6 StSq3  3.30  0.50 1 1 1 1 0 1,1,,,2 1,3.80,
7 CCoSp3p3  3.00  0.29 1 0 1 1 1 0,0,,,1 0,3.29,
37.20,,,,,32.23,
Program Components Factor,,,,,,
Skating Skills  1.00 6.50 6.25 5.50 6.00 5.75 5.75,6.00,,,6.00 6.50,6.04,
Transition / Linking Footwork  1.00 6.25 5.75 5.25 5.50 5.25 5.50,5.50,,,5.75 6.25,5.64,
Performance / Execution  1.00 6.25 6.00 5.00 5.75 5.75 5.25,5.25,,,6.50 6.50,5.82,
Choreography / Composition  1.00 6.50 6.00 5.50 6.00 5.75 5.50,5.50,,,6.25 6.75,5.93,
Interpretation  1.00 6.50 6.00 5.50 6.25 5.75 5.75,5.75,,,6.25 6.75,6.04,
Judges Total Program Component Score (factored),,,,,29.47,
Deductions: Falls: -2.00,,,,,-2.00,
"x  Credit for highlight distribution, base value multiplied by 1.1!  Not clear edge",,,,,,
Starting Total Total,,,,Total,Total,
Rank Name Nation Number Segment Element,,,,Program  Component,Deductions,
Score Score,,,,Score (factored),,
16 Se Jong BYUN KOR  7  58.30  29.34,,,,28.96,0.00,
"# Executed Base GOE The Judges Panel",,,,,Ref Scores,
Elements Value (in random order),,,,,of Panel,
1 3T+2T  5.60  0.00 0 0 0 0 0 0,0,,,0 0,5.60,
2 3Lz  6.00 -0.20 -1 0 1 0 0 -1,0,,,0 -2,5.80,
3 FSSp4  3.00  0.50 1 1 1 1 1 1,0,,,1 1,3.50,
4 2A  3.63 x  0.29 1 1 1 0 0 0,1,,,0 1,3.92,
5 CCSp4  3.20  0.43 1 1 0 1 1 0,1,,,1 1,3.63,
6 StSq2  2.60  0.29 1 1 0 0 1 0,1,,,1 0,2.89,
7 CCoSp3p4  3.50  0.50 1 1 1 1 2 1,1,,,0 1,4.00,
27.53,,,,,29.34,
Program Components Factor,,,,,,
Skating Skills  1.00 6.00 5.75 6.00 6.25 4.50 6.25,5.75,,,5.75 5.75,5.89,
Transition / Linking Footwork  1.00 5.75 5.50 5.50 5.75 4.25 6.25,5.50,,,5.00 5.25,5.46,
Performance / Execution  1.00 6.50 6.25 6.00 6.25 5.25 6.25,5.75,,,5.75 5.50,5.96,
Choreography / Composition  1.00 6.00 5.50 6.00 6.50 4.75 6.50,5.75,,,5.50 5.25,5.79,
Interpretation  1.00 6.25 5.75 6.00 6.25 4.50 6.50,6.00,,,5.50 5.25,5.86,
Judges Total Program Component Score (factored),,,,,28.96,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
ISU Four Continents Figure Skating Championships,,,,,,
