Cup of Russia,,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
3 3F  5.50,0.40 1 1 0 0,,0 0 0 0,,1,0 - -,5.90
4 CCoSp4  3.50,0.40 1 1 0 1,,1 0 0 0,,1,0 - -,3.90
5 SlSt2  2.30,0.60 1 1 1 1,,1 0 2 0,,2,0 - -,2.90
6 FSSp3  2.30,0.10 1 1 0 0,,0 0 0 0,,0,0 - -,2.40
7 CiSt2  2.30,0.40 1 0 0 1,,1 0 1 0,,1,0 - -,2.70
8 CSSp3  2.30,0.00 0 0 -1 0,,0 -1 0 0,,1,-1 - -,2.30
35.70,,,,,,,39.20
Program Components,Factor,,,,,,
Skating Skills,1.00 6.75 6.50 5.50 6.00,,6.75 5.25 5.75 6.00,,6.75,5.50 - -,6.35
Transition / Linking Footwork,1.00 6.75 6.00 5.25 5.75,,6.50 5.50 5.50 5.25,,6.50,5.00 - -,6.05
Performance / Execution,1.00 7.00 6.25 6.00 6.75,,6.75 5.25 6.00 5.50,,6.50,5.00 - -,6.45
Choreography / Composition,1.00 7.00 6.25 5.50 6.25,,7.00 5.25 6.00 5.50,,6.50,5.25 - -,6.40
Interpretation,1.00 7.00 6.25 5.50 6.50,,6.75 5.50 6.25 5.75,,6.75,5.00 - -,6.50
Judges Total Program Component Score (factored),,,,,,,31.75
Deductions:,,,,,,,0.00
e  Jump take off with wrong edge,,,,,,,
Cup of Russia,,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
4 Yannick PONSERO,FRA,,67.93  37.38,,,31.55,1.00
"# Executed Base",GOE,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 4T+2T  10.30,0.40 1 0 0 0,,0 1 0 -1,,1,-1 - -,10.70
2 3A  7.50,0.00 0 0 0 0,,0 0 1 0,,0,0 - -,7.50
3 CCoSp4  3.50,0.50 1 1 1 1,,1 1 1 2,,2,1 - -,4.00
4 3S  4.50,1.00 1 0 1 1,,1 1 2 1,,1,-3 - -,5.50
5 FSSp4  3.00,0.30 1 0 1 1,,1 0 0 1,,1,1 - -,3.30
6 SlSt1  1.80,-0.92 -3 -3 -3 -3,,-3 -1 -2 -3,,-3,-3 - -,0.88
7 CCSp4  3.00,0.20 0 0 1 1,,0 0 1 1,,2,1 - -,3.20
8 CiSt2  2.30,0.00 0 0 0 0,,0 0 0 0,,1,0 - -,2.30
35.90,,,,,,,37.38
Program Components,Factor,,,,,,
Skating Skills,1.00 6.50 6.50 6.50 6.00,,7.00 6.75 6.75 6.75,,6.75,6.75 - -,6.65
Transition / Linking Footwork,1.00 6.50 6.00 6.00 5.75,,6.00 6.25 6.25 5.75,,5.75,6.50 - -,6.05
Performance / Execution,1.00 6.50 6.25 6.00 6.00,,6.75 6.50 6.50 6.25,,5.50,6.50 - -,6.35
Choreography / Composition,1.00 6.75 6.00 6.25 5.75,,6.50 6.25 6.25 6.50,,6.00,6.75 - -,6.20
Interpretation,1.00 6.50 6.00 6.25 6.00,,6.50 6.50 6.50 6.50,,5.75,6.50 - -,6.30
Judges Total Program Component Score (factored),,,,,,,31.55
Deductions:,Falls: -1.00,,,,,,-1.00
e  Jump take off with wrong edge,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
5 Andrei LUTAI,RUS,,65.55  35.50,,,30.05,0.00
"# Executed Base",GOE,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3A  7.50,0.20 0 1 0 0,,0 0 0 0,,1,0 - -,7.70
2 4T+2T  10.30,0.20 0 0 -1 0,,1 1 0 1,,0,0 - -,10.50
3 3Lo  5.00,0.60 0 0 0 1,,1 0 1 0,,1,1 - -,5.60
4 FCSp2  2.00,0.30 1 0 -1 1,,1 0 1 0,,0,0 - -,2.30
5 CiSt2  2.30,0.30 1 1 0 0,,0 0 1 1,,2,1 - -,2.60
6 CCoSp1  2.00,0.00 0 -1 0 0,,0 0 0 0,,0,0 - -,2.00
7 SlSt2  2.30,0.20 1 0 0 0,,1 0 0 0,,1,0 - -,2.50
8 CSSp3  2.30,0.00 0 -1 0 0,,0 0 0 0,,1,0 - -,2.30
33.70,,,,,,,35.50
Program Components,Factor,,,,,,
Skating Skills,1.00 6.25 6.25 4.75 5.75,,6.75 5.75 6.25 6.25,,6.00,6.50 - -,6.10
Transition / Linking Footwork,1.00 6.25 5.75 4.50 5.25,,6.25 5.50 5.75 5.00,,5.50,6.00 - -,5.75
Performance / Execution,1.00 6.75 6.00 5.00 6.50,,6.50 5.50 5.75 6.00,,5.75,6.25 - -,6.10
Choreography / Composition,1.00 6.75 6.00 5.00 5.75,,6.75 5.50 6.00 5.75,,6.00,5.75 - -,6.10
Interpretation,1.00 6.50 6.00 5.00 5.75,,6.50 5.75 6.00 6.25,,5.75,6.00 - -,6.00
Judges Total Program Component Score (factored),,,,,,,30.05
Deductions:,,,,,,,0.00
e  Jump take off with wrong edge,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
6 Jeffrey BUTTLE,CAN,,65.16  30.06,,,35.10,0.00
"# Executed Base",GOE,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3F+3T  9.50,-0.80 -1 -1 -1 -1,,-1 0 -1 -2,,0,0 - -,8.70
2 3A  7.50,-2.00 -2 -2 -2 -2,,-2 -2 -2 -2,,-2,-2 - -,5.50
3 FSSp3  2.30,0.00 0 -1 -1 0,,0 1 0 -1,,0,0 - -,2.30
4 CiSt3  3.10,0.30 0 1 0 0,,0 1 1 0,,1,-1 - -,3.40
5 2Lz  1.90,-1.00 -3 -3 -3 -3,,-3 -3 -3 -3,,-3,-3 - -,0.90
6 CSSp3  2.30,-0.24 -1 -2 -1 -1,,-1 -1 1 0,,0,-1 - -,2.06
7 SlSt3  3.10,0.60 0 1 1 1,,1 1 2 2,,2,1 - -,3.70
8 CCoSp3  3.00,0.50 1 1 0 1,,0 1 1 2,,1,0 - -,3.50
32.70,,,,,,,30.06
Program Components,Factor,,,,,,
Skating Skills,1.00 6.50 7.00 6.50 7.00,,7.25 7.25 7.00 7.50,,7.00,7.00 - -,7.05
Transition / Linking Footwork,1.00 6.75 6.75 6.50 7.00,,6.75 7.00 6.75 6.75,,6.75,6.50 - -,6.80
Performance / Execution,1.00 6.75 7.00 6.50 7.00,,7.00 7.50 6.75 7.50,,7.00,6.25 - -,6.95
Choreography / Composition,1.00 7.00 7.00 6.75 7.50,,7.00 7.25 7.00 7.75,,7.00,6.50 - -,7.05
Interpretation,1.00 7.00 7.00 7.00 7.50,,6.75 7.50 7.25 7.75,,7.50,7.25 - -,7.25
Judges Total Program Component Score (factored),,,,,,,35.10
Deductions:,,,,,,,0.00
e  Jump take off with wrong edge,,,,,,,
Cup of Russia,,,,,,,,
MEN SHORT PROGRAM,JUDGES DETAILS PER SKATER,,,,,,,
"",,,,Total Total,,,Total,Total
"",,NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,,
"",,Code,,Score Score,,,Score (factored),
"",,,,= +,,,+,-
7 Takahiko KOZUKA,,JPN,,64.65  33.70,,,30.95,0.00
"# Executed",Base,GOE,,The Judges Panel,,,,Scores
Elements,Value,,,(in random order),,,,of Panel
1 3Lz+2T,7.30,-0.20 1 -1 -1 0,,0 -3 0 -1,,0,0 - -,7.10
2 3A,7.50,0.00 0 0 0 -1,,0 0 0 -1,,1,0 - -,7.50
3 FSSp4,3.00,0.50 1 1 1 1,,1 1 1 0,,2,1 - -,3.50
4 SlSt1,1.80,0.40 0 1 1 1,,1 0 1 1,,2,0 - -,2.20
5 CSSp4,3.00,0.30 1 0 0 1,,1 0 0 1,,2,0 - -,3.30
6 3F e,5.50,-1.00 -1 -1 -2 -2,,-1 -1 -1 -1,,-1,-1 - -,4.50
7 SeSt1,1.80,0.30 1 1 0 0,,1 0 0 0,,1,-1 - -,2.10
8 CCoSp3,3.00,0.50 1 1 1 1,,1 1 1 2,,2,1 - -,3.50
"",32.90,,,,,,,33.70
Program Components,,Factor,,,,,,
Skating Skills,,1.00 6.25 6.50 6.50 6.50,,7.00 6.25 6.50 7.00,,6.25,5.75 - -,6.40
Transition / Linking Footwork,,1.00 6.25 6.00 5.25 5.75,,6.75 6.00 5.75 6.00,,5.75,5.25 - -,5.95
Performance / Execution,,1.00 6.75 6.25 6.00 6.00,,7.00 6.00 6.25 6.75,,6.00,5.75 - -,6.25
Choreography / Composition,,1.00 6.75 6.00 5.75 6.25,,6.75 6.25 6.00 7.00,,6.00,5.50 - -,6.25
Interpretation,,1.00 6.50 6.25 5.50 5.75,,6.75 6.00 6.00 6.75,,5.75,5.50 - -,6.10
Judges Total Program Component Score (factored),,,,,,,,30.95
Deductions:,,,,,,,,0.00
e  Jump take off with wrong edge,,,,,,,,
"",,,,Total Total,,,Total,Total
"",,NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,,
"",,Code,,Score Score,,,Score (factored),
"",,,,= +,,,+,-
8 Alexander USPENSKI,,RUS,,63.74  34.54,,,29.20,0.00
"# Executed",Base,GOE,,The Judges Panel,,,,Scores
Elements,Value,,,(in random order),,,,of Panel
1 2F+3T,5.70,-0.60 -1 -1 -1 0,,0 -3 0 -3,,-1,-1 - -,5.10
2 3A,7.50,0.80 1 1 0 0,,1 0 1 1,,1,0 - -,8.30
3 3Lz,6.00,1.00 1 1 0 1,,1 0 1 0,,1,0 - -,7.00
4 FSSp3,2.30,0.20 1 -1 -1 0,,0 0 1 1,,1,-1 - -,2.50
5 CSSp3,2.30,0.00 0 0 -1 0,,1 0 0 0,,-1,-1 - -,2.30
6 CiSt3,3.10,0.20 0 0 0 0,,1 0 1 0,,1,0 - -,3.30
7 SlSt2,2.30,0.20 0 0 0 0,,1 0 1 0,,1,1 - -,2.50
8 CCoSp4,3.50,0.04 1 -1 -1 -1,,1 0 0 1,,0,0 - -,3.54
"",32.70,,,,,,,34.54
Program Components,,Factor,,,,,,
Skating Skills,,1.00 5.75 6.25 5.00 6.00,,7.25 5.25 6.25 6.75,,5.75,5.50 - -,6.00
Transition / Linking Footwork,,1.00 5.75 6.00 4.75 5.00,,6.75 4.75 5.75 5.25,,4.75,5.25 - -,5.45
Performance / Execution,,1.00 6.25 6.00 4.75 5.50,,7.25 5.00 6.00 6.75,,5.00,5.75 - -,5.75
Choreography / Composition,,1.00 6.50 6.25 5.25 5.75,,7.00 5.00 6.25 6.00,,5.00,5.50 - -,5.95
Interpretation,,1.00 6.50 6.25 5.00 5.75,,7.00 5.25 6.50 6.50,,5.00,5.75 - -,6.05
Judges Total Program Component Score (factored),,,,,,,,29.20
Deductions:,,,,,,,,0.00
e  Jump take off with wrong edge,,,,,,,,
"",,,,Total Total,,,Total,Total
"",,NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,,
"",,Code,,Score Score,,,Score (factored),
"",,,,= +,,,+,-
9 Gregor URBAS,,SLO,,62.90  36.10,,,26.80,0.00
"# Executed",Base,GOE,,The Judges Panel,,,,Scores
Elements,Value,,,(in random order),,,,of Panel
1 3Lz+3T,10.00,0.00 1 0 0 -1,,1 0 0 0,,-1,-2 - -,10.00
2 3A,7.50,0.40 0 0 0 0,,1 0 1 1,,1,0 - -,7.90
3 FSSp3,2.30,0.30 1 0 0 1,,0 0 1 1,,1,1 - -,2.60
4 3Lo,5.00,0.40 0 0 0 1,,1 0 1 -1,,0,0 - -,5.40
5 CSSp4,3.00,0.20 1 -1 0 1,,0 0 0 1,,1,0 - -,3.20
6 CiSt1,1.80,0.00 0 0 0 0,,0 0 0 0,,0,0 - -,1.80
7 SlSt2,2.30,0.10 0 0 -1 0,,0 0 1 0,,1,-1 - -,2.40
8 CCoSp2,2.50,0.30 1 -1 -1 1,,1 0 0 0,,2,-1 - -,2.80
"",34.40,,,,,,,36.10
Program Components,,Factor,,,,,,
Skating Skills,,1.00 6.00 5.25 5.00 5.50,,6.25 4.75 6.00 5.75,,6.00,5.25 - -,5.75
Transition / Linking Footwork,,1.00 6.00 4.75 4.75 4.50,,5.50 4.25 5.25 4.75,,5.25,5.00 - -,5.05
Performance / Execution,,1.00 6.25 5.00 5.00 5.75,,5.75 4.50 5.50 5.50,,5.00,4.75 - -,5.40
Choreography / Composition,,1.00 6.00 5.00 4.75 5.50,,5.50 4.25 5.50 5.50,,5.25,5.25 - -,5.35
Interpretation,,1.00 6.00 5.00 5.00 5.25,,5.75 4.50 5.50 5.25,,4.75,5.00 - -,5.25
Judges Total Program Component Score (factored),,,,,,,,26.80
Deductions:,,,,,,,,0.00
e  Jump take off with wrong edge,,,,,,,,
Cup of Russia,,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
10 Kristoffer BERNTSSON,SWE,,60.08  31.28,,,28.80,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3Lz+3T  10.00  0.40,0 0 0 0,,1 1 1 1,,0,0 - -,10.40
2 3A  7.50 -1.00,-1 -1 -1 -1,,-1 -1 -1 -1,,0,-1 - -,6.50
3 2F  1.70 -1.00,-3 -3 -3 -3,,-3 -3 -3 -3,,-3,-3 - -,0.70
4 FSSp2  2.00  0.10,1 -1 0 0,,0 0 0 0,,1,0 - -,2.10
5 CiSt2  2.30  0.10,0 0 0 0,,0 0 1 0,,1,0 - -,2.40
6 CSSp3  2.30 -0.12,1 -2 -1 0,,-1 -1 0 0,,0,-1 - -,2.18
7 SlSt3  3.10  0.40,1 1 0 1,,0 0 1 1,,1,0 - -,3.50
8 CCoSp4  3.50  0.00,0 0 0 0,,0 0 0 1,,1,0 - -,3.50
32.40,,,,,,,31.28
Program Components Factor,,,,,,,
Skating Skills  1.00,6.00 5.75 5.25 5.50,,6.00 5.00 5.75 6.25,,5.50,5.75 - -,5.70
Transition / Linking Footwork  1.00,6.25 5.50 5.00 5.25,,5.75 4.75 5.50 5.75,,5.50,5.50 - -,5.50
Performance / Execution  1.00,6.25 5.50 5.00 5.50,,5.50 5.50 6.25 6.00,,6.00,5.50 - -,5.75
Choreography / Composition  1.00,6.50 5.75 5.50 5.75,,5.75 5.25 6.00 6.75,,6.50,6.00 - -,5.95
Interpretation  1.00,6.50 5.75 5.25 6.00,,5.50 5.25 6.25 6.75,,6.00,5.50 - -,5.90
Judges Total Program Component Score (factored),,,,,,,28.80
Deductions:,,,,,,,0.00
e  Jump take off with wrong edge,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
11 Kevin REYNOLDS,CAN,,59.46  32.96,,,27.50,1.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 4S+3T  13.50 -1.80,0 -2 -2 -2,,-2 -1 -2 -2,,-3,-2 - -,11.70
2 3A<  3.50 -1.44,-2 -2 -2 -2,,-2 -1 -1 -2,,-3,-2 - -,2.06
3 FUSp3  2.30  0.10,0 0 0 1,,0 0 1 1,,0,0 - -,2.40
4 3Lz  6.00  0.20,1 0 0 0,,-1 0 1 -1,,0,-1 - -,6.20
5 CiSt3  3.10  0.00,0 0 0 0,,0 0 0 0,,0,0 - -,3.10
6 CSSp3  2.30  0.10,1 -1 -1 0,,0 0 0 0,,1,0 - -,2.40
7 SlSt1  1.80  0.00,0 0 0 0,,0 0 0 0,,1,0 - -,1.80
8 CCoSp3  3.00  0.30,1 0 -1 1,,-1 0 1 2,,2,1 - -,3.30
35.50,,,,,,,32.96
Program Components Factor,,,,,,,
Skating Skills  1.00,5.75 6.00 5.00 5.50,,5.50 5.25 6.25 6.50,,5.00,5.50 - -,5.60
Transition / Linking Footwork  1.00,5.75 5.50 4.75 5.25,,5.00 5.00 6.00 5.25,,5.00,5.25 - -,5.30
Performance / Execution  1.00,5.75 5.50 4.50 5.75,,5.25 5.50 6.25 6.00,,5.25,5.25 - -,5.55
Choreography / Composition  1.00,6.00 5.75 5.25 5.75,,5.00 5.25 6.00 6.25,,5.25,5.25 - -,5.60
Interpretation  1.00,5.75 5.75 5.00 5.50,,5.00 5.25 6.25 6.00,,5.00,5.50 - -,5.45
Judges Total Program Component Score (factored),,,,,,,27.50
Deductions: Time violation:,-1.00,,,,,,-1.00
e  Jump take off with wrong edge,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
12 Ming XU,CHN,,55.99  29.04,,,26.95,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3F+3T  9.50  0.00,0 0 0 0,,1 0 0 0,,0,0 - -,9.50
2 3A  7.50  0.20,0 1 0 0,,0 0 0 1,,1,0 - -,7.70
3 2Lz  1.90 -1.00,-3 -3 -3 -3,,-3 -3 -3 -3,,-3,-3 - -,0.90
4 CSSp3  2.30  0.10,1 0 0 0,,0 0 0 0,,1,0 - -,2.40
5 SlSt1  1.80  0.10,0 1 1 0,,0 0 0 0,,1,0 - -,1.90
6 FSSp2  2.00 -0.36,-2 -2 -1 -1,,-1 -1 -1 -1,,-1,-1 - -,1.64
7 CiSt2  2.30  0.20,0 0 1 0,,1 0 1 0,,1,0 - -,2.50
8 CCoSp2  2.50  0.00,0 0 0 0,,0 0 0 -1,,-1,-1 - -,2.50
29.80,,,,,,,29.04
Program Components Factor,,,,,,,
Skating Skills  1.00,5.25 5.75 5.25 5.75,,6.25 4.75 5.25 6.00,,5.50,5.25 - -,5.50
Transition / Linking Footwork  1.00,5.25 5.50 4.75 5.25,,5.75 4.50 4.50 5.25,,5.25,4.50 - -,5.15
Performance / Execution  1.00,5.50 5.75 5.00 6.00,,5.75 4.25 4.75 5.00,,5.50,5.00 - -,5.45
Choreography / Composition  1.00,5.25 5.50 5.50 5.50,,5.75 4.50 5.00 5.50,,5.75,5.25 - -,5.40
Interpretation  1.00,5.25 6.00 5.25 5.75,,5.75 4.50 5.00 5.25,,5.50,4.75 - -,5.45
Judges Total Program Component Score (factored),,,,,,,26.95
Deductions:,,,,,,,0.00
e  Jump take off with wrong edge,,,,,,,
Printed: 23.11.2007 22:13:04,,,,,,,
