Cup of Russia,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
Transition / Linking Footwork  1.60 7.50 7.75 7.25,,7.25,7.75 7.25 7.25 7.00,,7.50 7.75 - -,7.35
Performance / Execution  1.60 7.50 7.50 7.50,,7.25,7.50 7.25 7.50 7.50,,7.00 8.00 - -,7.45
Choreography / Composition  1.60 7.75 7.75 7.50,,7.50,8.00 7.50 7.50 7.50,,7.50 8.00 - -,7.55
Interpretation  1.60 8.00 7.75 7.50,,7.50,8.00 7.25 7.25 7.75,,7.50 8.00 - -,7.60
Judges Total Program Component Score (factored),,,,,,60.08
Deductions: Falls: -1.00,,,,,,-1.00
"e  Jump take off with wrong edge x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,
Cup of Russia,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,,Total Total,,Total,Total
NOC,,,Segment Element,,Program  Component,Deductions
Rank Name,,,,,,
Code,,,Score Score,,Score (factored),
"",,,= +,,+,-
3 Yuko KAWAGUCHI / Alexander SMIRNOV RUS,,,118.77  64.69,,54.08,0.00
"# Executed Base GOE",,,The Judges Panel,,,Scores
Elements Value,,,(in random order),,,of Panel
1 4STh  8.00 -1.40 -2 -2 -2,,-2,-2 -2 -3 -2,,-2 -2 - -,6.60
2 3T+3T+SEQ  6.40 -1.00 -1 -1 -2,,0,-1 -1 -2 0,,-1 -1 - -,5.40
3 3LzTw1  5.00  0.56 1 1 0,,1,1 1 1 1,,-1 1 - -,5.56
4 5ALi4  6.50  1.80 1 2 2,,2,1 1 2 2,,1 2 - -,8.30
5 4Li4  4.00  0.20 2 0 0,,1,0 0 0 0,,1 0 - -,4.20
6 FiDs4  3.50  0.70 1 1 1,,1,0 1 0 1,,1 1 - -,4.20
7 3LoTh  5.50 x -0.70 -1 -2 -2,,0,-2 -2 0 -2,,1 1 - -,4.80
8 2A  3.85 x  0.20 1 0 0,,1,0 0 0 0,,0 1 - -,4.05
9 5SLi4  6.00  0.20 1 0 0,,1,1 1 0 1,,0 0 - -,6.20
10 FCCoSp4  3.50 -0.12 0 -1 -1,,1,-1 -1 0 0,,-1 0 - -,3.38
11 SpSq4  3.40  0.20 1 0 0,,1,0 0 0 0,,-1 1 - -,3.60
12 SlSt3  3.10  0.40 1 0 1,,1,1 1 1 0,,1 1 - -,3.50
13 PCoSp4  4.50  0.40 1 0 1,,1,1 1 1 0,,1 1 - -,4.90
63.25,,,,,,64.69
Program Components Factor,,,,,,
Skating Skills  1.60 7.25 7.25 6.50,,7.25,6.50 7.00 6.50 7.00,,6.50 7.25 - -,6.90
Transition / Linking Footwork  1.60 7.00 7.00 6.25,,6.75,6.75 6.75 6.00 6.25,,6.50 7.00 - -,6.55
Performance / Execution  1.60 7.00 6.75 6.50,,7.00,6.75 7.00 6.50 6.75,,6.25 7.25 - -,6.70
Choreography / Composition  1.60 7.25 7.50 6.75,,7.00,7.00 7.00 6.25 6.50,,6.75 7.25 - -,6.85
Interpretation  1.60 7.50 7.00 6.75,,7.00,7.00 6.75 6.50 6.75,,6.50 7.50 - -,6.80
Judges Total Program Component Score (factored),,,,,,54.08
Deductions:,,,,,,0.00
"e  Jump take off with wrong edge x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,
"",,,Total Total,,Total,Total
NOC,,,Segment Element,,Program  Component,Deductions
Rank Name,,,,,,
Code,,,Score Score,,Score (factored),
"",,,= +,,+,-
4 Maria MUKHORTOVA / Maxim TRANKOV RUS,,,116.72  60.24,,56.48,0.00
"# Executed Base GOE",,,The Judges Panel,,,Scores
Elements Value,,,(in random order),,,of Panel
1 3T+COMBO  4.00 -1.60 -2 -1 -1,,-2,-2 -1 -1 -2,,-3 -2 - -,2.40
2 3LzTw1  5.00 -0.14 0 1 -1,,1,0 1 -2 0,,-1 0 - -,4.86
3 3S  4.50  0.20 1 0 0,,0,0 0 1 0,,0 1 - -,4.70
4 5ALi4  6.50  1.00 1 2 0,,1,1 1 1 1,,1 1 - -,7.50
5 3LoTh  5.00  0.70 1 1 1,,1,1 1 1 1,,1 1 - -,5.70
6 SpSq4  3.40  1.00 1 1 0,,1,1 1 1 2,,1 1 - -,4.40
7 3STh  4.50  0.70 1 1 1,,1,1 1 1 1,,1 0 - -,5.20
8 5TLi4  6.00  0.40 1 1 0,,1,1 1 0 1,,1 1 - -,6.40
9 PCoSp4  4.50  0.60 1 1 1,,1,2 2 2 2,,1 2 - -,5.10
10 FCCoSp3  3.00  0.50 1 1 1,,1,1 0 2 1,,0 1 - -,3.50
11 SlSt3  3.10  0.10 0 1 0,,0,1 0 1 0,,0 1 - -,3.20
12 3Li2  3.00  0.50 2 2 -1,,1,1 1 0 1,,1 1 - -,3.50
13 FiDs4  3.50  0.28 0 1 0,,1,0 1 0 1,,0 1 - -,3.78
56.00,,,,,,60.24
Program Components Factor,,,,,,
Skating Skills  1.60 7.25 8.00 6.50,,7.00,7.00 7.25 7.00 7.75,,6.75 7.75 - -,7.15
Transition / Linking Footwork  1.60 7.00 7.75 5.00,,7.00,6.50 7.00 6.50 7.00,,6.50 7.50 - -,6.80
Performance / Execution  1.60 7.25 8.00 6.25,,7.00,7.00 7.50 7.00 7.75,,6.75 8.00 - -,7.15
Choreography / Composition  1.60 7.25 8.25 6.00,,7.25,7.25 7.25 6.75 7.50,,6.75 8.00 - -,7.10
Interpretation  1.60 7.25 8.00 6.25,,7.00,7.25 7.25 6.75 7.75,,6.75 8.00 - -,7.10
Judges Total Program Component Score (factored),,,,,,56.48
Deductions:,,,,,,0.00
"e  Jump take off with wrong edge x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,
Cup of Russia,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,,Total Total,,Total,Total
NOC,,,Segment Element,,Program  Component,Deductions
Rank Name,,,,,,
Code,,,Score Score,,Score (factored),
"",,,= +,,+,-
5 Ksenia KRASILNIKOVA / Konstantin BEZMATERNIKH RUS,,,95.48  52.08,,44.40,1.00
"# Executed Base GOE",,,The Judges Panel,,,Scores
Elements Value,,,(in random order),,,of Panel
1 2T  1.30 -0.42 -1 0 -2,,-2,-2 -2 -2 0,,-2 0 - -,0.88
2 3FTh  5.50  0.42 1 0 -1,,1,0 0 0 1,,1 1 - -,5.92
3 3LzTw1  5.00 -0.56 -1 0 -2,,0,-1 0 -2 0,,-1 0 - -,4.44
4 5SLi3  5.50  0.40 1 1 1,,1,0 0 0 0,,1 0 - -,5.90
5 SpSq4  3.40  0.40 1 1 0,,0,0 1 0 1,,0 1 - -,3.80
6 BoDs1  3.00 -0.28 -1 0 0,,-1,-1 0 -3 0,,0 -1 - -,2.72
7 2A+2A+SEQ  6.16 x  1.00 1 1 1,,1,0 0 1 0,,1 1 - -,7.16
8 5ALi3  6.00  0.80 1 1 2,,1,0 1 0 0,,1 1 - -,6.80
9 3LoTh  5.50 x -2.00 -3 -3 -3,,-3,-3 -3 -3 -3,,-3 -3 - -,3.50
10 FCCoSp2  2.50 -0.36 -1 -2 -1,,-1,-2 -1 -1 0,,-2 -1 - -,2.14
11 SlSt1  1.80 -0.12 0 -1 0,,0,0 -1 -1 0,,-1 0 - -,1.68
12 3Li3  3.50  0.20 1 0 0,,1,0 0 0 0,,1 0 - -,3.70
13 PCoSp2  3.50 -0.06 -1 -1 0,,0,0 0 0 0,,0 0 - -,3.44
52.66,,,,,,52.08
Program Components Factor,,,,,,
Skating Skills  1.60 6.00 6.50 5.25,,6.25,5.75 5.25 4.75 6.00,,5.25 6.00 - -,5.75
Transition / Linking Footwork  1.60 5.75 6.00 4.50,,5.75,5.25 4.75 4.00 5.25,,5.00 5.50 - -,5.25
Performance / Execution  1.60 6.00 6.00 5.25,,6.00,5.50 5.00 4.50 5.75,,5.25 6.00 - -,5.65
Choreography / Composition  1.60 5.75 6.75 5.25,,6.00,5.50 5.00 4.25 5.50,,5.00 6.00 - -,5.50
Interpretation  1.60 5.75 6.25 5.50,,6.00,5.25 5.00 4.25 5.75,,5.00 5.75 - -,5.60
Judges Total Program Component Score (factored),,,,,,44.40
Deductions: Falls: -1.00,,,,,,-1.00
"e  Jump take off with wrong edge x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,
"",,,Total Total,,Total,Total
NOC,,,Segment Element,,Program  Component,Deductions
Rank Name,,,,,,
Code,,,Score Score,,Score (factored),
"",,,= +,,+,-
6 Adeline CANAC / Maximin COIA FRA,,,85.43  45.11,,40.32,0.00
"# Executed Base GOE",,,The Judges Panel,,,Scores
Elements Value,,,(in random order),,,of Panel
1 2LzTw2  3.50  0.00 0 0 0,,0,1 0 1 0,,-1 1 - -,3.50
2 3Lo  5.00 -2.40 -2 -2 -2,,-3,-2 -3 -3 -2,,-3 -2 - -,2.60
3 5ALi4  6.50  0.20 0 0 1,,1,0 0 0 0,,0 1 - -,6.70
4 3LoTh  5.00 -1.26 -2 -2 -1,,-2,-2 -2 -1 -2,,-2 -2 - -,3.74
5 PCoSp2  3.50  0.00 0 0 0,,-1,0 0 0 0,,0 0 - -,3.50
6 SpSq3  3.10  0.50 1 1 1,,0,1 1 1 1,,1 1 - -,3.60
7 5TLi2  5.00 -0.06 0 0 -1,,0,0 0 -2 0,,0 -1 - -,4.94
8 3STh  4.95 x -1.40 -2 -2 -2,,-3,-2 -2 -2 -2,,-2 -2 - -,3.55
9 2T+2T  2.86 x -0.24 0 -1 -2,,0,-2 -1 -2 0,,-1 0 - -,2.62
10 SlSt2  2.30  0.00 0 0 0,,-1,1 0 0 0,,0 0 - -,2.30
11 3Li2  3.00 -0.06 0 0 0,,-1,0 0 -2 0,,0 1 - -,2.94
12 BoDs1  3.00 -0.70 -1 0 -1,,-1,-1 0 -1 -2,,-1 -1 - -,2.30
13 FCCoSp3  3.00 -0.18 0 -1 -1,,0,-1 0 -1 0,,-1 -1 - -,2.82
50.71,,,,,,45.11
Program Components Factor,,,,,,
Skating Skills  1.60 5.25 6.00 5.75,,5.00,5.50 5.00 5.00 5.25,,5.00 5.25 - -,5.25
Transition / Linking Footwork  1.60 4.75 5.50 4.75,,4.50,5.00 4.50 4.75 4.75,,4.50 5.00 - -,4.70
Performance / Execution  1.60 5.00 5.75 5.50,,4.75,5.25 4.75 5.00 5.00,,5.00 5.25 - -,5.10
Choreography / Composition  1.60 5.00 6.25 5.50,,4.75,5.00 4.75 5.25 5.25,,4.75 5.50 - -,5.15
Interpretation  1.60 5.00 6.00 5.25,,4.50,5.25 5.00 4.75 5.25,,4.75 5.50 - -,5.00
Judges Total Program Component Score (factored),,,,,,40.32
Deductions:,,,,,,0.00
"e  Jump take off with wrong edge x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,
Cup of Russia,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
NOC,,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
Code,,,Score Score,,,Score (factored),
"",,,= +,,,+,-
7 Maria SERGEJEVA / Ilja GLEBOV EST,,,84.81  46.69,,,39.12,1.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3LzTw2  5.50  0.28 1 0 0,,0,0 0 -1 1,,1,0 - -,5.78
2 3LoTh  5.00  0.00 0 0 0,,1,0 0 0 0,,0,1 - -,5.00
3 3S  4.50 -2.00 -2 -2 -2,,-2,-2 -2 -2 -2,,-2,-2 - -,2.50
4 5SLi4  6.00  0.00 0 0 0,,0,0 0 0 0,,1,0 - -,6.00
5 FCCoSp4  3.50 -0.12 0 -1 1,,-1,0 -1 0 0,,-1,0 - -,3.38
6 SpSq4  3.40  0.00 1 0 0,,0,0 0 0 0,,0,0 - -,3.40
7 1A+COMBO  0.88 x -0.50 -3 -3 -3,,-3,-3 -3 -3 0,,-3,-3 - -,0.38
8 5TLi2  5.00  0.00 0 0 0,,0,-1 0 -1 0,,0,0 - -,5.00
9 3TTh  4.95 x  0.00 0 0 0,,0,0 0 0 0,,1,0 - -,4.95
10 CiSt1  1.80  0.00 0 0 0,,0,0 0 0 0,,-1,0 - -,1.80
11 4Li2  3.00 -0.06 0 0 -1,,0,0 0 -1 0,,0,0 - -,2.94
12 BoDs1  3.00 -0.14 0 0 -1,,1,0 0 -1 0,,0,0 - -,2.86
13 PCoSp1  3.00 -0.30 -2 -1 -1,,-2,0 -1 0 0,,-1,-1 - -,2.70
49.53,,,,,,,46.69
Program Components Factor,,,,,,,
Skating Skills  1.60 5.00 5.50 5.25,,5.00,4.75 4.25 4.50 5.50,,4.75,5.25 - -,5.10
Transition / Linking Footwork  1.60 4.75 5.00 4.50,,4.75,4.50 4.00 4.00 5.00,,4.50,4.75 - -,4.70
Performance / Execution  1.60 4.75 4.75 5.00,,4.75,4.75 4.00 4.00 5.50,,4.75,5.00 - -,4.80
Choreography / Composition  1.60 5.00 5.00 5.25,,5.00,4.50 4.25 4.25 5.25,,4.50,5.25 - -,4.95
Interpretation  1.60 5.00 4.75 5.25,,5.00,4.50 4.00 4.00 5.50,,4.50,5.00 - -,4.90
Judges Total Program Component Score (factored),,,,,,,39.12
Deductions: Falls: -1.00,,,,,,,-1.00
"e  Jump take off with wrong edge x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
"",,,Total Total,,,Total,Total
NOC,,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
Code,,,Score Score,,,Score (factored),
"",,,= +,,,+,-
8 Laura MAGITTERI / Ondrej HOTAREK ITA,,,81.06  43.30,,,37.76,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 2LzTw2  3.50  0.30 1 1 1,,0,1 1 0 1,,-1,0 - -,3.80
2 3STh  4.50 -1.52 -2 -3 -2,,-2,-2 -2 -2 -3,,-2,-2 - -,2.98
3 2T+2T  2.60  0.00 0 0 0,,0,0 0 0 0,,0,0 - -,2.60
4 2LoTh  3.00  0.20 0 0 0,,0,0 0 1 1,,1,1 - -,3.20
5 5ALi2  5.50  0.28 0 0 1,,1,0 1 0 1,,0,0 - -,5.78
6 2A  3.50 -0.48 -1 -1 -1,,0,0 -1 -1 0,,0,0 - -,3.02
7 SpSq4  3.40  0.00 1 0 0,,0,1 1 0 0,,0,1 - -,3.40
8 3Li3  3.50 -0.06 0 0 -1,,0,0 -1 -2 0,,1,0 - -,3.44
9 PCoSp3  4.00 -0.24 -1 -1 -1,,-2,-1 0 0 0,,-1,-1 - -,3.76
10 5SLi3  5.50  0.10 0 0 0,,1,0 0 0 0,,1,1 - -,5.60
11 FCoSp1  1.70 -0.48 -2 -2 -2,,-1,-2 -2 -2 -1,,-1,-1 - -,1.22
12 SlSt1  1.80 -0.30 -1 -1 -1,,-2,0 -1 -1 -1,,-1,-1 - -,1.50
13 FiDs2  3.00  0.00 1 0 0,,0,0 0 -1 0,,0,-1 - -,3.00
45.50,,,,,,,43.30
Program Components Factor,,,,,,,
Skating Skills  1.60 4.25 5.75 5.50,,5.00,5.00 4.25 4.25 5.00,,4.50,5.25 - -,4.85
Transition / Linking Footwork  1.60 4.25 5.00 4.25,,4.75,4.50 3.75 4.50 4.75,,4.25,5.00 - -,4.50
Performance / Execution  1.60 4.50 5.00 4.75,,4.75,4.75 4.00 4.25 5.25,,4.50,5.25 - -,4.70
Choreography / Composition  1.60 4.25 5.75 5.25,,4.75,5.00 4.00 4.75 5.00,,4.25,5.25 - -,4.80
Interpretation  1.60 4.50 5.50 5.00,,4.50,5.00 3.75 4.50 5.25,,4.25,5.00 - -,4.75
Judges Total Program Component Score (factored),,,,,,,37.76
Deductions:,,,,,,,0.00
"e  Jump take off with wrong edge x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
Printed: 24.11.2007 19:40:18,,,,,,,
