Trophee Eric Bompard,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
Transition / Linking Footwork  1.60 7.00 7.00 6.75,7.50,7.50 6.75 7.00 7.00,7.25,7.75 - -,,7.15,
Performance / Execution  1.60 7.25 7.75 7.00,8.00,8.00 7.25 7.25 7.50,7.75,7.50 - -,,7.55,
Choreography / Composition  1.60 7.25 7.50 7.25,8.00,8.00 7.75 7.00 7.25,7.50,7.75 - -,,7.45,
Interpretation  1.60 7.00 7.50 7.00,8.00,8.00 6.75 7.00 7.50,7.75,7.50 - -,,7.45,
Judges Total Program Component Score (factored),,,,,,59.44,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
Trophee Eric Bompard,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
3 Tiffany VISE / Derek TRENT USA,,109.70  58.42,,51.28,,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 2LzTw2  3.50  0.80 1 2 0,2,1 1 1 0,2,2 - -,,4.30,
2 4STh  8.00  0.60 1 0 2,0,2 0 1 0Info,1,1 - -,,8.60,Info
3 2T  1.30 -0.14 -2 1 1,-2,0 -2 0 0,1,-2 - -,,1.16,
4 2Lz+2T e  3.20 -0.36 -1 -2 -1,-1,-1 -1 -1 -1,-2,-1 - -,,2.84,
5 PCoSp4  4.50  0.50 1 1 0,1,1 1 1 1,1,1 - -,,5.00,
6 3Li4  4.00  0.40 1 1 1,1,2 2 0 1,0,1 - -,,4.40,
7 5SLi4  6.00  0.40 1 1 1,1,1 1 0 0,1,1 - -,,6.40,
8 SpSq3  3.10  0.30 0 1 0,1,1 1 0 0,1,1 - -,,3.40,
9 3LoTh  5.50 x  0.98 2 2 1,2,1 1 1 0,1,1 - -,,6.48,
10 5ALi3  6.00  0.00 0 0 0,1,0 0 0 0,0,0 - -,,6.00,
11 FCCoSp3  3.00  0.10 1 0 0,0,1 0 0 0,0,1 - -,,3.10,
12 SlSt3  3.10  0.30 1 1 0,1,1 0 1 0,0,0 - -,,3.40,
13 FiDs3  3.20  0.14 0 0 1,0,2 1 0 1,0,1 - -,,3.34,
54.40,,,,,,58.42,
Program Components Factor,,,,,,,
Skating Skills  1.60 6.25 6.75 6.25,6.50,7.00 6.25 6.50 6.25,6.50,6.75 - -,,6.50,
Transition / Linking Footwork  1.60 6.00 6.50 6.00,6.00,6.25 5.25 6.25 5.75,6.00,6.75 - -,,6.15,
Performance / Execution  1.60 6.25 6.75 6.00,6.25,6.50 6.00 6.75 6.25,6.50,7.00 - -,,6.50,
Choreography / Composition  1.60 6.50 7.00 6.50,6.50,6.75 5.75 6.50 6.00,6.25,6.75 - -,,6.50,
Interpretation  1.60 6.25 6.75 6.25,6.25,6.75 6.00 6.50 6.25,6.50,6.50 - -,,6.40,
Judges Total Program Component Score (factored),,,,,,51.28,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
4 Maria MUKHORTOVA / Maxim TRANKOV RUS,,108.06  56.58,,52.48,,1.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3T+2T  5.30  0.80 0 1 0,1,0 1 1 1,0,1 - -,,6.10,
2 3LzTw1  5.00 -0.56 0 0 0,1,0 1 -1 -2,-2,-1 - -,,4.44,
3 3S  4.50 -3.00 -3 -3 -3,-3,-3 -3 -3 -3,-3,-3 - -,,1.50,
4 5ALi4  6.50  0.80 1 1 1,1,1 1 0 1,0,1 - -,,7.30,
5 3LoTh  5.00  0.70 1 1 0,2,1 1 0 1,1,1 - -,,5.70,
6 SpSq4  3.40  0.80 0 1 1,2,2 1 1 1,0,1 - -,,4.20,
7 3STh  4.50  0.98 1 2 2,2,1 2 1 1,2,1 - -,,5.48,
8 5TLi3  5.50  0.00 0 0 0,-1,1 0 0 0,0,0 - -,,5.50,
9 PCoSp2  3.50  0.20 1 1 1,1,2 0 0 0,0,0 - -,,3.70,
10 FCCoSp4  3.50  0.50 1 1 1,1,1 0 1 1,0,1 - -,,4.00,
11 SlSt1  1.80  0.00 0 1 1,0,1 0 0 0,0,0 - -,,1.80,
12 3Li3  3.50 -0.12 0 0 1,-2,0 -1 -1 0,-1,0 - -,,3.38,
13 FiDs3  3.20  0.28 0 0 1,1,1 0 0 1,0,1 - -,,3.48,
55.20,,,,,,56.58,
Program Components Factor,,,,,,,
Skating Skills  1.60 6.00 7.00 6.75,7.00,7.50 6.50 6.50 7.00,6.25,7.75 - -,,6.75,
Transition / Linking Footwork  1.60 5.75 6.50 6.25,6.25,6.75 6.00 6.00 6.50,5.50,7.00 - -,,6.20,
Performance / Execution  1.60 6.00 7.25 6.50,7.00,7.00 6.25 6.25 6.75,5.75,7.00 - -,,6.60,
Choreography / Composition  1.60 6.25 7.00 6.75,7.00,7.25 5.75 6.25 7.00,6.00,7.75 - -,,6.70,
Interpretation  1.60 5.75 6.75 6.50,7.00,7.00 5.50 6.25 6.75,6.00,7.25 - -,,6.55,
Judges Total Program Component Score (factored),,,,,,52.48,
Deductions: Falls: -1.00,,,,,,-1.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
Trophee Eric Bompard,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
5 Jessica MILLER / Ian MORAM CAN,,98.66  54.18,,44.48,,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 2A  3.50  0.40 0 1 0,1,0 1 0 0,0,1 - -,,3.90,
2 5ALi2  5.50  0.14 0 1 1,1,1 1 0 0Info,0,0 - -,,5.64,Info
3 4STh  8.00 -1.12 -1 -2 -1,-2,-1 -1 -1 0,-2,-2 - -,,6.88,
4 2LzTw2  3.50  0.20 0 1 0,2,0 1 0 0,1,0 - -,,3.70,
5 2T+SEQ  1.04 -0.06 -1 0 -1,0,0 0 0 0,-1,0 - -,,0.98,
6 SlSt2  2.30  0.20 1 1 0,1,1 1 0 0,0,0 - -,,2.50,
7 3LoTh  5.50 x -0.14 -1 0 0,0,-1 0 0 0,-1,0 - -,,5.36,
8 SpSq4  3.40  1.00 1 1 0,1,1 0 1 1,1,0 - -,,4.40,
9 FCCoSp4  3.50 -0.12 0 -1 -1,0,0 -2 0 -1,-1,0 - -,,3.38,
10 5SLi4  6.00  0.00 0 0 1,0,1 0 0 0,-1,0 - -,,6.00,
11 PCoSp3  4.00  0.10 0 1 0,1,1 1 0 0,0,0 - -,,4.10,
12 3Li4  4.00  0.20 1 1 1,1,1 1 0 0,0,0 - -,,4.20,
13 BiDs2  3.00  0.14 0 1 0,0,1 0 -1 0,0,1 - -,,3.14,
53.24,,,,,,54.18,
Program Components Factor,,,,,,,
Skating Skills  1.60 5.50 5.50 5.25,6.25,5.50 5.50 6.00 5.75,6.00,4.75 - -,,5.75,
Transition / Linking Footwork  1.60 5.00 5.25 4.75,5.75,5.00 4.75 5.25 5.50,5.25,4.00 - -,,5.25,
Performance / Execution  1.60 5.50 6.00 5.00,6.00,5.50 5.25 5.75 5.75,5.50,4.25 - -,,5.70,
Choreography / Composition  1.60 5.50 5.75 4.75,6.25,5.25 5.00 5.50 5.50,5.50,4.50 - -,,5.55,
Interpretation  1.60 5.25 5.50 5.00,6.25,5.50 5.25 5.50 5.75,5.75,4.25 - -,,5.55,
Judges Total Program Component Score (factored),,,,,,44.48,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
6 Tatiana VOLOSOZHAR / Stanislav MOROZOV UKR,,98.41  50.37,,49.04,,1.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3T+2T  5.30  0.80 1 1 1,1,1 1 1 0,0,2 - -,,6.10,
2 2S  1.30  0.40 1 1 1,1,0 1 1 0,0,1 - -,,1.70,
3 3LzTw2  5.50  0.70 1 2 1,0,1 1 0 1,2,1 - -,,6.20,
4 5TLi2  5.00  0.30 0 -2 0,1,1 1 1 1,1,0 - -,,5.30,
5 3Li4  4.00  0.00 0 0 1,0,-1 0 0 0,1,0 - -,,4.00,
6 PCoSp1  3.00  0.10 0 1 2,1,1 1 0 0,0,0 - -,,3.10,
7 3LoTh  5.50 x -1.40 -2 -2 -1,-2,-2 -1 -1 -2,-2,-2 - -,,4.10,
8 SpSq1  1.80  0.40 0 1 1,1,1 0 1 0,1,1 - -,,2.20,
9 3STh  4.95 x -0.70 -2 -1 1,-1,1 -1 -1 -1,0,-1 - -,,4.25,
10 5ALi4  6.50  0.40 0 1 1,0,-1 1 1 1,0,0 - -,,6.90,
11 SlSt3  3.10  0.30 0 1 1,1,1 1 1 0,1,0 - -,,3.40,
12 BoDs1  3.00 -1.40 -2 -2 0,-2,-1 -1 -2 -2,-2,-2 - -,,1.60,
13 FCCoSp1  2.00 -0.48 -2 -2 -1,-2,-1 -2 -1 -1,-2,-1 - -,,1.52,
50.95,,,,,,50.37,
Program Components Factor,,,,,,,
Skating Skills  1.60 5.75 6.25 6.50,6.50,6.50 6.25 6.50 6.50,6.75,4.75 - -,,6.30,
Transition / Linking Footwork  1.60 5.50 5.75 6.00,5.75,5.75 5.75 6.00 6.00,6.25,5.00 - -,,5.80,
Performance / Execution  1.60 5.50 6.50 6.25,6.25,5.75 6.00 6.50 6.25,6.50,5.25 - -,,6.20,
Choreography / Composition  1.60 5.50 6.25 6.50,6.50,5.50 5.75 6.50 6.50,6.50,5.00 - -,,6.25,
Interpretation  1.60 5.25 6.00 6.50,6.50,5.25 5.75 6.25 6.50,6.75,4.50 - -,,6.10,
Judges Total Program Component Score (factored),,,,,,49.04,
Deductions: Music violation: -1.00,,,,,,-1.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
Trophee Eric Bompard,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
7 Stacey KEMP / David KING GBR,,77.57  44.25,,34.32,,1.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 FiDs2  3.00  0.00 1 0 0,0,1 0 0 0,0,0 - -,,3.00,
2 2LzTw3  4.00  0.00 0 0 -1,-1,0 0 0 0Info,0,0 - -,,4.00,Info
3 2F+2T+SEQ  2.40  0.00 0 0 -1,0,0 0 0 0,0,0 - -,,2.40,
4 3FTh<  3.00 -1.00 -3 -3 -2,-3,-3 -3 -3 -3,-3,-3 - -,,2.00,
5 5ALi4  6.50 -0.06 0 -1 0,-1,0 0 0 0,0,0 - -,,6.44,
6 FCCoSp2  2.50 -0.30 -1 -1 -1,-1,0 -1 -1 -1,-1,1 - -,,2.20,
7 SpSq4  3.40  0.00 0 0 0,-1,1 0 0 0,0,0 - -,,3.40,
8 2Lo  1.65 x  0.00 0 -1 0,0,-1 0 0 0,0,0 - -,,1.65,
9 3Li4  4.00  0.00 0 0 0,0,1 1 0 0,0,0 - -,,4.00,
10 3LoTh  5.50 x -1.64 -2 -3 -3,-2,-3 -3 -3 -2,-3,-2 - -,,3.86,
11 5TLi3  5.50  0.00 0 -1 0,0,1 0 0 0,0,0 - -,,5.50,
12 SlSt1  1.80  0.00 0 1 0,-1,0 0 0 0,0,0 - -,,1.80,
13 PCoSp3  4.00  0.00 0 -1 0,0,1 -1 0 0,0,0 - -,,4.00,
47.25,,,,,,44.25,
Program Components Factor,,,,,,,
Skating Skills  1.60 4.50 4.50 4.50,4.25,5.00 4.75 4.50 4.50,4.75,4.00 - -,,4.45,
Transition / Linking Footwork  1.60 4.00 4.00 4.00,4.75,4.25 4.00 4.25 4.00,4.00,3.50 - -,,4.05,
Performance / Execution  1.60 4.50 4.75 4.25,4.50,4.50 4.50 4.25 4.25,4.25,3.75 - -,,4.35,
Choreography / Composition  1.60 4.75 4.25 4.00,4.75,4.75 4.00 4.50 4.25,4.50,4.00 - -,,4.45,
Interpretation  1.60 4.25 4.25 4.25,4.25,4.75 4.00 4.00 4.00,4.25,3.50 - -,,4.15,
Judges Total Program Component Score (factored),,,,,,34.32,
Deductions: Falls: -1.00,,,,,,-1.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
8 Adeline CANAC / Maximin COIA FRA,,75.45  38.97,,38.48,,2.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 2LzTw2  3.50  0.10 0 1 0,0,0 1 0 0,1,0 - -,,3.60,
2 2Lo  1.50 -1.00 -3 -3 -3,-3,-3 -3 -3 -3,-3,-3 - -,,0.50,
3 5ALi3  6.00 -0.36 -1 -2 -1,-1,-1 -1 -2 -1,0,-1 - -,,5.64,
4 3LoTh  5.00 -0.84 -1 -2 -2,-1,-2 -1 -1 -1,-2,-1 - -,,4.16,
5 PCoSp1  3.00  0.10 1 1 0,0,0 0 0 0,0,0 - -,,3.10,
6 SpSq3  3.10  0.30 1 2 0,1,1 2 0 0,0,1 - -,,3.40,
7 5TLi2  5.00 -0.54 -3 -1 -1,-2,-2 -2 -2 -2,-2,-1 - -,,4.46,
8 3STh  4.95 x -1.40 -2 -3 -2,-2,-2 -2 -2 -2,-2,-2 - -,,3.55,
9 3T+COMBO  4.40 x -3.00 -3 -3 -2,-3,-3 -3 -3 -3,-3,-3 - -,,1.40,
10 SlSt1  1.80  0.00 0 0 0,0,0 0 0 0,0,0 - -,,1.80,
11 3Li1  2.50 -0.06 0 0 0,-1,0 0 0 0,-1,0 - -,,2.44,
12 BoDs1  3.00 -0.84 -2 -2 0,-1,-1 -1 -1 -1,-1,0 - -,,2.16,
13 FCCoSp3  3.00 -0.24 -1 -1 -1,-1,0 -1 0 -1,-1,0 - -,,2.76,
46.75,,,,,,38.97,
Program Components Factor,,,,,,,
Skating Skills  1.60 4.75 5.00 5.00,5.50,5.00 4.75 5.50 5.00,5.00,4.75 - -,,5.05,
Transition / Linking Footwork  1.60 4.50 4.50 4.50,5.00,4.25 4.25 5.00 4.50,4.50,4.00 - -,,4.60,
Performance / Execution  1.60 4.25 5.25 4.75,5.25,4.75 4.00 5.00 4.75,4.50,4.00 - -,,4.75,
Choreography / Composition  1.60 4.75 5.00 4.50,5.50,5.00 4.50 5.25 4.75,4.75,4.75 - -,,4.90,
Interpretation  1.60 4.50 4.75 4.75,5.25,4.75 4.25 5.00 4.50,5.00,4.50 - -,,4.75,
Judges Total Program Component Score (factored),,,,,,38.48,
Deductions: Falls: -2.00,,,,,,-2.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
Printed: 17/11/2007 23:57:32,,,,,,,
