ISU GP Samsung Anycall Cup of China 2008,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
Transition / Linking Footwork  1.60 6.00 6.50 7.00 7.00,,7.00 6.00 6.25 5.75 7.00 - - -,,6.55,,
Performance / Execution  1.60 7.25 6.75 7.50 7.25,,7.25 6.25 6.50 6.75 7.75 - - -,,7.00,,
Choreography / Composition  1.60 6.25 6.75 7.25 7.25,,7.25 6.50 7.00 6.75 7.25 - - -,,6.95,,
Interpretation  1.60 5.00 6.75 7.50 7.25,,7.25 6.75 6.75 6.25 6.75 - - -,,6.95,,
Judges Total Program Component Score (factored),,,,54.80,,
Deductions:,,,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,
ISU GP Samsung Anycall Cup of China 2008,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total Total,Total,,,
NOC,,Segment Element Program  Component,Deductions,,,
Rank Name,,,,,,
Code,,Score Score Score (factored),,,,
"",,= + +,,-,,
3 Qing PANG / Jian TONG CHN,,112.50  56.26  56.24,,0.00,,
"# Executed Base GOE",,The Judges Panel,,Scores,,
Elements Value,,(in random order),of Panel,,,
1 2A+1A+SEQ  3.44 -0.64 -1 -2 1 -1,,0 0 -2 -1 -1 - - -,,2.80,,
2 3T< <  1.30 -0.60 -2 -3 -2 -2,,-2 -1Info -2 -3 -1 - - -,,0.70,,Info
3 4Li4  4.00  0.80 2 1 2 1,,2 1 2 1 1 - - -,,4.80,,
4 SlSt3  3.30  0.40 1 1 1 0,,1 0 1 1 1 - - -,,3.70,,
5 FCCoSp3  3.00  0.50 1 1 2 1,,1 0 1 1 1 - - -,,3.50,,
6 3LzTw1  5.50 x -0.42 0 -2 -2 -1,,0 0 1 0 -1 - - -,,5.08,,
7 3STh  4.95 x  0.28 0 2 0 1,,0 -1 1 1 2 - - -,,5.23,,
8 3LoTh  5.50 x  1.26 2 3 2 1,,2 1 2 2 3 - - -,,6.76,,
9 FiDs4  3.50  0.84 2 -2 1 1,,2 1 1 1 1 - - -,,4.34,,
10 PCoSp4  4.50  0.10 0 1 0 0,,1 0 0 2 0 - - -,,4.60,,
11 5TLi4  6.60 x  0.20 0 1 1 0,,2 0 0 1 0 - - -,,6.80,,
12 5ALi4  7.15 x  0.80 0 1 0 1,,1 1 1 1 0 - - -,,7.95,,
52.74,,,,56.26,,
Program Components Factor,,,,,,
Skating Skills  1.60 7.50 7.25 7.25 6.75,,7.00 6.75 7.50 7.00 8.00 - - -,,7.15,,
Transition / Linking Footwork  1.60 6.00 7.00 6.75 6.75,,6.75 6.75 7.00 6.00 6.50 - - -,,6.80,,
Performance / Execution  1.60 7.00 7.25 7.00 7.00,,6.75 6.75 7.25 6.25 7.50 - - -,,7.00,,
Choreography / Composition  1.60 6.25 7.00 7.25 7.00,,7.00 7.25 7.50 7.00 7.50 - - -,,7.10,,
Interpretation  1.60 5.50 7.25 7.00 7.00,,7.00 7.25 7.50 7.00 7.00 - - -,,7.10,,
Judges Total Program Component Score (factored),,,,56.24,,
Deductions:,,,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,
"",,Total Total Total,Total,,,
NOC,,Segment Element Program  Component,Deductions,,,
Rank Name,,,,,,
Code,,Score Score Score (factored),,,,
"",,= + +,,-,,
4 Mylene BRODEUR / John MATTATALL CAN,,94.81  52.41  42.40,,0.00,,
"# Executed Base GOE",,The Judges Panel,,Scores,,
Elements Value,,(in random order),of Panel,,,
1 5ALi4  6.50  1.00 1 1 2 1,,1 0 1 2 1 - - -,,7.50,,
2 3T< <  1.30 -0.84 -3 -3 -2 -2,,-3 -2 -3 -2 -3 - - -,,0.46,,
3 2FTw3  4.00  0.00 0 0 0 0,,0 0 0 1 1 - - -,,4.00,,
4 3LoTh  5.00  0.00 0 0 0 0,,0 0 0 1 0 - - -,,5.00,,
5 FCCoSp4  3.50  0.50 2 1 1 1,,1 0 1 1 1 - - -,,4.00,,
6 PCoSp4  4.50  0.00 0 0 1 0,,0 0 0 0 0 - - -,,4.50,,
7 3Li4  4.40 x  0.00 0 0 0 0,,0 0 1 1 0 - - -,,4.40,,
8 2A+2T  5.28 x  0.00 1 0 0 0,,0 0 0 0 1 - - -,,5.28,,
9 SlSt2  2.30  0.00 0 0 1 0,,0 0 0 1 1 - - -,,2.30,,
10 3STh  4.95 x -0.70 -1 -1 -1 -1,,-1 -1 -1 -1 -1 - - -,,4.25,,
11 5SLi4  6.60 x  0.20 0 0 0 1,,1 0 1 0 0 - - -,,6.80,,
12 2Li* *  0.00  0.00 - - - -,,- - - - - - - -,,0.00,,
13 BiDs4  3.50  0.42 1 0 1 0,,1 0 1 1 1 - - -,,3.92,,
51.83,,,,52.41,,
Program Components Factor,,,,,,
Skating Skills  1.60 5.25 5.75 5.50 5.00,,5.25 4.25 5.75 5.25 6.00 - - -,,5.35,,
Transition / Linking Footwork  1.60 4.00 5.50 5.00 5.00,,5.25 4.25 5.50 4.25 5.50 - - -,,5.00,,
Performance / Execution  1.60 6.50 5.75 5.75 5.00,,5.50 4.75 5.50 6.00 5.75 - - -,,5.50,,
Choreography / Composition  1.60 5.25 5.50 5.50 5.25,,5.25 5.00 5.50 5.50 5.50 - - -,,5.35,,
Interpretation  1.60 4.50 5.75 5.25 5.25,,5.50 4.75 5.75 5.50 5.25 - - -,,5.30,,
Judges Total Program Component Score (factored),,,,42.40,,
Deductions:,,,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,
ISU GP Samsung Anycall Cup of China 2008,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,Total,Total,,,
NOC,,Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,,,
Code,,Score Score,Score (factored),,,,
"",,= +,+,,-,,
5 Amanda EVORA / Mark LADWIG USA,,92.40  48.84,44.56,,1.00,,
"# Executed Base GOE",,The Judges Panel,,,Scores,,
Elements Value,,(in random order),,of Panel,,,
1 3LzTw1  5.00  0.28 1 0 0 0,,1 0 1 1 1,- - -,,5.28,,
2 SeSt1  1.80  0.00 0 0 0 0,,0 0 Info 0 0 0,- - -,,1.80,,Info
3 3T<+SEQ <  1.04 -0.92 -3 -3 -3 -2,,-3 -2 -3 -3 -3,- - -,,0.12,,
4 3LzTh  5.50  0.70 1 1 1 0,,1 1 1 2 1,- - -,,6.20,,
5 3S< <  1.30 -0.76 -2 -3 -2 -2,,-3 -1 -3 -3 -3,- - -,,0.54,,
6 FCCoSp2  2.50 -0.30 -1 0 -1 -1,,-1 -1 -1 1 -1,- - -,,2.20,,
7 4Li4  4.40 x  0.00 0 0 0 0,,-1 0 1 1 0,- - -,,4.40,,
8 3LoTh  5.50 x -0.70 -1 -1 -1 -1,,-2 -1 0 1 -1,- - -,,4.80,,
9 5RLi4  7.15 x  0.20 -1 1 0 0,,0 0 1 0 1,- - -,,7.35,,
10 BoDs2  3.50  0.00 0 0 0 -1,,0 0 0 0 1,- - -,,3.50,,
11 PCoSp4  4.50  0.00 0 0 1 0,,0 0 0 1 1,- - -,,4.50,,
12 5ALi4  7.15 x  1.00 1 1 1 1,,1 0 1 1 0,- - -,,8.15,,
49.34,,,,,48.84,,
Program Components Factor,,,,,,,
Skating Skills  1.60 6.50 5.75 5.75 5.25,,5.50 5.75 6.00 6.00 5.50,- - -,,5.75,,
Transition / Linking Footwork  1.60 4.50 5.50 5.50 5.25,,5.25 5.75 5.50 4.50 4.75,- - -,,5.40,,
Performance / Execution  1.60 6.25 5.75 5.75 5.25,,5.50 5.50 5.50 5.75 5.50,- - -,,5.60,,
Choreography / Composition  1.60 5.75 5.50 5.75 5.25,,5.25 6.00 6.00 6.25 5.25,- - -,,5.65,,
Interpretation  1.60 4.00 5.75 5.50 5.25,,5.00 6.00 5.75 5.50 4.25,- - -,,5.45,,
Judges Total Program Component Score (factored),,,,,44.56,,
Deductions: Falls: -1.00,,,,,-1.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
"",,Total Total,Total,Total,,,
NOC,,Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,,,
Code,,Score Score,Score (factored),,,,
"",,= +,+,,-,,
6 Yue ZHANG / Lei WANG CHN,,91.08  50.40,41.68,,1.00,,
"# Executed Base GOE",,The Judges Panel,,,Scores,,
Elements Value,,(in random order),,of Panel,,,
1 3T+2T  5.30 -0.40 0 0 0 -1,,-1 0 -1 1 0,- - -,,4.90,,
2 3LoTh  5.00  0.84 1 1 2 0,,2 1 1 2 1,- - -,,5.84,,
3 2LzTw2  3.50  0.20 0 0 1 -1,,1 0 1 0 1,- - -,,3.70,,
4 5TLi3  5.50  0.00 -1 0 0 0,,0 0 0 1 0,- - -,,5.50,,
5 2A  3.50  0.20 1 1 0 0,,0 0 0 1 1,- - -,,3.70,,
6 FCCoSp4  3.50  0.14 1 0 1 0,,-1 -1 1 -1 1,- - -,,3.64,,
7 SlSt2  2.30  0.20 0 1 1 0,,1 0 0 0 0,- - -,,2.50,,
8 BiDs3  3.20  0.14 0 1 1 -1,,0 0 0 1 0,- - -,,3.34,,
9 5ALi3  6.60 x -0.56 -2 1 0 -1,,-2 -1 0 -1 0,- - -,,6.04,,
10 3STh  4.95 x -2.00 -3 -3 -3 -3,,-3 -3 -3 -2 -2,- - -,,2.95,,
11 3Li3  3.85 x  0.00 0 0 0 0,,-1 0 0 0 0,- - -,,3.85,,
12 PCoSp4  4.50 -0.06 0 0 0 0,,-1 -1 0 1 0,- - -,,4.44,,
51.70,,,,,50.40,,
Program Components Factor,,,,,,,
Skating Skills  1.60 4.75 6.50 5.50 5.00,,5.00 4.75 5.75 6.00 5.50,- - -,,5.20,,
Transition / Linking Footwork  1.60 3.75 6.00 5.00 5.00,,4.50 4.75 5.25 3.75 4.00,- - -,,4.90,,
Performance / Execution  1.60 5.50 6.50 5.75 4.75,,4.75 5.25 5.75 4.50 4.75,- - -,,5.40,,
Choreography / Composition  1.60 4.00 6.25 5.75 4.75,,4.75 5.25 5.75 5.50 4.25,- - -,,5.25,,
Interpretation  1.60 3.75 6.50 6.00 4.75,,4.75 5.25 5.75 4.00 3.75,- - -,,5.30,,
Judges Total Program Component Score (factored),,,,,41.68,,
Deductions: Falls: -1.00,,,,,-1.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
ISU GP Samsung Anycall Cup of China 2008,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,Total,Total,,
NOC,,Segment Element,,Program  Component,Deductions,,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,=,+,+,,-,
7 Chelsi GUILLEN / Danny CURZON USA,,65.18  34.02,,32.16,,1.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,of Panel,,
1 2LzTw2  3.50 -0.06 -1 0 0,-1,0 0 0,0 0,- - -,,3.44,
2 3TTh  4.50 -1.12 -3 -1 -2,-1,-2 -1 -2,0 -1,- - -,,3.38,Info
3 1A+1T  1.20 -0.32 -2 -3 -2,-1,-1 -1 -2,-2 -2,- - -,,0.88,
4 5TLi3  5.50 -0.50 -2 -1 -1,-1,-1 -1 0,-2 -1,- - -,,5.00,
5 PCoSp2  3.50  0.00 0 0 0,0,-1 0 0,1 0,- - -,,3.50,
6 2F  1.70  0.00 0 0 0,0,0 0 0,0 0,- - -,,1.70,
7 FCCoSp4  3.50 -0.12 0 -1 0,0,-1 -1 0,-1 0,- - -,,3.38,
8 5SLi3  6.05 x -0.40 -1 -1 -1,0,-2 0 -1,-1 -1,- - -,,5.65,
9 2STh  2.75 x -1.00 -3 -3 -3,-3,-3 -3 -3,-2 -3,- - -,,1.75,
10 SlSt2  2.30 -0.06 -1 0 0,0,0 -1 0,0 0,- - -,,2.24,
11 3Li2  3.30 x -0.20 -1 -1 0,0,-1 0 0,0 0,- - -,,3.10,
12 FiDs  0.00  0.00 - - -,-,- - -,- -,- - -,,0.00,
37.80,,,,,,34.02,
Program Components Factor,,,,,,,
Skating Skills  1.60 3.50 4.75 4.25 4.00,,4.00 3.75 4.50,5.00 4.75,- - -,,4.10,
Transition / Linking Footwork  1.60 2.75 4.50 3.75 3.75,,3.75 3.75 4.00,3.50 3.75,- - -,,3.80,
Performance / Execution  1.60 3.00 4.75 4.00 4.00,,4.00 4.25 4.25,4.50 4.25,- - -,,4.10,
Choreography / Composition  1.60 3.00 4.50 4.25 4.00,,4.00 4.25 4.00,5.00 4.00,- - -,,4.10,
Interpretation  1.60 2.50 4.50 4.00 4.00,,3.75 4.00 4.25,4.00 4.00,- - -,,4.00,
Judges Total Program Component Score (factored),,,,,,32.16,
Deductions: Falls: -1.00,,,,,,-1.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,<  Downgraded jump,"x  Credit for highlight distribution, base value multiplied by 1.1",,,,
Printed: 07/11/2008 20:51:37,,,,,,,
