Samsung Anycall Cup of China,,
ICE DANCING ORIGINAL DANCEJUDGES DETAILS PER SKATER,,
Interpretation / Timing 1.00 7.25 7.00 7.00 6.75 6.75 7.00 6.00 7.00,7.25 7.00 - -,6.95
Judges Total Program Component Score (factored),,25.52
Deductions: Extended lifts: -1.00,,-1.00
Total Total,Total,Total
Rank Name NOC Segment Element,Program  Component,Deductions
Code Score Score,Score (factored),
"= +",+,-
5 Morgan MATTHEWS / Maxim ZAVOZIN USA 48.89 26.00,22.89,0.00
"# Executed Base GOE The Judges Panel",,Scores
Elements Value (in random order),,of Panel
1 NtMiSt4+FSTw4 8.2 -1.00 -1 -1 -1 -1 -1 -1 -1 -1,-1 -1 - -,7.20
2 CuLi4 4.0 0.40 1 0 1 1 1 1 1 1,0 1 - -,4.40
3 CoSp4 4.7 0.00 0 0 1 0 1 0 0 0,0 0 - -,4.70
4 DiSt3 5.5 0.00 0 0 0 0 0 -1 0 0,0 0 - -,5.50
5 RoLi4 4.0 0.20 0 0 1 0 0 1 1 0,-1 1 - -,4.20
26.4,,26.00
Program Components Factor,,
Skating Skills 0.80 5.75 6.00 6.00 6.25 5.75 6.00 6.00 6.25,5.75 5.50 - -,6.00
Linking Footwork / Movement 0.80 6.00 6.25 6.50 6.50 5.50 6.25 5.75 6.25,5.75 5.25 - -,6.05
Performance 0.60 5.75 6.00 6.50 6.50 5.50 6.50 5.75 6.00,5.50 5.50 - -,5.95
Choreography 0.60 6.00 6.25 6.50 6.75 5.50 6.25 6.00 6.25,5.50 5.50 - -,6.05
Interpretation / Timing 1.00 5.75 6.25 6.75 6.75 5.50 6.50 5.75 6.25,5.50 5.50 - -,6.05
Judges Total Program Component Score (factored),,22.89
Deductions:,,0.00
Total Total,Total,Total
Rank Name NOC Segment Element,Program  Component,Deductions
Code Score Score,Score (factored),
"= +",+,-
6 Kristin FRASER / Igor LUKANIN AZE 47.62 23.80,23.82,0.00
"# Executed Base GOE The Judges Panel",,Scores
Elements Value (in random order),,of Panel
1 NtMiSt3+FSTw4 7.6 -1.00 -1 0 -1 -1 -1 -1 -1 -1,-1 -1 - -,6.60
2 DiSt2 4.8 0.00 0 0 1 0 1 0 0 0,0 0 - -,4.80
3 CuLi4 4.0 0.30 1 2 2 1 1 0 1 0,0 1 - -,4.30
4 CoSp4 4.7 0.30 1 1 1 1 1 0 1 1,0 0 - -,5.00
5 RoLi2 3.0 0.10 0 1 1 0 0 0 0 0,0 1 - -,3.10
24.1,,23.80
Program Components Factor,,
Skating Skills 0.80 6.25 6.75 6.00 6.50 6.25 6.25 6.25 6.25,6.25 5.75 - -,6.30
Linking Footwork / Movement 0.80 6.25 6.50 6.50 6.50 6.00 6.25 5.75 6.25,6.00 5.50 - -,6.15
Performance 0.60 6.00 6.75 6.25 6.75 6.25 6.50 5.75 6.25,6.25 5.50 - -,6.30
Choreography 0.60 6.50 6.75 6.75 6.75 6.25 6.50 6.00 6.25,6.00 5.50 - -,6.30
Interpretation / Timing 1.00 6.25 6.75 6.75 6.75 6.25 6.50 6.00 6.25,6.00 5.75 - -,6.30
Judges Total Program Component Score (factored),,23.82
Deductions:,,0.00
Samsung Anycall Cup of China,,
ICE DANCING ORIGINAL DANCEJUDGES DETAILS PER SKATER,,
Total Total,Total,Total
Rank Name NOC Segment Element,Program  Component,Deductions
Code Score Score,Score (factored),
"= +",+,-
7 Alexandra KAUC / Michal ZYCH POL 43.48 23.20,20.28,0.00
"# Executed Base GOE The Judges Panel",,Scores
Elements Value (in random order),,of Panel
1 CoSp3 4.0 0.30 1 1 1 0 1 1 1 1,-1 0 - -,4.30
2 CuLi4 4.0 0.10 1 1 1 0 0 0 0 0,0 1 - -,4.10
3 DiSt4 6.2 0.00 0 0 -1 -1 0 0 0 0,0 0 - -,6.20
4 NtMiSt3+FSTw1 6.4 -1.80 -3 -1 -2 -2 -2 -2 -2 -2,-2 -1 - -,4.60
5 RoLi4 4.0 0.00 0 0 0 0 0 0 0 0,0 1 - -,4.00
24.6,,23.20
Program Components Factor,,
Skating Skills 0.80 5.00 5.25 5.00 4.75 5.25 5.50 5.50 4.75,5.50 5.25 - -,5.25
Linking Footwork / Movement 0.80 5.25 5.50 5.25 5.00 5.25 5.75 5.25 4.75,5.25 5.00 - -,5.20
Performance 0.60 5.00 5.25 5.25 5.25 5.00 5.50 5.50 5.00,5.00 5.25 - -,5.25
Choreography 0.60 5.50 5.75 5.50 5.50 5.00 5.75 5.75 5.00,5.00 5.25 - -,5.45
Interpretation / Timing 1.00 5.50 5.75 5.50 5.50 5.25 5.75 5.50 5.25,5.00 5.50 - -,5.50
Judges Total Program Component Score (factored),,20.28
Deductions:,,0.00
Total Total,Total,Total
Rank Name NOC Segment Element,Program  Component,Deductions
Code Score Score,Score (factored),
"= +",+,-
8 Julia GOLOVINA / Oleg VOIKO UKR 41.71 22.40,20.31,1.00
"# Executed Base GOE The Judges Panel",,Scores
Elements Value (in random order),,of Panel
1 NtMiSt3+BSTw4 7.6 -0.20 0 0 -1 0 0 -1 1 0,-1 0 - -,7.40
2 RoLi2 3.0 0.10 0 1 1 1 1 0 0 0,-1 0 - -,3.10
3 CuLi4 4.0 0.10 0 0 1 1 0 -1 1 1,-1 0 - -,4.10
4 CoSp3 4.0 0.00 0 1 0 0 0 0 0 0,-1 0 - -,4.00
5 DiSt2 4.8 -1.00 -1 -1 -1 -1 0 -1 -1 -1,-1 0 - -,3.80
23.4,,22.40
Program Components Factor,,
Skating Skills 0.80 5.25 5.25 5.25 5.75 5.50 5.50 5.75 4.75,5.00 5.25 - -,5.35
Linking Footwork / Movement 0.80 5.50 5.75 5.50 5.75 5.00 5.25 5.50 4.75,5.00 5.00 - -,5.30
Performance 0.60 5.25 5.50 5.50 6.00 5.25 5.25 6.00 4.75,4.75 5.00 - -,5.30
Choreography 0.60 5.50 5.75 5.25 6.00 5.25 5.25 6.00 4.75,4.75 5.00 - -,5.35
Interpretation / Timing 1.00 5.50 5.50 5.75 6.00 5.25 5.50 5.75 5.00,4.75 5.25 - -,5.40
Judges Total Program Component Score (factored),,20.31
Deductions: Extended lifts: -1.00,,-1.00
Total Total,Total,Total
Rank Name NOC Segment Element,Program  Component,Deductions
Code Score Score,Score (factored),
"= +",+,-
9 Alexandra ZARETSKI / Roman ZARETSKI ISR 39.37 21.70,17.67,0.00
"# Executed Base GOE The Judges Panel",,Scores
Elements Value (in random order),,of Panel
1 NtMiSt3+FSTw4 7.6 -0.80 -1 0 0 -1 -1 -1 -1 -1,-1 0 - -,6.80
2 CuLi4 4.0 -0.20 0 0 1 -1 1 -1 0 0,-1 0 - -,3.80
3 CoSp1 3.0 -0.20 -1 0 0 -1 0 -1 0 0,-1 0 - -,2.80
4 DiSt2 4.8 -0.60 -1 0 -1 -1 0 -1 -1 -1,0 0 - -,4.20
5 RoLi4 4.0 0.10 0 1 0 0 1 0 0 0,0 1 - -,4.10
23.4,,21.70
Program Components Factor,,
Skating Skills 0.80 4.75 4.50 4.75 4.50 5.00 4.75 4.75 4.50,4.75 4.50 - -,4.60
Linking Footwork / Movement 0.80 4.75 4.50 4.75 4.75 4.75 4.50 4.75 4.25,5.00 4.25 - -,4.55
Performance 0.60 5.00 4.50 5.00 5.00 4.75 5.00 5.00 4.25,4.75 4.50 - -,4.75
Choreography 0.60 4.75 4.75 5.00 5.00 4.75 5.00 4.75 4.25,5.00 4.25 - -,4.75
Interpretation / Timing 1.00 4.75 4.50 4.75 4.75 4.50 5.25 4.75 4.50,4.75 4.50 - -,4.65
Judges Total Program Component Score (factored),,17.67
Deductions:,,0.00
Samsung Anycall Cup of China,,
ICE DANCING ORIGINAL DANCEJUDGES DETAILS PER SKATER,,
Total Total,Total,Total
Rank Name NOC Segment Element,Program  Component,Deductions
Code Score Score,Score (factored),
"= +",+,-
10 Xiaoyang YU / Chen WANG CHN 38.67 21.70,16.97,0.00
"# Executed Base GOE The Judges Panel",,Scores
Elements Value (in random order),,of Panel
1 NtMiSt2+FSTw4 7.0 -0.40 -1 0 0 -1 0 0 0 -1,-1 0 - -,6.60
2 CoSp2 3.5 -0.50 -1 -1 -1 0 0 -1 -2 -1,-1 -1 - -,3.00
3 SlLi4 4.0 0.00 0 1 0 0 0 0 0 0,0 0 - -,4.00
4 RoLi4 4.0 -0.30 0 0 0 -1 1 -1 -1 0,-1 0 - -,3.70
5 DiSt2 4.8 -0.40 -1 0 -1 -1 0 -1 -1 0,0 0 - -,4.40
23.3,,21.70
Program Components Factor,,
Skating Skills 0.80 4.75 4.50 4.25 4.50 4.75 4.75 4.75 4.25,4.50 4.50 - -,4.55
Linking Footwork / Movement 0.80 4.50 4.75 3.75 4.50 4.50 4.50 4.50 4.25,4.50 4.25 - -,4.45
Performance 0.60 5.00 4.50 4.00 5.00 4.50 4.75 4.75 4.00,4.25 4.00 - -,4.45
Choreography 0.60 4.75 4.50 4.00 5.00 4.50 4.50 4.75 4.25,4.50 4.25 - -,4.50
Interpretation / Timing 1.00 5.00 4.75 3.50 5.00 4.25 4.25 4.50 4.25,4.25 4.25 - -,4.40
Judges Total Program Component Score (factored),,16.97
Deductions:,,0.00
Printed: 04.11.2005 16:43:27,,
