5 Brandon MROZ USA,,124.02  67.52  57.50,,1.00,,
"# Executed Base GOE",,The Judges Panel,,Scores,,
Elements Value,,(in random order),of Panel,,,
1 4T  9.80 -4.80 -3 -3 -3 -3,,-3 -3 -3 -3 -3 - - -,,5.00,,
2 3A+2T  9.50 -0.84 0 0 -1 0,,-1 In-1fo -1 0 -1 - - -,,8.66,,Info
3 3F+2T+2Lo  8.30  0.20 1 0 0 0,,0 -1 0 -1 1 - - -,,8.50,,
4 FCCoSp4  3.50  0.00 0 0 0 0,,0 0 0 -1 1 - - -,,3.50,,
5 3Lo  5.00  0.00 0 0 0 0,,0 0 0 0 0 - - -,,5.00,,
6 3A< <  3.85 x -1.78 -2 -2 -3 -2,,-2 -3 -2 -2 -3 - - -,,2.07,,
7 3Lz+3T  11.00 x  0.00 0 0 0 0,,-1 -1 0 0 0 - - -,,11.00,,
8 3S  4.95 x  0.00 0 0 0 0,,-1 0 0 0 0 - - -,,4.95,,
9 CiSt3  3.30  0.00 0 0 0 0,,0 1 0 1 1 - - -,,3.30,,
10 CSSp3  2.60 -0.06 -1 0 0 0,,-1 -1 0 -1 1 - - -,,2.54,,
11 3Lz  6.60 x  0.00 0 0 0 0,,0 0 0 0 0 - - -,,6.60,,
12 FSSp4  3.00  0.00 0 0 0 0,,0 -1 -1 0 0 - - -,,3.00,,
13 SlSt3  3.30  0.10 0 0 1 0,,0 0 0 0 1 - - -,,3.40,,
74.70,,,,67.52,,
Program Components Factor,,,,,,
Skating Skills  2.00 5.75 6.00 5.50 6.00,,6.25 6.00 6.00 5.50 6.25 - - -,,6.00,,
Transition / Linking Footwork  2.00 5.00 5.25 5.00 5.75,,6.00 5.25 5.25 5.50 5.75 - - -,,5.40,,
Performance / Execution  2.00 5.75 5.75 5.25 5.75,,6.00 5.50 5.75 5.25 6.50 - - -,,5.80,,
Choreography / Composition  2.00 5.50 5.50 5.75 6.00,,6.25 5.75 5.50 6.00 6.25 - - -,,5.80,,
Interpretation  2.00 5.50 5.50 5.75 6.00,,6.00 5.75 5.50 5.75 6.50 - - -,,5.75,,
Judges Total Program Component Score (factored),,,,57.50,,
Deductions: Falls: -1.00,,,,-1.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,
"",,Total Total Total,Total,,,
NOC,,Segment Element Program  Component,Deductions,,,
Rank Name,,,,,,
Code,,Score Score Score (factored),,,,
"",,= + +,,-,,
6 Peter LIEBERS GER,,115.29  60.49  54.80,,0.00,,
"# Executed Base GOE",,The Judges Panel,,Scores,,
Elements Value,,(in random order),of Panel,,,
1 3Lz  6.00  1.00 2 1 1 1,,0 2 1 2 1 - - -,,7.00,,
2 3A  8.20  0.60 2 1 0 1,,0 2 1 1 0 - - -,,8.80,,
3 3A+2T  9.50 -2.80 -2 -2 -2 -2,,-2 -1 -2 -2 -2 - - -,,6.70,,
4 CSSp3  2.60  0.00 0 0 0 1,,0 0 0 -1 0 - - -,,2.60,,
5 3Lz+2T  7.30 -0.40 0 0 -1 0,,-1 1 -1 0 0 - - -,,6.90,,
6 3S+2T  5.80  0.00 0 0 0 0,,-1 0 0 0 0 - - -,,5.80,,
7 FSSp2  2.30 -0.06 0 0 -1 1,,-1 0 0 0 0 - - -,,2.24,,
8 CiSt2  2.30  0.00 0 0 0 0,,0 0 0 0 0 - - -,,2.30,,
9 3T  4.40 x  0.20 0 1 1 0,,0 1 0 1 0 - - -,,4.60,,
10 3Lo  5.50 x -2.00 -2 -2 -2 -2,,-3 -2 -2 -2 -2 - - -,,3.50,,
11 CCoSp3  3.00  0.00 0 0 0 0,,-1 0 1 0 0 - - -,,3.00,,
12 SlSt2  2.30  0.10 0 0 1 0,,0 0 0 0 1 - - -,,2.40,,
13 2A  3.85 x  0.80 0 1 2 1,,0 1 1 1 1 - - -,,4.65,,
63.05,,,,60.49,,
Program Components Factor,,,,,,
Skating Skills  2.00 6.00 6.25 4.75 5.75,,5.75 5.00 5.75 5.75 5.25 - - -,,5.70,,
Transition / Linking Footwork  2.00 4.75 5.75 5.25 5.25,,5.25 5.00 5.25 5.25 4.75 - - -,,5.15,,
Performance / Execution  2.00 5.50 6.00 4.75 5.50,,5.50 4.75 5.75 5.50 5.25 - - -,,5.50,,
Choreography / Composition  2.00 5.50 5.75 5.25 5.50,,5.75 5.00 5.75 5.50 5.00 - - -,,5.55,,
Interpretation  2.00 5.75 5.75 5.00 5.50,,5.50 5.25 5.75 6.00 5.00 - - -,,5.50,,
Judges Total Program Component Score (factored),,,,54.80,,
Deductions:,,,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,
ISU GP Trophee Eric Bompard,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,Total,Total,,,
NOC,,Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,,,
Code,,Score Score,Score (factored),,,,
"",,= +,+,,-,,
7 Gregor URBAS SLO,,112.86  62.66,50.20,,0.00,,
"# Executed Base GOE",,The Judges Panel,,,Scores,,
Elements Value,,(in random order),,of Panel,,,
1 3Lz+3T+2T  11.30  0.00 1 0 0 0,,-1 -1 0 -1 0,- - -,,11.30,,
2 3A  8.20 -2.80 -2 -1 -2 -2,,-2 In-1fo -2 -2 -3,- - -,,5.40,,Info
3 3Lz  6.00  0.00 0 0 0 0,,0 -1 0 -1 0,- - -,,6.00,,
4 FSSp3  2.60  0.00 0 0 0 0,,0 1 0 0 0,- - -,,2.60,,
5 3S+3T  8.50  0.20 0 1 0 1,,-1 0 0 -1 0,- - -,,8.70,,
6 CiSt1  1.80  0.00 0 0 0 0,,0 0 0 0 0,- - -,,1.80,,
7 2A  3.85 x -0.32 -1 -1 -1 0,,0 0 0 0 0,- - -,,3.53,,
8 3F  6.05 x -0.20 0 0 0 0,,0 -1 -1 0 -1,- - -,,5.85,,
9 CCoSp4  3.50  0.00 0 0 -1 0,,0 0 0 0 1,- - -,,3.50,,
10 SlSt2  2.30  0.00 0 0 0 0,,0 0 0 0 0,- - -,,2.30,,
11 3Lo  5.50 x -1.00 -1 -1 -1 -1,,-2 -1 -1 -1 -1,- - -,,4.50,,
12 2A+2T  5.28 x -0.64 -1 0 -1 0,,-1 -1 -1 -1 -1,- - -,,4.64,,
13 CSSp3  2.60 -0.06 0 0 -2 0,,-1 0 0 -2 0,- - -,,2.54,,
67.48,,,,,62.66,,
Program Components Factor,,,,,,,
Skating Skills  2.00 5.00 5.75 4.50 5.25,,5.50 5.00 5.75 5.00 4.75,- - -,,5.25,,
Transition / Linking Footwork  2.00 4.50 5.25 4.00 4.75,,4.75 4.75 4.75 4.25 4.50,- - -,,4.65,,
Performance / Execution  2.00 4.75 6.00 4.50 5.25,,5.50 4.50 5.50 4.50 4.75,- - -,,5.15,,
Choreography / Composition  2.00 4.75 5.50 4.75 5.00,,5.25 4.50 5.50 4.50 4.75,- - -,,5.05,,
Interpretation  2.00 4.75 5.25 4.00 5.25,,5.50 4.50 5.25 4.25 4.50,- - -,,5.00,,
Judges Total Program Component Score (factored),,,,,50.20,,
Deductions:,,,,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
"",,Total Total,Total,Total,,,
NOC,,Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,,,
Code,,Score Score,Score (factored),,,,
"",,= +,+,,-,,
8 Andrei LUTAI RUS,,106.77  53.77,54.00,,1.00,,
"# Executed Base GOE",,The Judges Panel,,,Scores,,
Elements Value,,(in random order),,of Panel,,,
1 3A  8.20 -4.20 -3 -3 -3 -3,,-3 -3 -3 -3 -3,- - -,,4.00,,
2 4T  9.80 -2.56 -1 -2 -2 -1,,-2 -1 -1 -2 -3,- - -,,7.24,,
3 1A+2T  2.10  0.00 0 0 -1 0,,0 0 0 0 0,- - -,,2.10,,
4 CiSt2  2.30  0.00 0 0 0 1,,0 0 0 0 0,- - -,,2.30,,
5 CCoSp4  3.50  0.04 1 0 -1 0,,-1 1 0 1 1,- - -,,3.54,,
6 3Lz  6.60 x -0.40 0 -1 0 0,,0 -1 -1 0 -1,- - -,,6.20,,
7 3F+2T  7.48 x  0.00 0 0 1 0,,0 1 0 0 0,- - -,,7.48,,
8 CSSp4  3.00  0.00 0 0 0 1,,0 0 0 0 0,- - -,,3.00,,
9 3Lo  5.50 x -1.40 -1 -1 -2 -1,,-2 -1 -1 -1 -3,- - -,,4.10,,
10 3S+1A+SEQ  4.66 x  0.00 0 0 -1 0,,0 0 0 0 0,- - -,,4.66,,
11 SlSt2  2.30  0.00 0 0 0 0,,0 -1 0 0 -1,- - -,,2.30,,
12 2A  3.85 x  0.00 0 0 0 0,,0 1 0 0 0,- - -,,3.85,,
13 FSSp4  3.00  0.00 0 0 0 0,,0 1 0 0 0,- - -,,3.00,,
62.29,,,,,53.77,,
Program Components Factor,,,,,,,
Skating Skills  2.00 5.75 6.00 4.75 5.75,,5.75 6.00 6.00 5.25 5.25,- - -,,5.70,,
Transition / Linking Footwork  2.00 5.50 5.50 4.00 5.25,,5.25 5.50 5.50 4.75 4.25,- - -,,5.15,,
Performance / Execution  2.00 6.00 5.25 4.25 5.50,,5.50 5.75 5.75 5.00 5.00,- - -,,5.40,,
Choreography / Composition  2.00 5.75 5.50 4.50 5.50,,5.75 5.50 5.50 4.75 4.75,- - -,,5.40,,
Interpretation  2.00 6.00 5.25 4.00 5.50,,5.50 5.50 5.50 4.75 5.00,- - -,,5.35,,
Judges Total Program Component Score (factored),,,,,54.00,,
Deductions: Falls: -1.00,,,,,-1.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
ISU GP Trophee Eric Bompard,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,Total,Total,,,
NOC,,Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,,,
Code,,Score Score,Score (factored),,,,
"",,= +,+,,-,,
9 Jialiang WU CHN,,106.62  58.02,49.60,,1.00,,
"# Executed Base GOE",,The Judges Panel,,,Scores,,
Elements Value,,(in random order),,of Panel,,,
1 3Lz+3T  10.00  0.80 0 1 1 1,,0 1 1 1 1,- - -,,10.80,,
2 3A  8.20 -4.20 -3 -3 -3 -3,,-3 In-3fo -3 -3 -3,- - -,,4.00,,Info
3 3S  4.50 -0.20 0 0 -1 0,,-1 -1 0 0 0,- - -,,4.30,,
4 CSSp4  3.00  0.00 0 0 -1 0,,0 0 0 -1 0,- - -,,3.00,,
5 3Lo  5.00  0.60 1 0 0 1,,0 1 1 1 1,- - -,,5.60,,
6 1A  0.88 x -0.04 0 0 -1 0,,-1 -1 0 -1 0,- - -,,0.84,,
7 2A+2T+2T  6.71 x  0.00 0 0 -1 0,,0 0 0 -1 0,- - -,,6.71,,
8 3F !  6.05 x -0.20 0 0 -1 0,,0 0 -1 0 0,- - -,,5.85,,
9 CiSt2  2.30  0.00 0 0 0 1,,0 0 0 0 0,- - -,,2.30,,
10 FSSp2  2.30 -0.12 -1 0 -1 0,,0 -1 0 -2 -1,- - -,,2.18,,
11 SlSt1  1.80 -0.06 0 0 -1 0,,0 0 0 0 -1,- - -,,1.74,,
12 3Lz  6.60 x  0.60 0 1 1 1,,0 0 0 1 1,- - -,,7.20,,
13 CCoSp4  3.50  0.00 -1 0 0 0,,0 -1 0 -1 0,- - -,,3.50,,
60.84,,,,,58.02,,
Program Components Factor,,,,,,,
Skating Skills  2.00 5.25 5.50 4.50 5.75,,5.50 5.25 5.50 5.25 5.25,- - -,,5.40,,
Transition / Linking Footwork  2.00 4.50 4.75 4.25 5.00,,5.25 4.50 4.75 4.50 4.00,- - -,,4.65,,
Performance / Execution  2.00 5.00 5.25 4.00 5.50,,5.50 5.00 5.00 4.75 4.75,- - -,,5.10,,
Choreography / Composition  2.00 4.50 5.00 4.75 5.25,,5.50 5.00 5.00 5.25 4.50,- - -,,4.90,,
Interpretation  2.00 4.75 5.00 4.00 5.25,,5.75 4.50 4.75 4.75 4.00,- - -,,4.75,,
Judges Total Program Component Score (factored),,,,,49.60,,
Deductions: Falls: -1.00,,,,,-1.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
"",,Total Total,Total,Total,,,
NOC,,Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,,,
Code,,Score Score,Score (factored),,,,
"",,= +,+,,-,,
10 Ryan BRADLEY USA,,106.27  49.27,59.00,,2.00,,
"# Executed Base GOE",,The Judges Panel,,,Scores,,
Elements Value,,(in random order),,of Panel,,,
1 3T  4.00  0.20 0 0 1 0,,0 1 0 1 1,- - -,,4.20,,
2 3A< <  3.50 -2.50 -3 -3 -3 -3,,-3 -3 -3 -3 -3,- - -,,1.00,,
3 FCSp3  2.80  0.50 1 1 1 1,,0 1 1 2 2,- - -,,3.30,,
4 3S  4.50  0.00 0 0 0 0,,0 1 0 0 0,- - -,,4.50,,
5 3A+SEQ  6.56 -4.20 -3 -3 -3 -3,,-3 -3 -3 -3 -3,- - -,,2.36,,
6 FSSp3  2.60  0.10 0 0 1 1,,0 1 0 -1 0,- - -,,2.70,,
7 SlSt1  1.80  0.30 0 0 1 1,,1 0 0 0 1,- - -,,2.10,,
8 3Lz+2T+2Lo  9.68 x  0.00 -1 0 0 0,,0 0 0 -1 0,- - -,,9.68,,
9 3Lo  5.50 x  0.00 0 0 0 0,,-1 0 0 0 0,- - -,,5.50,,
10 3Lz+2T  8.03 x  0.00 -1 0 0 0,,0 0 0 0 0,- - -,,8.03,,
11 3F*+2T* *  0.00  0.00 - - - -,,- - - - -,- - -,,0.00,,
12 CiSt2  2.30  0.10 0 0 0 1,,0 0 0 0 1,- - -,,2.40,,
13 CCoSp4  3.50  0.00 0 0 0 1,,0 1 0 0 0,- - -,,3.50,,
54.77,,,,,49.27,,
Program Components Factor,,,,,,,
Skating Skills  2.00 5.25 5.75 5.50 6.50,,6.50 6.25 6.00 5.50 5.75,- - -,,5.90,,
Transition / Linking Footwork  2.00 5.00 5.25 5.50 6.00,,6.25 5.75 5.75 5.50 5.00,- - -,,5.50,,
Performance / Execution  2.00 5.50 5.50 5.75 6.25,,6.00 6.50 6.25 5.50 5.75,- - -,,5.85,,
Choreography / Composition  2.00 5.25 5.50 6.00 6.50,,6.50 6.25 6.25 6.00 6.00,- - -,,6.05,,
Interpretation  2.00 5.50 5.50 6.25 6.75,,6.50 6.25 6.25 6.25 6.50,- - -,,6.20,,
Judges Total Program Component Score (factored),,,,,59.00,,
Deductions: Falls: -2.00,,,,,-2.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
ISU GP Trophee Eric Bompard,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total Total,Total,,,
NOC,,Segment Element Program  Component,Deductions,,,
Rank Name,,,,,,
Code,,Score Score Score (factored),,,,
"",,= + +,,-,,
11 Igor MACYPURA SVK,,103.62  54.82  49.80,,1.00,,
"# Executed Base GOE",,The Judges Panel,,Scores,,
Elements Value,,(in random order),of Panel,,,
1 3A+2T  9.50 -1.12 -1 -1 -1 0,,-1 0 0 0 -1 - - -,,8.38,,
2 1A  0.80 -0.12 0 -1 -2 0,,-1 In0fo 0 -1 -1 - - -,,0.68,,Info
3 3Lz  6.00  0.00 0 0 1 0,,0 0 0 0 0 - - -,,6.00,,
4 CiSt2  2.30  0.00 0 0 0 1,,0 1 0 0 0 - - -,,2.30,,
5 FSSp4  3.00  0.20 0 0 1 1,,0 1 0 2 1 - - -,,3.20,,
6 3Lo  5.50 x -1.80 -2 -1 -2 -1,,-2 -1 -2 -1 -2 - - -,,3.70,,
7 3S+2T  6.38 x  0.00 0 0 -1 0,,0 0 0 0 0 - - -,,6.38,,
8 3F  6.05 x  0.40 0 0 1 1,,0 0 1 1 0 - - -,,6.45,,
9 2A+2T  5.28 x  0.00 0 0 0 1,,0 0 0 0 0 - - -,,5.28,,
10 2A  3.85 x  0.00 0 0 0 0,,0 0 0 0 0 - - -,,3.85,,
11 SlSt3  3.30  0.00 0 0 0 0,,0 0 0 0 0 - - -,,3.30,,
12 CCoSp3  3.00  0.00 -1 0 0 1,,0 0 0 0 0 - - -,,3.00,,
13 CSSp2  2.30  0.00 0 0 0 0,,0 0 0 -1 1 - - -,,2.30,,
57.26,,,,54.82,,
Program Components Factor,,,,,,
Skating Skills  2.00 5.00 5.50 4.75 5.50,,5.25 5.00 5.50 5.50 5.00 - - -,,5.25,,
Transition / Linking Footwork  2.00 4.25 4.75 5.00 5.00,,5.00 4.25 5.00 5.00 4.25 - - -,,4.80,,
Performance / Execution  2.00 5.00 5.00 4.50 5.25,,5.25 5.00 5.25 5.25 4.75 - - -,,5.05,,
Choreography / Composition  2.00 4.75 5.00 4.75 5.25,,5.25 4.75 5.25 4.75 4.50 - - -,,5.00,,
