ISU Grand Prix of Figure Skating Final,,
ICE DANCING ORIGINAL DANCEJUDGES DETAILS PER SKATER,,
Interpretation / Timing 1.00 7.50 7.50 7.75 7.75 8.00 7.50 7.50 8.00,8.00 8.25 - -,7.85
Judges Total Program Component Score (factored),,29.08
Deductions:,,0.00
Total Total,Total,Total
Rank Name NOC Segment Element,Program  Component,Deductions
Code Score Score,Score (factored),
"= +",+,-
5 Oksana DOMNINA / Maxim SHABALIN RUS 51.66 26.10,26.56,1.00
"# Executed Base GOE The Judges Panel",,Scores
Elements Value (in random order),,of Panel
1 NtMiSt3+FSTw4 7.6 0.00 0 1 0 0 0 0 0 0,0 0 - -,7.60
2 SlLi4 4.0 0.50 1 1 0 1 1 1 1 1,0 1 - -,4.50
3 CoSp4 4.7 0.10 0 0 0 0 1 0 1 0,0 0 - -,4.80
4 DiSt2 4.8 0.00 1 0 0 0 0 1 1 0,0 0 - -,4.80
5 RoLi4 4.0 0.40 0 1 0 1 0 1 1 1,0 1 - -,4.40
25.1,,26.10
Program Components Factor,,
Skating Skills 0.80 7.00 7.25 6.75 6.75 6.75 7.00 6.75 7.00,7.25 7.00 - -,6.95
Linking Footwork / Movement 0.80 6.75 6.75 6.50 7.00 6.25 6.75 6.75 6.50,7.25 7.00 - -,6.80
Performance 0.60 6.75 7.00 7.00 7.25 6.50 7.00 7.00 6.75,7.50 7.25 - -,7.05
Choreography 0.60 6.75 7.00 6.75 7.25 6.25 7.00 7.25 6.75,7.50 7.00 - -,7.05
Interpretation / Timing 1.00 7.00 7.25 6.75 7.00 6.00 7.25 7.25 6.75,7.75 7.25 - -,7.10
Judges Total Program Component Score (factored),,26.56
Deductions: Extended lifts: -1.00,,-1.00
Total Total,Total,Total
Rank Name NOC Segment Element,Program  Component,Deductions
Code Score Score,Score (factored),
"= +",+,-
6 Isabelle DELOBEL / Olivier SCHOENFELDER FRA 48.13 22.50,27.63,2.00
"# Executed Base GOE The Judges Panel",,Scores
Elements Value (in random order),,of Panel
1 NtMiSt3+STw3 7.1 -0.80 -1 -2 -1 -1 2 1 -1 0,-1 -1 - -,6.30
2 CuLi4 4.0 0.40 1 1 1 1 2 2 1 1,0 0 - -,4.40
3 DiSt3 5.5 -2.40 -2 -3 -2 -2 -1 -2 -2 -2,-3 -3 - -,3.10
4 CoSp3 4.0 0.10 1 0 0 0 1 1 1 0,0 0 - -,4.10
5 RoLi4 4.0 0.60 1 1 1 2 1 2 2 1,1 1 - -,4.60
24.6,,22.50
Program Components Factor,,
Skating Skills 0.80 7.25 7.25 7.00 7.25 7.50 7.50 7.50 7.25,7.50 7.25 - -,7.35
Linking Footwork / Movement 0.80 7.50 6.75 7.50 7.50 7.00 7.75 7.25 7.25,7.25 7.25 - -,7.20
Performance 0.60 7.50 6.75 7.25 7.25 7.00 7.25 7.00 7.00,7.25 7.25 - -,7.10
Choreography 0.60 7.25 7.00 7.50 7.50 7.00 7.50 7.50 7.00,7.75 7.50 - -,7.30
Interpretation / Timing 1.00 7.50 7.00 7.50 7.50 7.25 7.25 7.25 7.25,7.75 7.50 - -,7.35
Judges Total Program Component Score (factored),,27.63
Deductions: Falls: -2.00,,-2.00
Printed: 16.12.2005 17:51:41,,
