ISU GP Skate America,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
Performance / Execution  1.60 7.00 7.75 7.00,6.75,6.75 7.25 8.00 7.25,6.75,7.00 - -,,6.95,
Choreography / Composition  1.60 7.25 8.00 6.75,6.75,7.00 7.25 7.25 7.00,6.50,7.25 - -,,7.10,
Interpretation  1.60 7.25 7.50 7.00,6.75,7.00 7.25 7.75 7.50,6.25,7.00 - -,,7.05,
Judges Total Program Component Score (factored),,,,,,55.68,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
ISU GP Skate America,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
3 Meagan DUHAMEL / Craig BUNTIN CAN,,105.54  54.50,,51.04,,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3T+3T+SEQ  6.40  0.00 0 1 0,0,0 0 0 0,0,1 - -,,6.40,
2 5ALi4  6.50  0.80 1 -1 0,1,1 0 Info 0 0,1,1 - -,,7.30,Info
3 3S  4.50 -1.40 -2 -1 0,-2,-1 -2 0 -2,-1,-1 - -,,3.10,
4 2LzTw2  3.50 -0.30 -1 -1 -1,-1,-1 -1 -1 -1,-1,-1 - -,,3.20,
5 FiDs4  3.50  0.56 1 1 1,0,1 0 1 1,1,1 - -,,4.06,
6 3LoTh  5.50 x -1.26 -2 -1 -2,-2,-1 -2 -2 -2,-1,-2 - -,,4.24,
7 5SLi3  6.05 x  0.10 0 -1 1,0,1 0 0 0,0,1 - -,,6.15,
8 3LzTh  6.05 x -1.40 -2 -2 -2,-2,-2 -2 -3 -2,-2,-2 - -,,4.65,
9 3Li4  4.40 x  0.20 1 -1 1,0,1 0 0 0,0,1 - -,,4.60,
10 FCCoSp4  3.50  0.00 0 -1 0,0,0 0 0 0,-1,0 - -,,3.50,
11 SlSt3  3.30  0.00 0 0 1,0,0 0 1 0,0,0 - -,,3.30,
12 PCoSp3  4.00  0.00 0 -1 0,0,-1 0 0 0,0,0 - -,,4.00,
57.20,,,,,,54.50,
Program Components Factor,,,,,,,
Skating Skills  1.60 6.50 5.50 6.75,6.50,6.50 6.75 6.50 6.25,6.50,6.50 - -,,6.50,
Transition / Linking Footwork  1.60 6.00 3.25 6.50,6.25,6.00 6.50 6.00 5.75,5.50,6.25 - -,,6.10,
Performance / Execution  1.60 6.25 5.00 6.50,6.25,6.50 6.75 6.75 6.00,6.25,6.50 - -,,6.45,
Choreography / Composition  1.60 6.50 5.50 6.75,6.50,6.25 6.50 6.25 6.00,5.75,6.75 - -,,6.40,
Interpretation  1.60 6.50 4.25 6.75,6.50,6.00 6.75 6.50 6.25,5.25,6.75 - -,,6.45,
Judges Total Program Component Score (factored),,,,,,51.04,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
4 Maria MUKHORTOVA / Maxim TRANKOV RUS,,101.35  46.91,,57.44,,3.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3LzTw1  5.00  0.14 -1 -1 1,0,0 1 0 -1,0,1 - -,,5.14,
2 2S  1.30 -1.00 -3 -3 -3,-3,-3 -3 -3 -3,-3,-2 - -,,0.30,
3 5ALi4  6.50  0.40 1 -2 1,0,1 0 -1 -1,0,1 - -,,6.90,
4 3LoTh  5.00 -2.00 -3 -3 -2,-3,-2 -3 -3 -3,-3,-3 - -,,3.00,
5 BoDs1  3.00  0.00 0 -2 0,0,1 0 -1 -1,-1,1 - -,,3.00,
6 3T+COMBO  4.00 -3.00 -3 -3 -3,-3,-3 -3 -3 -3,-3,-2 - -,,1.00,
7 3STh  4.95 x  0.00 0 -1 0,0,0 0 1 -1,-1,0 - -,,4.95,
8 5TLi4  6.60 x  0.30 1 -2 1,1,1 0 0 0,0,1 - -,,6.90,
9 FCCoSp2  2.50 -0.18 -1 -2 0,0,0 0 -1 -1,-1,-1 - -,,2.32,
10 SlSt3  3.30  0.30 1 -1 1,1,0 0 1 -1,0,1 - -,,3.60,
11 3Li4  4.40 x  0.50 1 0 1,1,1 1 1 0,1,1 - -,,4.90,
12 PCoSp4  4.50  0.40 1 -1 1,1,1 0 1 0,-1,1 - -,,4.90,
51.05,,,,,,46.91,
Program Components Factor,,,,,,,
Skating Skills  1.60 7.25 5.00 7.25,7.25,7.50 7.00 7.50 6.50,6.75,7.50 - -,,7.30,
Transition / Linking Footwork  1.60 7.00 4.25 7.00,7.25,7.00 6.75 7.25 5.75,6.50,7.25 - -,,7.05,
Performance / Execution  1.60 6.75 4.50 6.75,7.25,7.25 6.50 7.25 5.75,6.50,7.00 - -,,6.95,
Choreography / Composition  1.60 7.50 5.50 7.25,7.50,7.50 6.75 7.50 6.00,6.75,7.50 - -,,7.35,
Interpretation  1.60 7.25 4.75 7.25,7.25,7.25 7.00 7.75 6.25,6.25,7.50 - -,,7.25,
Judges Total Program Component Score (factored),,,,,,57.44,
Deductions: Falls: -3.00,,,,,,-3.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
ISU GP Skate America,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,Total,,Total,
NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,
Code,,Score Score,Score (factored),,,
"",,= +,+,,-,
5 Rena INOUE / John BALDWIN USA,,96.51  49.99,47.52,,1.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 3T< <  1.30 -0.84 -3 -3 -3,-3,-3 -2 -3 -3,-2 -2 - -,,0.46,
2 2LzTw2  3.50  0.30 1 1 0,0,1 0 Info 1 1,0 1 - -,,3.80,Info
3 2A+2T  4.80  0.00 0 1 0,0,1 0 0 0,0 0 - -,,4.80,
4 FCCoSp2  2.50  0.50 1 2 1,1,1 1 1 1,1 1 - -,,3.00,
5 3LoTh  5.00 -1.26 -2 -1 -2,-1,-2 -2 -1 -2,-2 -2 - -,,3.74,
6 BoDs2  3.50  0.28 0 0 -1,0,1 0 1 1,-1 1 - -,,3.78,
7 3ATh  8.25 x -3.00 -3 -3 -3,-3,-3 -3 -2 -3,-3 -3 - -,,5.25,
8 5SLi4  6.60 x  0.00 1 -1 1,0,0 0 1 0,-1 -1 - -,,6.60,
9 3Li4  4.40 x -0.10 0 0 0,-1,0 0 -1 -1,0 0 - -,,4.30,
10 PCoSp4  4.50  0.00 1 1 0,0,0 0 0 0,0 0 - -,,4.50,
11 SlSt3  3.30  0.00 0 0 0,0,0 0 0 0,1 0 - -,,3.30,
12 5ALi3  6.60 x -0.14 0 0 1,0,0 0 -1 -1,0 -1 - -,,6.46,
54.25,,,,,49.99,
Program Components Factor,,,,,,
Skating Skills  1.60 6.50 6.00 6.00,6.00,6.25 6.00 5.75 5.75,5.75 6.25 - -,,6.05,
Transition / Linking Footwork  1.60 5.75 5.00 5.75,5.75,5.75 5.50 5.75 5.50,4.25 6.00 - -,,5.70,
Performance / Execution  1.60 6.00 5.75 6.00,6.00,6.25 5.50 6.50 5.75,6.00 5.75 - -,,6.00,
Choreography / Composition  1.60 6.25 6.00 6.25,6.00,6.00 5.75 6.25 5.75,5.00 6.25 - -,,6.05,
Interpretation  1.60 6.25 5.25 6.00,6.00,5.75 5.75 6.00 6.00,4.50 6.00 - -,,5.90,
Judges Total Program Component Score (factored),,,,,47.52,
Deductions: Falls: -1.00,,,,,-1.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
"",,Total Total,Total,,Total,
NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,
Code,,Score Score,Score (factored),,,
"",,= +,+,,-,
6 Caitlin YANKOWSKAS / John COUGHLIN USA,,93.30  50.18,43.12,,0.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 4Li4  4.00  0.70 1 2 2,1,1 1 2 1,2 2 - -,,4.70,
2 3LzTw1  5.00 -0.56 0 -1 -1,-1,-1 -1 -1 -2,-1 0 - -,,4.44,
3 3T+2T  5.30  0.00 0 0 0,0,0 0 0 0,0 0 - -,,5.30,
4 2S  1.30 -0.54 -1 -2 -2,-1,-2 -2 -2 -2,-2 -2 - -,,0.76,
5 3STh  4.50  0.70 1 1 1,0,1 1 1 1,1 1 - -,,5.20,
6 5ALi4  7.15 x -0.28 -1 -1 0,-1,0 0 0 -1,0 -1 - -,,6.87,
7 3LoTh  5.50 x  0.00 0 0 -1,0,0 -1 0 0,0 0 - -,,5.50,
8 5TLi3  6.05 x  0.10 1 -1 0,0,0 0 0 0,-1 1 - -,,6.15,
9 FiDs3  3.20  0.56 1 0 0,0,1 0 1 -1,1 1 - -,,3.76,
10 FCCoSp2  2.50 -0.30 -1 -1 -1,-1,-1 -1 -1 -1,-1 -1 - -,,2.20,
11 SlSt2  2.30  0.00 0 -1 1,0,0 0 0 -1,-1 0 - -,,2.30,
12 PCoSp1  3.00  0.00 0 0 0,0,1 0 0 0,-1 0 - -,,3.00,
49.80,,,,,50.18,
Program Components Factor,,,,,,
Skating Skills  1.60 5.50 4.75 5.75,5.25,5.75 5.75 5.75 5.50,5.25 5.75 - -,,5.60,
Transition / Linking Footwork  1.60 5.00 5.00 5.00,5.00,5.00 5.25 5.50 5.00,4.00 5.50 - -,,5.15,
Performance / Execution  1.60 5.25 5.25 5.50,5.25,5.50 5.50 6.50 5.25,5.25 5.50 - -,,5.40,
Choreography / Composition  1.60 5.25 5.75 5.00,5.25,5.25 5.25 6.00 5.25,4.25 5.75 - -,,5.35,
Interpretation  1.60 5.00 4.50 5.75,5.25,5.50 5.50 6.25 5.25,4.00 6.00 - -,,5.45,
Judges Total Program Component Score (factored),,,,,43.12,
Deductions:,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
ISU GP Skate America,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
7 Adeline CANAC / Maximin COIA FRA,,90.36  51.08,,39.28,,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 2LzTw2  3.50  0.10 0 1 0,0,1 0 0 1,1,0 - -,,3.60,
2 3S  4.50 -1.00 -1 -1 -1,-1,-1 -1Info -1 -2,-1,-1 - -,,3.50,Info
3 5ALi4  6.50  0.00 0 0 1,0,0 0 1 0,0,0 - -,,6.50,
4 3LoTh  5.00 -1.40 -2 -2 -2,-2,-2 -2 -3 -2,-2,-2 - -,,3.60,
5 FiDs4  3.50  0.14 0 -1 0,0,0 -1 0 1,1,1 - -,,3.64,
6 2A+2T  4.80 -0.16 0 0 0,0,0 0 -1 -1,-1,0 - -,,4.64,
7 5TLi3  6.05 x -0.20 0 -2 0,-1,-1 0 0 0,-1,0 - -,,5.85,
8 3STh  4.95 x -0.70 -1 -1 -1,-1,-1 -1 -1 -2,0,-1 - -,,4.25,
9 PCoSp4  4.50  0.00 -1 0 0,0,0 0 0 0,0,0 - -,,4.50,
10 SlSt3  3.30  0.00 0 -1 0,0,0 0 1 0,-1,0 - -,,3.30,
11 3Li4  4.40 x  0.10 1 0 1,0,0 0 0 1,-1,1 - -,,4.50,
12 FCCoSp4  3.50 -0.30 -2 -2 -1,0,-1 -1 -1 -1,-1,-1 - -,,3.20,
54.50,,,,,,51.08,
Program Components Factor,,,,,,,
Skating Skills  1.60 5.25 4.00 5.00,4.75,4.75 5.25 5.00 5.25,4.75,5.25 - -,,5.00,
Transition / Linking Footwork  1.60 4.75 4.25 4.75,4.75,4.25 4.50 4.75 4.75,3.75,5.00 - -,,4.60,
Performance / Execution  1.60 5.00 3.75 5.00,5.00,4.50 5.00 5.75 5.00,5.00,5.00 - -,,5.00,
Choreography / Composition  1.60 5.25 4.00 5.00,5.00,4.50 4.75 5.50 5.25,4.25,5.25 - -,,4.95,
Interpretation  1.60 5.00 3.50 4.75,5.00,4.75 5.00 5.75 5.00,3.75,5.25 - -,,5.00,
Judges Total Program Component Score (factored),,,,,,39.28,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
8 Yue ZHANG / Lei WANG CHN,,80.03  41.63,,38.40,,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3T+2T  5.30 -0.20 1 -1 0,0,0 -1 0 0,-1,0 - -,,5.10,
2 3LoTh  5.00 -0.28 0 -1 0,-1,0 0 -1 0,-1,0 - -,,4.72,
3 2LzTw1  3.00  0.10 1 0 1,0,0 -1 0 0,0,1 - -,,3.10,
4 5TLi  0.00  0.00 - - -,-,- - - -,-,- - -,,0.00,
5 2A  3.50 -0.96 -1 -1 -1,-1,-1 -2 -1 -1,-1,-2 - -,,2.54,
6 FCCoSp2  2.50  0.00 0 -1 0,0,0 0 -1 1,0,0 - -,,2.50,
7 SlSt3  3.30  0.00 0 1 0,0,0 0 0 1,0,0 - -,,3.30,
8 BiDs3  3.20  0.14 0 1 0,0,0 0 1 0,0,1 - -,,3.34,
9 5ALi2  6.05 x -0.42 0 -2 -1,0,-1 0 -1 -2,-2,-1 - -,,5.63,
10 3STh  4.95 x -1.40 -2 -2 -2,-2,-2 -2 -3 -2,-2,-2 - -,,3.55,
11 3Li3  3.85 x  0.00 1 0 0,0,0 0 0 0,0,-1 - -,,3.85,
12 PCoSp3  4.00  0.00 0 -1 0,0,0 0 0 -2,-1,0 - -,,4.00,
44.65,,,,,,41.63,
Program Components Factor,,,,,,,
Skating Skills  1.60 5.75 4.75 5.25,5.00,4.50 5.25 4.75 5.25,5.00,5.25 - -,,5.05,
Transition / Linking Footwork  1.60 5.00 5.25 4.75,4.75,4.25 4.50 5.00 5.00,3.75,4.75 - -,,4.65,
Performance / Execution  1.60 5.25 3.50 5.00,5.00,4.25 4.50 5.00 4.75,4.25,4.50 - -,,4.65,
Choreography / Composition  1.60 5.50 5.25 4.75,5.00,4.75 4.75 5.25 5.00,4.00,4.75 - -,,4.90,
Interpretation  1.60 5.50 4.75 4.75,5.00,4.00 4.75 5.25 4.75,3.25,4.75 - -,,4.75,
Judges Total Program Component Score (factored),,,,,,38.40,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
Printed: 25.10.2008 17:14:19,,,,,,,
