NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,
Code,,Score Score,Score (factored),,,
"",,= +,+,,-,
5 Susanna POYKIO FIN,,94.32  48.24,46.08,,0.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 3F  5.50 -1.00 -1 -1 -1,-1,-1 -1 -1 1,-1 -1 - -,,4.50,
2 3Lz+2T  7.30  0.00 0 0 0,0,0 0 Info 0 0,0 0 - -,,7.30,Info
3 USp2  1.50  0.50 1 1 1,1,1 1 1 0,1 1 - -,,2.00,
4 3Lo  5.00 -0.80 -1 0 -1,-1,0 -1 0 1,0 -1 - -,,4.20,
5 3T+2T  5.30 -1.20 -1 -1 -1,-2,0 -1 -2 0,-1 -2 - -,,4.10,
6 FSSp3  2.60  0.20 0 0 1,1,0 0 0 1,0 1 - -,,2.80,
7 2A  3.85 x  0.00 0 0 0,0,0 1 0 1,0 0 - -,,3.85,
8 SpSq4  3.40  0.00 0 0 0,0,1 0 0 0,0 0 - -,,3.40,
9 3S+1T  5.39 x -0.60 -1 -1 -1,-1,0 -1 -1 0,0 0 - -,,4.79,
10 3T  4.40 x  0.00 0 1 0,0,1 -1 0 0,0 0 - -,,4.40,
11 SlSt3  3.30  0.30 1 0 0,0,0 1 0 1,1 1 - -,,3.60,
12 CCoSp3  3.00  0.30 1 1 0,0,1 1 0 2,0 1 - -,,3.30,
50.54,,,,,48.24,
Program Components Factor,,,,,,
Skating Skills  1.60 6.75 5.75 6.25,6.00,6.00 6.50 6.25 6.25,6.00 6.00 - -,,6.15,
Transition / Linking Footwork  1.60 6.50 5.50 5.50,5.25,5.25 5.75 5.75 5.75,5.00 5.50 - -,,5.45,
Performance / Execution  1.60 6.75 5.75 5.75,6.00,5.50 6.00 6.00 6.00,5.50 6.00 - -,,5.85,
Choreography / Composition  1.60 7.00 5.50 5.25,5.75,5.50 6.00 6.00 6.75,5.25 5.75 - -,,5.65,
Interpretation  1.60 6.50 5.50 5.00,5.75,5.75 6.00 6.25 6.50,5.00 6.00 - -,,5.70,
Judges Total Program Component Score (factored),,,,,46.08,
Deductions:,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
"",,Total Total,Total,,Total,
NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,
Code,,Score Score,Score (factored),,,
"",,= +,+,,-,
6 Mira LEUNG CAN,,90.42  48.90,41.52,,0.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 3Lz+2Lo  7.50 -0.20 0 0 -1,-1,0 0 0 1,0 0 - -,,7.30,
2 3F  5.50  0.00 0 0 0,0,0 0 0 0,0 0 - -,,5.50,
3 2A  3.50 -0.80 -1 -1 -1,-1,-1 -1 -1 -1,-1 -1 - -,,2.70,
4 CCoSp4  3.50  0.30 0 1 0,1,1 0 0 0,1 1 - -,,3.80,
5 SpSq4  3.40  0.80 1 1 0,1,0 1 0 0,1 1 - -,,4.20,
6 3S< <  1.43 x -0.30 -1 -1 -1,-1,-1 -1 0 -1,-1 -2 - -,,1.13,
7 2A<+2T <  2.31 x -0.54 -2 -1 -1,-2,-2 -1 -1 -2,-2 -2 - -,,1.77,
8 3F+2Lo  7.70 x -0.40 -1 0 -1,-1,0 0 -1 -1,0 0 - -,,7.30,
9 3Lz  6.60 x  0.00 0 0 0,-1,0 0 0 0,0 0 - -,,6.60,
10 FCSp4  3.20  0.20 0 0 -1,1,1 0 0 0,0 1 - -,,3.40,
11 SlSt2  2.30  0.00 0 0 -1,0,0 1 0 1,0 0 - -,,2.30,
12 LSp3  2.40  0.50 1 0 0,1,1 1 1 1,1 1 - -,,2.90,
49.34,,,,,48.90,
Program Components Factor,,,,,,
Skating Skills  1.60 5.00 5.50 4.50,5.00,5.75 5.50 5.50 5.75,5.75 5.75 - -,,5.40,
Transition / Linking Footwork  1.60 4.75 5.25 4.00,4.75,5.25 5.25 5.00 5.00,6.00 5.50 - -,,5.10,
Performance / Execution  1.60 4.50 5.75 4.75,4.75,5.50 5.50 5.25 5.75,5.50 5.50 - -,,5.20,
Choreography / Composition  1.60 4.75 5.50 4.50,5.25,5.50 5.25 5.25 6.00,6.00 5.75 - -,,5.30,
Interpretation  1.60 4.25 5.25 3.75,5.00,5.25 5.00 5.25 5.50,5.25 5.75 - -,,4.95,
Judges Total Program Component Score (factored),,,,,41.52,
Deductions:,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
ISU GP Skate America,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
7 Mirai NAGASU USA,,86.48  36.96,,51.52,,2.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3Lz+2T  7.30  0.00 0 1 0,0,0 -1 1 0,0,0 - -,,7.30,
2 3F< <  1.70 -0.42 -1 -1 -3,-1,-1 -1Info -1 -1,-2,-2 - -,,1.28,Info
3 2A  3.50  1.00 1 1 1,1,1 1 1 0,0,1 - -,,4.50,
4 LSp4  2.70  1.00 2 2 3,2,2 2 2 2,2,2 - -,,3.70,
5 FSSp4  3.00  0.30 1 0 0,0,1 1 1 1,1,0 - -,,3.30,
6 SpSq4  3.40  1.40 1 1 2,1,2 2 1 2,1,1 - -,,4.80,
7 3F<+2T <  3.30 x -0.62 -3 -2 -2,-2,-1 -1 -2 -2,-2,-3 - -,,2.68,
8 3Lz< <  2.09 x -0.54 -3 -1 -2,-2,-1 -1 -1 -1,-2,-2 - -,,1.55,
9 3Lo<+2Lo< <  2.20 x -0.60 -2 -1 -2,-2,-2 -2 -3 -1,-2,-3 - -,,1.60,
10 3S< <  1.43 x -1.00 -3 -3 -3,-3,-3 -3 -3 -2,-3,-3 - -,,0.43,
11 SlSt2  2.30 -0.68 -2 -3 -2,-2,-1 -3 -2 -2,-2,-3 - -,,1.62,
12 CCoSp4  3.50  0.70 1 1 1,1,2 2 1 1,1,2 - -,,4.20,
36.42,,,,,,36.96,
Program Components Factor,,,,,,,
Skating Skills  1.60 7.25 6.50 7.00,6.50,6.50 6.75 7.25 7.25,7.00,6.75 - -,,6.80,
Transition / Linking Footwork  1.60 6.50 6.00 5.25,6.00,6.25 5.75 6.75 7.00,6.00,6.00 - -,,6.00,
Performance / Execution  1.60 7.00 6.00 6.50,6.00,6.25 6.50 6.75 7.50,6.25,6.50 - -,,6.40,
Choreography / Composition  1.60 7.00 6.50 6.00,6.25,6.50 6.75 7.25 7.50,6.50,6.75 - -,,6.55,
Interpretation  1.60 6.75 6.25 6.25,6.25,6.25 7.00 7.00 7.00,6.00,6.75 - -,,6.45,
Judges Total Program Component Score (factored),,,,,,51.52,
Deductions: Falls: -2.00,,,,,,-2.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
8 Yan LIU CHN,,81.16  40.92,,40.24,,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3Lz  6.00 -1.00 -1 -1 -1,-1,-1 0 -1 -1,-1,-1 - -,,5.00,
2 3F  5.50 -0.40 0 0 -1,0,-1 0 0 0,0,-1 - -,,5.10,
3 2Lo+1T  1.90 -0.18 -1 0 -1,-1,0 0 0 0,0,-1 - -,,1.72,
4 LSp2  1.90  0.50 1 1 1,1,1 1 0 0,1,0 - -,,2.40,
5 SpSq2  2.30  0.20 1 1 1,0,0 0 1 0,0,1 - -,,2.50,
6 3S+1T  5.39 x  0.00 0 0 0,0,0 0 0 0,0,0 - -,,5.39,
7 2A+2T  5.28 x  0.60 0 1 1,0,1 1 1 0,1,0 - -,,5.88,
8 3T  4.40 x -0.40 -1 0 -1,-1,0 0 0 0,0,0 - -,,4.00,
9 FCSp1  1.90  0.00 0 0 0,0,-1 0 0 1,0,1 - -,,1.90,
10 SlSt2  2.30  0.00 0 0 0,0,0 0 0 1,0,0 - -,,2.30,
11 2S  1.43 x  0.00 0 0 0,0,0 0 0 1,1,0 - -,,1.43,
12 CCoSp3  3.00  0.30 1 1 0,1,0 1 0 0,0,1 - -,,3.30,
41.30,,,,,,40.92,
Program Components Factor,,,,,,,
Skating Skills  1.60 5.25 5.75 5.25,5.75,5.25 5.50 5.75 5.25,5.25,5.50 - -,,5.35,
Transition / Linking Footwork  1.60 5.00 5.25 3.75,5.00,4.50 4.50 5.50 5.00,4.75,5.00 - -,,4.75,
Performance / Execution  1.60 5.25 5.25 5.25,5.75,5.00 5.50 5.75 5.25,4.75,5.25 - -,,5.25,
Choreography / Composition  1.60 5.50 5.75 4.50,5.25,4.75 5.00 5.50 5.50,5.00,5.00 - -,,5.00,
Interpretation  1.60 5.00 5.50 4.25,5.00,4.50 5.00 5.75 5.00,4.50,5.25 - -,,4.80,
Judges Total Program Component Score (factored),,,,,,40.24,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
ISU GP Skate America,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,Total,,Total,
NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,
Code,,Score Score,Score (factored),,,
"",,= +,+,,-,
9 Kimmie MEISSNER USA,,81.02  33.74,49.28,,2.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 3Lz< <  1.90 -1.00 -3 -3 -3,-3,-3 -3 -3 -2,-3 -3 - -,,0.90,
2 2A  3.50 -2.14 -2 -3 -3,-2,-3 -3Info -2 -2,-3 -2 - -,,1.36,Info
3 3F !  5.50 -1.00 -1 0 -2,0,-1 -1 -1 0,-1 -1 - -,,4.50,
4 FCoSp3  2.50  0.00 0 1 -1,0,0 0 1 1,0 0 - -,,2.50,
5 3S  4.50  0.00 0 0 0,0,1 0 0 1,0 0 - -,,4.50,
6 SpSq2  2.30  0.10 1 0 0,0,1 0 0 1,0 0 - -,,2.40,
7 3Lz+SEQ  5.28 x  0.00 0 0 -1,0,0 0 1 1,0 0 - -,,5.28,
8 1Lo  0.55 x  0.00 0 0 0,-1,0 0 -1 0,0 0 - -,,0.55,
9 FSSp4  3.00  0.00 0 0 0,0,0 0 0 1,1 -1 - -,,3.00,
10 2A  3.85 x -0.80 -1 -1 -1,-1,-1 -1 -1 0,-1 -1 - -,,3.05,
11 SlSt2  2.30  0.10 0 1 1,0,0 0 0 1,1 0 - -,,2.40,
12 CCoSp3  3.00  0.30 0 0 1,1,1 1 1 2,0 0 - -,,3.30,
38.18,,,,,33.74,
Program Components Factor,,,,,,
Skating Skills  1.60 6.50 6.00 6.25,6.25,6.25 6.00 7.00 7.00,7.00 6.50 - -,,6.35,
Transition / Linking Footwork  1.60 6.00 5.75 5.00,5.75,6.00 5.75 6.50 7.25,6.25 6.25 - -,,5.95,
Performance / Execution  1.60 6.25 5.25 5.75,6.25,5.75 6.00 6.75 7.00,6.00 6.25 - -,,6.05,
Choreography / Composition  1.60 6.50 6.00 5.50,6.25,6.00 6.50 6.75 7.25,7.00 6.50 - -,,6.35,
Interpretation  1.60 5.75 6.00 5.25,6.00,5.75 6.50 6.50 7.00,6.75 6.50 - -,,6.10,
Judges Total Program Component Score (factored),,,,,49.28,
Deductions: Falls: -2.00,,,,,-2.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
"",,Total Total,Total,,Total,
NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,
Code,,Score Score,Score (factored),,,
"",,= +,+,,-,
10 Tugba KARADEMIR TUR,,72.65  32.61,41.04,,1.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 3S+2T  5.80 -1.60 -2 -1 -2,-1,-1 -1 -1 0,-2 -2 - -,,4.20,
2 3T< <  1.30 -0.48 -2 -1 -2,-1,-2 -1 -2 -2,-1 -2 - -,,0.82,
3 3F< !  1.70 -1.00 -3 -3 -3,-3,-3 -3 -3 -2,-3 -3 - -,,0.70,
4 FCSp4  3.20  0.50 0 1 1,1,1 1 1 1,1 1 - -,,3.70,
5 SlSt3  3.30  0.30 1 1 0,0,1 1 1 1,1 0 - -,,3.60,
6 SpSq4  3.40  1.00 1 1 2,1,1 1 1 2,1 1 - -,,4.40,
7 2A  3.85 x -0.16 0 0 -1,0,0 -1 0 1,0 0 - -,,3.69,
8 3T<+SEQ <  1.14 x -0.36 -1 -1 -2,-1,-1 -1 -1 -1,-1 -2 - -,,0.78,
9 2A+2T< <  4.29 x -1.12 -2 -1 -1,-1,-2 -1 -1 -2,-1 -2 - -,,3.17,
10 CCoSp4  3.50  0.00 0 0 0,0,0 0 0 0,-1 0 - -,,3.50,
11 2S  1.43 x -0.48 -2 -1 -2,-1,-1 -2 -2 0,-1 -2 - -,,0.95,
12 FCCoSp3  3.00  0.10 0 0 0,0,0 1 1 1,0 1 - -,,3.10,
35.91,,,,,32.61,
Program Components Factor,,,,,,
Skating Skills  1.60 5.25 5.25 4.75,5.25,5.00 5.00 5.50 5.50,5.75 5.25 - -,,5.15,
Transition / Linking Footwork  1.60 5.00 5.00 4.25,4.50,4.75 4.50 5.25 5.00,5.50 4.75 - -,,4.70,
Performance / Execution  1.60 5.75 5.00 5.25,5.00,5.00 5.00 5.50 5.25,6.00 5.25 - -,,5.25,
Choreography / Composition  1.60 5.50 5.50 5.00,5.25,5.25 5.00 5.50 5.50,5.50 5.25 - -,,5.25,
Interpretation  1.60 5.25 5.25 5.25,5.25,5.00 5.50 5.75 5.25,6.25 5.25 - -,,5.30,
Judges Total Program Component Score (factored),,,,,41.04,
Deductions: Falls: -1.00,,,,,-1.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
ISU GP Skate America,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,Total,Total,
NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,
Code,,Score Score,Score (factored),,,
"",,= +,,+,-,
11 Annette DYTRT GER,,68.51  28.75,43.76,,4.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 3F< <  1.70 -1.00 -3 -3 -3,-3,-3 -3 -3 -2,-3 -3 -,-,0.70,
2 3T< <  1.30 -1.00 -3 -3 -3,-3,-3 -3 -3 -3,-3 -3 -,-,0.30,Info
3 3Lo< <  1.50 -1.00 -3 -3 -3,-3,-3 -3 -3 -2,-3 -3 -,-,0.50,
4 3S+2T  5.80  0.00 0 0 0,0,0 0 0 1,0 0 -,-,5.80,
5 CCoSp3  3.00  0.40 1 1 1,0,0 1 1 1,1 1 -,-,3.40,
6 2A+2T  5.28 x  0.60 1 0 1,1,0 0 0 0,1 0 -,-,5.88,
7 SpSq4  3.40  1.00 1 0 1,1,1 1 1 2,1 1 -,-,4.40,
8 3S< <  1.43 x -1.00 -3 -3 -3,-3,-3 -3 -3 -3,-3 -3 -,-,0.43,
9 FSSp2  2.30 -0.24 -2 0 -1,-1,-1 -1 -2 0,0 0 -,-,2.06,
10 CiSt1  1.80  0.30 0 0 1,1,0 1 0 0,1 0 -,-,2.10,
11 1A  0.88 x  0.00 0 0 0,0,0 0 0 1,0 0 -,-,0.88,
12 LSp2  1.90  0.40 1 0 1,0,1 1 1 1,0 1 -,-,2.30,
30.29,,,,,28.75,
Program Components Factor,,,,,,
Skating Skills  1.60 6.25 5.25 5.75,5.50,5.25 4.75 6.50 7.25,6.50 5.75 -,-,5.70,
Transition / Linking Footwork  1.60 5.25 5.00 5.00,5.00,4.75 4.75 5.75 6.75,6.00 5.25 -,-,5.05,
Performance / Execution  1.60 5.75 4.75 5.50,5.50,4.50 4.75 5.50 6.50,5.00 5.00 -,-,5.15,
Choreography / Composition  1.60 6.00 5.50 6.00,5.25,4.75 5.50 6.00 6.50,6.00 6.00 -,-,5.75,
Interpretation  1.60 5.75 5.50 5.75,5.25,5.00 5.75 6.25 7.00,6.25 6.00 -,-,5.70,
Judges Total Program Component Score (factored),,,,,43.76,
Deductions: Falls: -4.00,,,,,-4.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
Printed: 26.10.2008 14:54:26,,,,,,
