ISU GP Skate America,,,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
3 Yukari NAKANO,JPN,57.46  29.30,,,28.16,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3F+2T  6.80  0.00,-1 0 0 0,0 0 0 0,,0,0 - -,6.80,
2 2Lz  1.90 -1.00,-3 -3 -3 -3,-3 -3 -3 In-f3o,,-3,-3 - -,0.90,Info
3 LSp1  1.50  0.50,1 1 1 1,1 1 1 1,,1,1 - -,2.00,
4 SpSq4  3.40  1.00,1 1 1 1,1 0 1 1,,1,1 - -,4.40,
5 2A  3.50  1.00,1 1 0 0,0 1 0 1,,1,1 - -,4.50,
6 CCoSp3  3.00  0.60,2 1 0 1,1 2 2 1,,1,1 - -,3.60,
7 CiSt3  3.30  0.20,1 0 0 0,0 1 0 2,,0,0 - -,3.50,
8 FCSp3  2.80  0.80,2 2 1 2,1 1 2 2,,2,1 - -,3.60,
26.20,,,,,,29.30,
Program Components Factor,,,,,,,
Skating Skills  0.80,7.25 7.25 6.25 6.75,6.75 7.50 7.00 7.50,,6.75,7.25 - -,7.20,
Transition / Linking Footwork  0.80,6.75 6.75 6.00 6.25,6.25 7.00 6.50 7.25,,7.00,6.50 - -,6.80,
Performance / Execution  0.80,7.25 7.00 6.50 7.00,6.50 7.50 6.75 7.50,,7.25,6.75 - -,7.15,
Choreography / Composition  0.80,7.00 7.00 5.75 6.75,6.75 7.00 6.75 7.50,,6.75,6.75 - -,6.90,
Interpretation  0.80,7.25 7.25 5.75 7.00,6.50 7.50 6.50 7.75,,7.00,6.75 - -,7.15,
Judges Total Program Component Score (factored),,,,,,28.16,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,,
"",,Total Total,,,Total,Total,
"",NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,Score Score,,,Score (factored),,
"",,= +,,,+,-,
4 Mirai NAGASU,USA,56.42  30.50,,,25.92,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3Lz  6.00 -2.60,-3 -3 -2 -2,-3 -1 0 -3,,-2,-3 - -,3.40,
2 3F+2T  6.80  0.00,-2 0 0 0,0 0 0 0,,0,0 - -,6.80,
3 FSSp3  2.60  0.00,-1 0 0 0,0 0 0 0,,0,0 - -,2.60,
4 2A  3.50  0.40,-1 1 0 1,0 0 0 0,,1,1 - -,3.90,
5 SpSq3  3.10  0.40,1 -1 1 1,1 2 1 0,,1,1 - -,3.50,
6 LSp4  2.70  1.00,2 2 2 2,2 2 2 2,,2,2 - -,3.70,
7 CiSt2  2.30  0.10,1 0 0 0,0 1 1 0,,0,0 - -,2.40,
8 CCoSp4  3.50  0.70,2 1 1 2,1 1 2 1,,2,2 - -,4.20,
30.50,,,,,,30.50,
Program Components Factor,,,,,,,
Skating Skills  0.80,7.25 6.50 5.75 6.25,6.50 7.25 7.25 6.50,,6.50,7.50 - -,6.80,
Transition / Linking Footwork  0.80,5.50 6.00 5.00 5.75,6.00 6.75 7.00 6.25,,6.00,6.50 - -,6.05,
Performance / Execution  0.80,6.50 6.50 5.75 6.75,6.00 7.00 7.00 6.75,,5.75,6.75 - -,6.45,
Choreography / Composition  0.80,6.75 6.25 5.50 6.25,6.50 7.00 7.25 6.50,,6.75,7.00 - -,6.65,
Interpretation  0.80,6.50 6.50 5.25 6.25,6.25 6.75 7.00 6.75,,6.00,6.50 - -,6.45,
Judges Total Program Component Score (factored),,,,,,25.92,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,,
ISU GP Skate America,,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,Total,Total,
"",NOC,Segment Element,,Program  Component,Deductions,
Rank Name,,,,,,
"",Code,Score Score,,Score (factored),,
"",,= +,,+,-,
5 Rachael FLATT,USA,54.92  30.00,,24.92,0.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 3F+3Lo< <  7.00 -1.60,-2 -1 -2 -1,-2 -2 -2 -2,,-1 -1 - -,5.40,
2 3Lz !  6.00 -1.00,-2 -1 -1 1,-1 -1 1 In-f1o,,-1 0 - -,5.00,Info
3 CCoSp4  3.50  0.00,0 1 0 0,1 0 1 0,,0 0 - -,3.50,
4 SlSt3  3.30  0.50,1 1 1 0,1 1 1 1,,1 1 - -,3.80,
5 LSp2  1.90  0.20,1 0 0 0,0 0 1 1,,1 0 - -,2.10,
6 2A  3.50  0.00,0 0 0 0,0 1 0 0,,0 0 - -,3.50,
7 SpSq3  3.10  0.30,1 1 0 1,1 1 1 1,,0 0 - -,3.40,
8 FCSp4  3.20  0.10,0 0 0 0,0 1 1 1,,0 0 - -,3.30,
31.50,,,,,30.00,
Program Components Factor,,,,,,
Skating Skills  0.80,6.25 6.00 5.00 6.00,5.75 7.00 6.50 6.00,,6.75 7.00 - -,6.40,
Transition / Linking Footwork  0.80,5.50 5.75 4.75 5.50,5.50 6.00 6.25 5.75,,6.25 6.75 - -,5.85,
Performance / Execution  0.80,6.25 6.00 5.25 6.25,5.50 6.75 6.75 6.25,,6.50 6.50 - -,6.30,
Choreography / Composition  0.80,6.25 5.75 4.75 6.25,5.75 6.75 6.50 6.00,,6.25 6.75 - -,6.20,
Interpretation  0.80,7.00 6.25 5.00 6.50,5.50 6.50 6.50 6.50,,6.00 6.75 - -,6.40,
Judges Total Program Component Score (factored),,,,,24.92,
Deductions:,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,
"",,Total Total,,Total,Total,
"",NOC,Segment Element,,Program  Component,Deductions,
Rank Name,,,,,,
"",Code,Score Score,,Score (factored),,
"",,= +,,+,-,
6 Kimmie MEISSNER,USA,54.90  28.46,,27.44,1.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 3Lz+2T  7.30  0.00,0 0 0 0,0 0 1 0,,0 0 - -,7.30,
2 3F !  5.50 -3.00,-3 -3 -3 -3,-3 -3 -3 -3,,-3 -3 - -,2.50,
3 FSSp3  2.60  0.30,0 1 1 1,1 0 1 1,,0 1 - -,2.90,
4 LSp1  1.50  0.40,1 1 1 0,0 0 0 0,,1 1 - -,1.90,
5 2A  3.50  0.60,0 1 1 1,1 0 0 1,,1 0 - -,4.10,
6 CCoSp3  3.00  0.00,1 0 -1 0,0 0 1 0,,0 0 - -,3.00,
7 SpSq3  3.10 -0.04,-1 0 -2 0,0 0 -1 1,,1 0 - -,3.06,
8 SlSt3  3.30  0.40,1 1 0 1,1 0 0 1,,1 1 - -,3.70,
29.80,,,,,28.46,
Program Components Factor,,,,,,
Skating Skills  0.80,7.00 7.00 5.50 6.50,6.50 7.00 7.25 7.00,,7.00 7.25 - -,7.00,
Transition / Linking Footwork  0.80,6.25 6.75 5.25 6.00,6.25 6.00 6.75 6.75,,6.25 7.00 - -,6.40,
Performance / Execution  0.80,7.00 6.75 6.25 6.50,6.25 7.00 6.75 7.25,,7.00 7.25 - -,7.00,
Choreography / Composition  0.80,7.25 7.00 6.00 6.75,6.50 6.50 6.50 7.00,,6.75 7.25 - -,6.90,
Interpretation  0.80,7.00 6.75 5.75 6.50,6.75 7.00 6.50 7.25,,7.00 7.25 - -,7.00,
Judges Total Program Component Score (factored),,,,,27.44,
Deductions: Falls:,-1.00,,,,-1.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,
ISU GP Skate America,,,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
"",NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,Score Score,,,Score (factored),,
"",,= +,,,+,-,
7 Annette DYTRT,GER,48.32  25.64,,,22.68,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3F+2T  6.80  0.20,1 0 0 0,0 1 0 0,,0,0 - -,7.00,
2 2S  1.30 -1.00,-3 -3 -3 -3,-3 -3 -3 In-f3o,,-3,-3 - -,0.30,Info
3 FSSp3  2.60 -0.06,0 -1 0 -1,0 0 0 0,,0,-1 - -,2.54,
4 SpSq4  3.40  1.00,1 1 1 0,0 1 -1 1,,1,1 - -,4.40,
5 2A  3.50  0.00,0 0 0 0,0 0 0 0,,0,0 - -,3.50,
6 LSp2  1.90  0.40,1 1 1 0,1 0 1 1,,0,1 - -,2.30,
7 CiSt2  2.30  0.00,0 0 1 0,0 0 0 0,,0,0 - -,2.30,
8 CCoSp3  3.00  0.30,1 0 0 0,0 0 1 1,,1,1 - -,3.30,
24.80,,,,,,25.64,
Program Components Factor,,,,,,,
Skating Skills  0.80,6.00 5.50 5.25 5.50,5.50 6.25 5.25 5.50,,6.25,6.50 - -,5.90,
Transition / Linking Footwork  0.80,5.25 5.50 4.75 5.25,5.00 5.50 4.75 5.00,,5.75,5.75 - -,5.40,
Performance / Execution  0.80,6.25 5.25 4.75 5.25,5.25 6.00 4.75 5.50,,6.00,6.25 - -,5.80,
Choreography / Composition  0.80,5.75 5.50 4.50 5.50,5.25 5.75 5.00 5.25,,6.00,6.50 - -,5.65,
Interpretation  0.80,5.75 5.50 4.50 5.25,5.00 5.75 5.00 5.50,,5.50,6.25 - -,5.60,
Judges Total Program Component Score (factored),,,,,,22.68,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,,
"",,Total Total,,,Total,Total,
"",NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,Score Score,,,Score (factored),,
"",,= +,,,+,-,
8 Susanna POYKIO,FIN,47.82  24.50,,,23.32,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3F  5.50 -0.40,0 -2 -1 0,1 1 0 -1,,0,0 - -,5.10,
2 2Lz+1T  2.30 -1.00,-3 -3 -3 -3,-3 -3 -3 -3,,-3,-3 - -,1.30,
3 FSSp3  2.60  0.10,0 1 0 0,0 0 0 0,,0,1 - -,2.70,
4 CiSt3  3.30  0.10,0 0 0 0,0 1 0 0,,0,1 - -,3.40,
5 2A  3.50  0.00,0 0 0 0,0 0 0 0,,0,1 - -,3.50,
6 CCoSp3  3.00  0.20,0 0 0 0,1 1 1 1,,0,1 - -,3.20,
7 SpSq4  3.40  0.40,0 1 0 0,0 1 1 1,,0,0 - -,3.80,
8 LSp1  1.50  0.00,0 1 0 0,0 0 1 0,,0,0 - -,1.50,
25.10,,,,,,24.50,
Program Components Factor,,,,,,,
Skating Skills  0.80,6.00 6.50 5.25 5.75,5.75 7.00 6.50 5.75,,5.25,7.00 - -,6.10,
Transition / Linking Footwork  0.80,5.00 5.75 5.00 5.25,5.25 6.00 6.00 5.50,,5.00,6.25 - -,5.45,
Performance / Execution  0.80,5.75 6.00 5.50 5.75,5.25 6.75 5.50 6.00,,5.25,6.75 - -,6.00,
Choreography / Composition  0.80,5.25 6.00 5.25 5.50,5.50 6.75 5.50 5.75,,5.00,6.50 - -,5.75,
Interpretation  0.80,5.25 6.00 5.75 5.50,5.25 6.50 5.50 5.75,,4.75,6.75 - -,5.85,
Judges Total Program Component Score (factored),,,,,,23.32,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,,
ISU GP Skate America,,,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
"",NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,Score Score,,,Score (factored),,
"",,= +,,,+,-,
9 Yan LIU,CHN,46.96  25.84,,,21.12,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3Lz+2T  7.30  0.00,0 0 0 0,1 0 0 0,,0,0 - -,7.30,
2 2F  1.70 -1.00,-3 -3 -3 -3,-3 -3 -3 In-f3o,,-3,-3 - -,0.70,Info
3 SpSq2  2.30  0.20,1 0 0 0,0 0 0 1,,0,1 - -,2.50,
4 2A  3.50  0.40,0 0 0 0,1 1 0 0,,1,1 - -,3.90,
5 FCSp2  2.30  0.00,0 0 0 0,1 0 -1 1,,0,-2 - -,2.30,
6 LSp2  1.90  0.30,1 0 0 0,0 1 0 0,,1,1 - -,2.20,
7 SlSt3  3.30  0.10,0 0 1 0,1 1 0 0,,0,0 - -,3.40,
8 CCoSp4  3.50  0.04,1 0 -1 1,1 -1 0 1,,0,0 - -,3.54,
25.80,,,,,,25.84,
Program Components Factor,,,,,,,
Skating Skills  0.80,5.25 5.50 4.50 5.50,5.75 6.25 5.00 5.25,,5.25,6.00 - -,5.45,
Transition / Linking Footwork  0.80,4.25 5.00 4.00 5.00,5.25 5.25 4.25 5.00,,5.00,5.25 - -,4.90,
Performance / Execution  0.80,5.50 5.25 4.25 5.75,5.50 6.00 4.50 5.25,,5.50,5.75 - -,5.45,
Choreography / Composition  0.80,5.00 5.25 4.75 5.75,5.50 5.50 4.25 5.25,,5.75,5.50 - -,5.30,
Interpretation  0.80,5.00 5.00 4.75 5.75,5.25 5.75 4.50 5.50,,5.50,5.50 - -,5.30,
Judges Total Program Component Score (factored),,,,,,21.12,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,,
"",,Total Total,,,Total,Total,
"",NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,Score Score,,,Score (factored),,
"",,= +,,,+,-,
10 Mira LEUNG,CAN,45.74  25.54,,,20.20,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3Lz+2Lo  7.50 -0.20,-1 -1 0 0,1 0 1 0,,0,0 - -,7.30,
2 3F  5.50 -0.20,-1 0 0 0,0 0 1 0,,0,-1 - -,5.30,
3 FCSp2  2.30  0.00,-1 0 0 0,0 0 1 0,,0,0 - -,2.30,
4 2A< <  0.80 -0.36,-2 -2 -1 -1,-3 -1 -1 -2,,-2,-2 - -,0.44,
5 CCoSp4  3.50  0.00,1 0 0 1,1 0 0 -1,,0,0 - -,3.50,
6 SlSt1  1.80  0.00,-1 0 0 0,1 0 0 0,,0,0 - -,1.80,
7 LSp3  2.40  0.50,0 1 1 2,1 1 1 1,,1,1 - -,2.90,
8 SpSq1  1.80  0.20,-1 0 1 0,0 0 1 1,,1,0 - -,2.00,
25.60,,,,,,25.54,
Program Components Factor,,,,,,,
Skating Skills  0.80,5.25 5.50 4.50 5.50,5.75 6.25 6.25 5.50,,5.25,5.75 - -,5.45,
Transition / Linking Footwork  0.80,4.25 4.75 4.25 5.25,5.25 6.00 5.75 5.00,,4.75,5.25 - -,4.80,
Performance / Execution  0.80,5.25 5.00 4.75 5.50,5.75 5.75 6.00 5.25,,5.00,5.25 - -,5.15,
Choreography / Composition  0.80,4.75 5.00 4.75 5.50,5.75 6.00 5.50 5.25,,5.00,5.50 - -,5.10,
Interpretation  0.80,4.50 4.75 4.50 5.75,5.50 6.50 5.50 5.25,,4.50,4.75 - -,4.75,
Judges Total Program Component Score (factored),,,,,,20.20,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,,
ISU GP Skate America,,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,Total,Total,
"",NOC,Segment Element,,Program  Component,Deductions,
Rank Name,,,,,,
"",Code,Score Score,,Score (factored),,
"",,=,+,+,-,
11 Tugba KARADEMIR,TUR,41.26  19.58,,21.68,0.00,
"# Executed Base",GOE,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 3S<+2T< <  1.70,-0.84 -3 -3 -2 -2,-2 -2 -3,-1,-3 -3 - -,0.86,
2 2F e  1.70,-1.00 -3 -3 -3 -3,-3 -3 -3,-3,-3 -3 - -,0.70,Info
3 LSp3  2.40,0.00 0 0 0 0,0 0 0,1,0 0 - -,2.40,
4 SpSq4  3.40,0.80 1 0 1 0,1 1 2,1,0 1 - -,4.20,
5 2A< <  0.80,-0.48 -3 -3 -3 -3,-3 -3 -2,-3,-2 -2 - -,0.32,
6 FCSp4  3.20,0.50 1 1 1 1,1 1 1,1,0 1 - -,3.70,
7 SlSt3  3.30,0.20 0 0 1 0,1 0 1,0,1 1 - -,3.50,
8 CCoSp4  3.50,0.40 1 0 1 0,0 1 0,1,0 1 - -,3.90,
20.00,,,,,19.58,
Program Components Factor,,,,,,
Skating Skills,0.80 5.25 5.25 4.50 5.25,5.00 6.00 5.00,5.25,6.25 5.75 - -,5.50,
Transition / Linking Footwork,0.80 4.50 4.75 4.25 4.75,4.75 5.50 5.00,5.00,6.50 5.50 - -,5.05,
Performance / Execution,0.80 5.50 4.75 5.00 5.00,4.75 5.75 4.50,5.50,5.75 6.00 - -,5.50,
Choreography / Composition,0.80 5.25 5.00 4.75 5.25,5.00 6.00 4.75,5.25,6.50 6.00 - -,5.50,
Interpretation,0.80 5.50 4.50 5.00 5.25,4.75 6.25 5.00,5.50,6.00 5.75 - -,5.55,
Judges Total Program Component Score (factored),,,,,21.68,
Deductions:,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,
Printed: 25.10.2008 20:31:19,,,,,,
