ICE DANCING ORIGINAL DANCEJUDGES DETAILS PER SKATER,,,,
Total Total,,,Total,Total
NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,
Code Score Score,,,Score (factored),
"= +",,,+,-
7 Chantal LEFEBVRE / Arseni MARKOV CAN  44.33  25.90,,,18.43,0.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 SlLi4  4.00  0.20 1 1 1 0 0 1 0 0,,0,- - -,4.20
2 Sp4  4.70  0.00 0 0 0 0 1 0 0 0,,0,- - -,4.70
3 DiSt3  6.20 -0.40 0 0 -1 -1 0 0 0 -1,,-1,- - -,5.80
4 NtMiTw4  3.30 -0.40 -1 -1 -1 -2 -1 0 -1 -1,,0,- - -,2.90
5 NtMiSt4  4.30 -0.10 0 0 0 -1 0 0 0 0,,-1,- - -,4.20
6 RoLi4  4.00  0.10 0 0 1 0 1 1 1 0,,0,- - -,4.10
26.50,,,,25.90
Program Components Factor,,,,
Skating Skills  0.80 5.25 4.75 5.50 4.75 5.00 4.75 5.50 5.50,,4.50,- - -,5.00
Linking Footwork / Movement  0.80 4.50 4.75 4.00 4.75 4.75 4.50 4.75 5.00,,4.75,- - -,4.70
Performance  0.60 4.75 5.00 4.75 5.25 5.00 4.75 5.25 5.25,,4.50,- - -,5.00
Choreography  0.60 4.50 4.75 5.00 5.25 5.25 4.75 5.25 5.25,,4.75,- - -,4.95
Interpretation / Timing  1.00 4.75 4.75 3.75 4.50 5.00 4.50 5.00 5.00,,4.50,- - -,4.70
Judges Total Program Component Score (factored),,,,18.43
Deductions:,,,,0.00
Total Total,,,Total,Total
NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,
Code Score Score,,,Score (factored),
"= +",,,+,-
8 Natalia MIKHAILOVA / Arkadi SERGEEV RUS  43.97  24.40,,,20.57,1.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 CuLi4  4.00  0.30 1 1 0 0 0 1 1 0,,0,- - -,4.30
2 NtMiTw4  3.30 -0.20 -1 0 -1 -2 -1 0 0 -1,,0,- - -,3.10
3 NtMiSt3  3.80  0.00 0 0 1 0 0 1 0 0,,0,- - -,3.80
4 Sp4  4.70  0.00 0 0 0 0 0 0 0 0,,0,- - -,4.70
5 DiSt2  5.40 -0.40 0 0 -1 0 0 1 -1 -1,,-1,- - -,5.00
6 RoLi2  3.00  0.50 1 1 1 1 1 1 1 1,,1,- - -,3.50
24.20,,,,24.40
Program Components Factor,,,,
Skating Skills  0.80 5.50 6.50 5.75 5.25 6.00 6.00 5.50 5.25,,5.50,- - -,5.55
Linking Footwork / Movement  0.80 5.25 6.25 3.50 5.00 5.50 6.00 4.75 5.00,,5.25,- - -,5.30
Performance  0.60 5.25 7.00 5.50 5.25 5.75 6.25 5.25 5.25,,5.50,- - -,5.50
Choreography  0.60 5.00 6.50 5.00 5.25 5.75 6.25 5.00 5.25,,5.25,- - -,5.40
Interpretation / Timing  1.00 5.00 6.25 4.50 5.00 5.75 6.25 5.00 5.00,,5.50,- - -,5.35
Judges Total Program Component Score (factored),,,,20.57
Deductions: Time violation: -1.00,,,,-1.00
Total Total,,,Total,Total
NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,
Code Score Score,,,Score (factored),
"= +",,,+,-
9 Kamila HAJKOVA / David VINCOUR CZE  39.93  22.20,,,17.73,0.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 SlLi3  3.50  0.20 1 0 1 0 0 1 0 0,,1,- - -,3.70
2 NtMiTw4  3.30 -0.20 -1 0 -2 -1 0 0 0 -1,,0,- - -,3.10
3 NtMiSt2  3.20 -0.10 0 0 0 0 0 0 -1 -1,,0,- - -,3.10
4 CoSp3  4.00  0.20 0 0 1 1 1 1 0 0,,1,- - -,4.20
5 DiSt1  4.60 -0.60 0 0 -1 -1 -1 0 -1 -1,,-1,- - -,4.00
6 RoLi4  4.00  0.10 1 0 -1 0 0 1 0 -1,,0,- - -,4.10
22.60,,,,22.20
Program Components Factor,,,,
Skating Skills  0.80 4.75 5.00 5.00 4.50 4.25 4.75 4.75 4.75,,4.25,- - -,4.70
Linking Footwork / Movement  0.80 4.75 4.75 2.75 4.50 4.00 4.50 4.50 4.25,,4.25,- - -,4.50
Performance  0.60 5.00 5.25 5.25 5.00 4.25 5.00 4.25 4.50,,4.50,- - -,4.80
Choreography  0.60 4.50 5.00 4.50 4.50 4.25 4.75 4.50 4.75,,4.75,- - -,4.65
Interpretation / Timing  1.00 4.75 5.25 3.75 4.25 4.25 5.00 4.50 4.50,,4.75,- - -,4.70
Judges Total Program Component Score (factored),,,,17.73
Deductions:,,,,0.00
2006 HomeSense Skate Canada International,,,,
ICE DANCING ORIGINAL DANCEJUDGES DETAILS PER SKATER,,,,
Total Total,,,Total,Total
NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,
Code Score Score,,,Score (factored),
"= +",,,+,-
10 Trina PRATT / Todd GILLES USA  38.81  21.10,,,19.71,2.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 DiSt2  5.40  0.60 1 0 1 1 0 1 1 0,,0,- - -,6.00
2 RoLi2  3.00 -1.30 -2 -3 -3 -3 -3 -3 -3 -3,,-3,- - -,1.70
3 Sp4  4.70  0.00 0 0 1 0 1 0 0 0,,0,- - -,4.70
4 NtMiTw4  3.30 -0.30 0 -1 -2 -1 -1 0 0 -1,,-1,- - -,3.00
5 NtMiSt2  3.20  0.00 0 0 1 0 0 0 0 0,,-1,- - -,3.20
6 CuLi1  2.50  0.00 1 0 0 0 0 0 0 0,,0,- - -,2.50
22.10,,,,21.10
Program Components Factor,,,,
Skating Skills  0.80 5.25 5.25 6.25 5.50 5.25 5.00 5.75 5.25,,5.25,- - -,5.30
Linking Footwork / Movement  0.80 4.75 4.75 5.00 5.25 5.50 4.75 6.25 5.00,,5.00,- - -,4.95
Performance  0.60 5.00 5.00 5.50 5.50 5.00 4.75 5.50 5.25,,4.50,- - -,5.10
Choreography  0.60 5.00 5.25 7.00 5.75 5.50 5.00 5.75 5.25,,4.75,- - -,5.25
Interpretation / Timing  1.00 5.25 5.25 6.50 5.25 5.00 5.25 5.75 5.50,,4.75,- - -,5.30
Judges Total Program Component Score (factored),,,,19.71
Deductions: Falls: -2.00,,,,-2.00
Total Total,,,Total,Total
NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,
Code Score Score,,,Score (factored),
"= +",,,+,-
11 Xiaoyang YU / Chen WANG CHN  38.27  20.70,,,17.57,0.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 CoSp1  3.00  0.00 -1 0 -1 0 0 0 0 0,,0,- - -,3.00
2 SlLi4  4.00  0.00 0 0 0 -1 0 1 0 0,,0,- - -,4.00
3 NtMiTw3  2.80 -0.20 -1 -1 -1 -1 -1 0 0 0,,1,- - -,2.60
4 NtMiSt1  2.90  0.00 0 0 1 0 0 0 0 0,,0,- - -,2.90
5 RoLi4  4.00  0.00 0 0 0 1 0 0 0 0,,0,- - -,4.00
6 DiSt1  4.60 -0.40 0 0 0 -1 0 0 0 -1,,-1,- - -,4.20
21.30,,,,20.70
Program Components Factor,,,,
Skating Skills  0.80 5.00 4.75 4.75 4.75 4.50 4.75 5.25 4.75,,4.25,- - -,4.80
Linking Footwork / Movement  0.80 4.25 4.50 3.00 4.75 3.75 4.25 5.00 4.50,,4.00,- - -,4.45
Performance  0.60 4.00 4.75 5.00 5.00 4.00 4.50 5.25 5.00,,4.25,- - -,4.70
Choreography  0.60 4.75 4.50 4.25 5.00 4.00 4.50 5.25 5.00,,4.25,- - -,4.75
Interpretation / Timing  1.00 4.25 4.50 4.50 4.75 4.00 4.25 5.00 4.75,,4.25,- - -,4.50
Judges Total Program Component Score (factored),,,,17.57
Deductions:,,,,0.00
Printed: 03/11/2006 14:45:59,,,,
