NOC Segment,Element,Program  Component,Deductions,,
Rank Name,,,,,
Code Score,Score,Score (factored),,,
"=",,+ +,,-,
5 Patrick CHAN CAN  137.16,65.96,73.20,,2.00,
"# Executed Base GOE The Judges Panel",,,,Scores,
Elements Value (in random order),,,of Panel,,
1 3A  8.20 -4.20 -3 -3 -3 -3 -3,-3 -3,-3 -3 - - -,,4.00,
2 3F+3T  9.50  1.20 1 1 0 2 2,1 1,1 2 - - -,,10.70,Info
3 3Lz  6.00  0.60 0 1 1 0 2,1 1,1 0 - - -,,6.60,
4 CSSp4  3.00  0.20 0 0 1 0 1,1 2,0 1 - - -,,3.20,
5 CiSt3  3.30  0.70 1 1 1 2 2,2 2,0 2 - - -,,4.00,
6 3A<+SEQ <  3.08 x -2.50 -3 -3 -3 -3 -3,-3 -3,-3 -3 - - -,,0.58,
7 3S  4.95 x  0.00 0 0 0 0 1,0 0,0 0 - - -,,4.95,
8 CCoSp4  3.50  0.40 1 0 1 0 1,1 2,1 1 - - -,,3.90,
9 3Lo  5.50 x  0.60 0 0 1 1 1,0 1,1 1 - - -,,6.10,
10 3Lz+2T+2Lo  9.68 x  0.80 0 1 1 1 2,1 1,0 1 - - -,,10.48,
11 2A  3.85 x  0.40 0 1 0 1 0,0 1,1 0 - - -,,4.25,
12 SlSt3  3.30  0.70 1 2 1 2 2,2 2,1 1 - - -,,4.00,
13 FSSp4  3.00  0.20 0 0 1 0 1,1 0,0 1 - - -,,3.20,
66.86,,,,65.96,
Program Components Factor,,,,,
Skating Skills  2.00 7.50 7.75 7.50 8.00 8.50,7.75 8.00,7.00 7.50 - - -,,7.60,
Transition / Linking Footwork  2.00 6.75 7.75 7.00 7.75 8.50,7.50 7.75,6.50 7.00 - - -,,7.20,
Performance / Execution  2.00 7.00 7.25 7.25 6.75 7.75,7.75 8.00,7.00 7.00 - - -,,7.10,
Choreography / Composition  2.00 7.00 7.25 7.50 7.75 8.25,7.50 8.00,6.75 7.50 - - -,,7.35,
Interpretation  2.00 7.25 7.50 7.25 7.50 8.50,7.50 8.25,6.75 7.25 - - -,,7.35,
Judges Total Program Component Score (factored),,,,73.20,
Deductions: Falls: -2.00,,,,-2.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long) <  Downgraded jump",,"x  Credit for highlight distribution, base value multiplied by 1.1",,,
Printed: 13.12.2008 19:41:03,,,,,
